"S/N","Building/Project Name","Street Name","Postal District","Type","No. of Bedroom(for Non-Landed Only)","Monthly Gross Rent($)","Floor Area (sq ft)","Lease Commencement Date"
"1","STURDEE RESIDENCES","BEATTY ROAD","08","Non-landed Properties","2","3200","500 to 600","Jun-2022"
"2","CITY SQUARE RESIDENCES","KITCHENER LINK","08","Non-landed Properties","1","3000","500 to 600","Jun-2022"
"3","NON-LANDED HOUSING DEVELOPMENT","JOO AVENUE","08","Non-landed Properties","NA","3000","800 to 900","Jun-2022"
"4","KERRISDALE","STURDEE ROAD","08","Non-landed Properties","2","3300","900 to 1000","Jun-2022"
"5","VANADIUM","HERTFORD ROAD","08","Non-landed Properties","2","2600","700 to 800","Jun-2022"
"6","CAVAN SUITES","CAVAN ROAD","08","Non-landed Properties","NA","2150","300 to 400","Jun-2022"
"7","CITYLIGHTS","JELLICOE ROAD","08","Non-landed Properties","3","5100","1300 to 1400","Jun-2022"
"8","CITY SQUARE RESIDENCES","KITCHENER LINK","08","Non-landed Properties","2","4000","800 to 900","Jun-2022"
"9","70@TRURO","TRURO ROAD","08","Non-landed Properties","2","3350","400 to 500","Jun-2022"
"10","PRISTINE HEIGHTS","MERGUI ROAD","08","Non-landed Properties","2","2900","700 to 800","Jun-2022"
"11","NON-LANDED HOUSING DEVELOPMENT","RACE COURSE ROAD","08","Non-landed Properties","NA","1846","200 to 300","Jun-2022"
"12","CITY SQUARE RESIDENCES","KITCHENER LINK","08","Non-landed Properties","2","3300","800 to 900","Jun-2022"
"13","CITY SQUARE RESIDENCES","KITCHENER LINK","08","Non-landed Properties","1","2500","500 to 600","Jun-2022"
"14","RESIDENCES @ SOMME","PETAIN ROAD","08","Non-landed Properties","1","2000","400 to 500","Jun-2022"
"15","CITY SQUARE RESIDENCES","KITCHENER LINK","08","Non-landed Properties","2","3700","800 to 900","Jun-2022"
"16","28 RC SUITES","RACE COURSE LANE","08","Non-landed Properties","1","2500","400 to 500","Jun-2022"
"17","PRISTINE HEIGHTS","MERGUI ROAD","08","Non-landed Properties","3","4800","1300 to 1400","Jun-2022"
"18","CLYDES RESIDENCE","MERGUI ROAD","08","Non-landed Properties","2","3400","1000 to 1100","Jun-2022"
"19","70@TRURO","TRURO ROAD","08","Non-landed Properties","3","3450","800 to 900","Jun-2022"
"20","CITY STUDIOS","RACE COURSE LANE","08","Non-landed Properties","1","2700","400 to 500","Jun-2022"
