"S/N","Building/Project Name","Street Name","Postal District","Type","No. of Bedroom(for Non-Landed Only)","Monthly Gross Rent($)","Floor Area (sq ft)","Lease Commencement Date"
"1","ADAM GREEN","ADAM ROAD","11","Non-landed Properties","2","3200","1400 to 1500","Jun-2022"
"2","SOLEIL @ SINARAN","SINARAN DRIVE","11","Non-landed Properties","2","6600","1000 to 1100","Jun-2022"
"3","BUCKLEY CLASSIQUE","BUCKLEY ROAD","11","Non-landed Properties","3","6800","1400 to 1500","Jun-2022"
"4","6 DERBYSHIRE","DERBYSHIRE ROAD","11","Non-landed Properties","1","2500","500 to 600","Jun-2022"
"5","6 DERBYSHIRE","DERBYSHIRE ROAD","11","Non-landed Properties","1","2700","500 to 600","Jun-2022"
"6","ADRIA","DERBYSHIRE ROAD","11","Non-landed Properties","2","3750","800 to 900","Jun-2022"
"7","NINETEEN SHELFORD ROAD","SHELFORD ROAD","11","Non-landed Properties","2","3100","900 to 1000","Jun-2022"
"8","NON-LANDED HOUSING DEVELOPMENT","SHREWSBURY ROAD","11","Non-landed Properties","NA","2500","800 to 900","Jun-2022"
"9","THE TREVOSE","TREVOSE CRESCENT","11","Non-landed Properties","4","6000","1700 to 1800","Jun-2022"
"10","ZEDGE","AKYAB ROAD","11","Non-landed Properties","1","2800","400 to 500","Jun-2022"
"11","VIVA","SUFFOLK WALK","11","Non-landed Properties","3","7700","1500 to 1600","Jun-2022"
"12","THOMSON 800","THOMSON ROAD","11","Non-landed Properties","3","4600","1300 to 1400","Jun-2022"
"13","SUITES @ NEWTON","SURREY ROAD","11","Non-landed Properties","1","3200","400 to 500","Jun-2022"
"14","IRIDIUM","LINCOLN ROAD","11","Non-landed Properties","3","3800","1100 to 1200","Jun-2022"
"15","NEWTON GEMS","NEWTON ROAD","11","Non-landed Properties","2","4200","900 to 1000","Jun-2022"
"16","APLETON VIEW","SINARAN DRIVE","11","Non-landed Properties","3","4200","1200 to 1300","Jun-2022"
"17","SOLEIL @ SINARAN","SINARAN DRIVE","11","Non-landed Properties","NA","3800","500 to 600","Jun-2022"
"18","ZEDGE","AKYAB ROAD","11","Non-landed Properties","1","3100","400 to 500","Jun-2022"
"19","GILSTEAD TWO","GILSTEAD ROAD","11","Non-landed Properties","2","3500","700 to 800","Jun-2022"
"20","NEWTON 18","NEWTON ROAD","11","Non-landed Properties","1","3200","600 to 700","Jun-2022"
"21","THE GLYNDEBOURNE","TREVOSE CRESCENT","11","Non-landed Properties","2","5100","1000 to 1100","Jun-2022"
"22","LINCOLN SUITES","KHIANG GUAN AVENUE","11","Non-landed Properties","1","3200","500 to 600","Jun-2022"
"23","SOLEIL @ SINARAN","SINARAN DRIVE","11","Non-landed Properties","3","8200","1400 to 1500","Jun-2022"
"24","HILLCREST ARCADIA","ARCADIA ROAD","11","Non-landed Properties","4","6900","2800 to 2900","Jun-2022"
"25","MANDALE HEIGHTS","MANDALAY ROAD","11","Non-landed Properties","2","3300","800 to 900","Jun-2022"
"26","RESIDENCES @ EVELYN","EVELYN ROAD","11","Non-landed Properties","2","5500","1100 to 1200","Jun-2022"
"27","THE SPINNAKER","SUFFOLK ROAD","11","Non-landed Properties","3","5300","1200 to 1300","Jun-2022"
"28","SOLEIL @ SINARAN","SINARAN DRIVE","11","Non-landed Properties","3","7000","1400 to 1500","Jun-2022"
