"S/N","Building/Project Name","Street Name","Postal District","Type","No. of Bedroom(for Non-Landed Only)","Monthly Gross Rent($)","Floor Area (sq ft)","Lease Commencement Date"
"29","SKY@ELEVEN","THOMSON LANE","11","Non-landed Properties","4","8250","2200 to 2300","Jun-2022"
"30","THE GLYNDEBOURNE","TREVOSE CRESCENT","11","Non-landed Properties","4","10500","2700 to 2800","Jun-2022"
"31","PASADENA","DERBYSHIRE ROAD","11","Non-landed Properties","3","3450","1400 to 1500","Jun-2022"
"32","EVELYN MANSIONS","EVELYN ROAD","11","Non-landed Properties","2","3050","800 to 900","Jun-2022"
"33","NEWTON GEMS","NEWTON ROAD","11","Non-landed Properties","3","5823","1400 to 1500","Jun-2022"
"34","THOMSON 800","THOMSON ROAD","11","Non-landed Properties","3","4900","1600 to 1700","Jun-2022"
"35","THE GLYNDEBOURNE","TREVOSE CRESCENT","11","Non-landed Properties","3","6250","1400 to 1500","Jun-2022"
"36","VISIN APARTMENTS","SURREY ROAD","11","Non-landed Properties","NA","3500","1000 to 1100","Jun-2022"
"37","DUNEARN SUITES","DUNEARN ROAD","11","Non-landed Properties","2","2600","700 to 800","Jun-2022"
"38","HILLCREST ARCADIA","ARCADIA ROAD","11","Non-landed Properties","3","5500","1700 to 1800","Jun-2022"
"39","SKY@ELEVEN","THOMSON LANE","11","Non-landed Properties","4","8000","2200 to 2300","Jun-2022"
"40","THOMSON EURO-ASIA","THOMSON ROAD","11","Non-landed Properties","3","5200","1100 to 1200","Jun-2022"
"41","THOMSON 800","THOMSON ROAD","11","Non-landed Properties","3","4650","1600 to 1700","Jun-2022"
"42","THOMSON 800","THOMSON ROAD","11","Non-landed Properties","3","4300","1300 to 1400","Jun-2022"
"43","VIVA","SUFFOLK WALK","11","Non-landed Properties","3","9300","1300 to 1400","Jun-2022"
"44","THE HUNTINGTON","MOULMEIN ROAD","11","Non-landed Properties","3","3800","1100 to 1200","Jun-2022"
"45","28 SHELFORD","SHELFORD ROAD","11","Non-landed Properties","2","3000","800 to 900","Jun-2022"
"46","26 NEWTON","NEWTON ROAD","11","Non-landed Properties","1","2700","400 to 500","Jun-2022"
"47","8 BASSEIN","BASSEIN ROAD","11","Non-landed Properties","3","4700","800 to 900","Jun-2022"
"48","SOLEIL @ SINARAN","SINARAN DRIVE","11","Non-landed Properties","3","7800","1400 to 1500","Jun-2022"
"49","RESIDENCES @ EVELYN","EVELYN ROAD","11","Non-landed Properties","3","7000","1500 to 1600","Jun-2022"
"50","ROCHELLE AT NEWTON","KENG LEE ROAD","11","Non-landed Properties","3","7900","1700 to 1800","Jun-2022"
"51","26 NEWTON","NEWTON ROAD","11","Non-landed Properties","1","3500","400 to 500","Jun-2022"
"52","MIRO","LINCOLN ROAD","11","Non-landed Properties","4","11500","2800 to 2900","Jun-2022"
"53","10 SHELFORD","SHELFORD ROAD","11","Non-landed Properties","1","3200","800 to 900","Jun-2022"
"54","WATTEN HILL","WATTEN VIEW","11","Non-landed Properties","2","5200","2600 to 2700","Jun-2022"
"55","LUCIDA","SUFFOLK ROAD","11","Non-landed Properties","1","2850","600 to 700","Jun-2022"
"56","PASTORAL VIEW","BASSEIN ROAD","11","Non-landed Properties","1","2531","600 to 700","Jun-2022"
"57","368 THOMSON","THOMSON ROAD","11","Non-landed Properties","3","5200","1300 to 1400","Jun-2022"
"58","PASTORAL VIEW","BASSEIN ROAD","11","Non-landed Properties","3","4176","1200 to 1300","Jun-2022"
"59","THE AXIS","MANDALAY ROAD","11","Non-landed Properties","2","2800","700 to 800","Jun-2022"
"60","RESIDENCES @ EVELYN","EVELYN ROAD","11","Non-landed Properties","3","6400","1500 to 1600","Jun-2022"
"61","KHEAM HOCK GARDENS","KHEAM HOCK ROAD","11","Non-landed Properties","3","5500","1900 to 2000","Jun-2022"
"62","ADAM PARK CONDOMINIUM","ADAM ROAD","11","Non-landed Properties","3","3700","1100 to 1200","Jun-2022"
"63","SUITES @ NEWTON","SURREY ROAD","11","Non-landed Properties","2","3300","600 to 700","Jun-2022"
"64","DUNEARN SUITES","DUNEARN ROAD","11","Non-landed Properties","NA","2800","400 to 500","Jun-2022"
"65","NON-LANDED HOUSING DEVELOPMENT","SHREWSBURY ROAD","11","Non-landed Properties","NA","2900","800 to 900","Jun-2022"
"66","PARK INFINIA AT WEE NAM","LINCOLN ROAD","11","Non-landed Properties","2","5300","1100 to 1200","Jun-2022"
"67","10 SHELFORD","SHELFORD ROAD","11","Non-landed Properties","1","3000","400 to 500","Jun-2022"
"68","26 NEWTON","NEWTON ROAD","11","Non-landed Properties","2","3600","700 to 800","Jun-2022"
"69","VIVA","SUFFOLK WALK","11","Non-landed Properties","3","7500","1300 to 1400","Jun-2022"
"70","ADAM PARK CONDOMINIUM","ADAM ROAD","11","Non-landed Properties","2","4400","1100 to 1200","Jun-2022"
"71","CUBE 8","THOMSON ROAD","11","Non-landed Properties","3","5600","1300 to 1400","Jun-2022"
"72","LA SUISSE","SWISS VIEW","11","Non-landed Properties","3","6000","2100 to 2200","Jun-2022"
"73","MONTEBLEU","MINBU ROAD","11","Non-landed Properties","4","5800","1500 to 1600","Jun-2022"
"74","26 NEWTON","NEWTON ROAD","11","Non-landed Properties","2","3100","600 to 700","Jun-2022"
"75","TEN @ SUFFOLK","SUFFOLK ROAD","11","Non-landed Properties","2","4000","1100 to 1200","Jun-2022"
"76","CITY EDGE","MOULMEIN RISE","11","Non-landed Properties","2","3800","800 to 900","Jun-2022"
"77","368 THOMSON","THOMSON ROAD","11","Non-landed Properties","3","4700","1300 to 1400","Jun-2022"
"78","PAVILION 11","AKYAB ROAD","11","Non-landed Properties","3","6200","1400 to 1500","Jun-2022"
"79","ZEDGE","AKYAB ROAD","11","Non-landed Properties","2","3800","800 to 900","Jun-2022"
"80","EVELYN MANSIONS","EVELYN ROAD","11","Non-landed Properties","2","3400","700 to 800","Jun-2022"
"81","18 SHELFORD","SHELFORD ROAD","11","Non-landed Properties","3","6500","1800 to 1900","Jun-2022"
"82","CITY EDGE","MOULMEIN RISE","11","Non-landed Properties","2","3400","800 to 900","Jun-2022"
"83","NINETEEN SHELFORD ROAD","SHELFORD ROAD","11","Non-landed Properties","2","3000","900 to 1000","Jun-2022"
"84","6 DERBYSHIRE","DERBYSHIRE ROAD","11","Non-landed Properties","1","2600","500 to 600","Jun-2022"
"85","368 THOMSON","THOMSON ROAD","11","Non-landed Properties","3","4100","1300 to 1400","Jun-2022"
"86","STRATA","ESSEX ROAD","11","Non-landed Properties","2","3800","800 to 900","Jun-2022"
"87","ZEDGE","AKYAB ROAD","11","Non-landed Properties","1","2300","400 to 500","Jun-2022"
"88","8 BASSEIN","BASSEIN ROAD","11","Non-landed Properties","1","2600","400 to 500","Jun-2022"
"89","NEWTON ONE","NEWTON ROAD","11","Non-landed Properties","2","6200","1200 to 1300","Jun-2022"
"90","PAVILION 11","AKYAB ROAD","11","Non-landed Properties","3","5500","1400 to 1500","Jun-2022"
"91","ADAM GREEN","ADAM ROAD","11","Non-landed Properties","2","3500","700 to 800","Jun-2022"
"92","THE TREVOSE","TREVOSE CRESCENT","11","Non-landed Properties","3","5300","1700 to 1800","Jun-2022"
"93","PARK INFINIA AT WEE NAM","LINCOLN ROAD","11","Non-landed Properties","3","7000","1400 to 1500","Jun-2022"
"94","26 NEWTON","NEWTON ROAD","11","Non-landed Properties","1","2800","400 to 500","Jun-2022"
"95","SKY@ELEVEN","THOMSON LANE","11","Non-landed Properties","4","11500","2800 to 2900","Jun-2022"
"96","SKY@ELEVEN","THOMSON LANE","11","Non-landed Properties","4","11500","2700 to 2800","Jun-2022"
"97","LUCIDA","SUFFOLK ROAD","11","Non-landed Properties","3","5000","1300 to 1400","Jun-2022"
"98","THE SPRINGS","MOULMEIN RISE","11","Non-landed Properties","3","4000","1300 to 1400","Jun-2022"
"99","DERBYSHIRE HEIGHTS","DERBYSHIRE ROAD","11","Non-landed Properties","3","3300","1200 to 1300","Jun-2022"
"100","THOMSON 800","THOMSON ROAD","11","Non-landed Properties","3","4500","1600 to 1700","Jun-2022"
"101","SKY@ELEVEN","THOMSON LANE","11","Non-landed Properties","4","9000","2700 to 2800","Jun-2022"
"102","368 THOMSON","THOMSON ROAD","11","Non-landed Properties","2","3600","800 to 900","Jun-2022"
"103","POINT LOMA","SHELFORD ROAD","11","Non-landed Properties","4","6600","2400 to 2500","Jun-2022"
"104","NOVENA LODGE","JALAN MERLIMAU","11","Non-landed Properties","1","2800","500 to 600","Jun-2022"
"105","ADAM GREEN","ADAM ROAD","11","Non-landed Properties","2","3200","700 to 800","Jun-2022"
"106","GILSTEAD 38","GILSTEAD ROAD","11","Non-landed Properties","2","3100","1100 to 1200","Jun-2022"
"107","SUITES @ SHREWSBURY","SHREWSBURY ROAD","11","Non-landed Properties","1","2300","300 to 400","Jun-2022"
"108","SUITES @ SURREY","SURREY ROAD","11","Non-landed Properties","3","4300","900 to 1000","Jun-2022"
"109","PASTORAL VIEW","BASSEIN ROAD","11","Non-landed Properties","3","4363","1200 to 1300","Jun-2022"
"110","8 BASSEIN","BASSEIN ROAD","11","Non-landed Properties","1","3200","400 to 500","Jun-2022"
"111","NEWTON 18","NEWTON ROAD","11","Non-landed Properties","1","3600","600 to 700","Jun-2022"
"112","POINT LOMA","SHELFORD ROAD","11","Non-landed Properties","4","6800","2400 to 2500","Jun-2022"
"113","D'EVELYN","EVELYN ROAD","11","Non-landed Properties","3","4400","1300 to 1400","Jun-2022"
"114","LUCIDA","SUFFOLK ROAD","11","Non-landed Properties","1","3200","600 to 700","Jun-2022"
"115","SHELFORD GREEN","SHELFORD ROAD","11","Non-landed Properties","2","4675","1500 to 1600","Jun-2022"
"116","BUCKLEY 18","BUCKLEY ROAD","11","Non-landed Properties","2","5000","1000 to 1100","Jun-2022"
"117","LINCOLN SUITES","KHIANG GUAN AVENUE","11","Non-landed Properties","4","8200","1700 to 1800","Jun-2022"
"118","GLOUCESTER MANSIONS","NEWTON ROAD","11","Non-landed Properties","3","3500","1100 to 1200","Jun-2022"
"119","TRILIGHT","NEWTON ROAD","11","Non-landed Properties","4","11500","2300 to 2400","Jun-2022"
"120","PARK INFINIA AT WEE NAM","LINCOLN ROAD","11","Non-landed Properties","2","5800","1000 to 1100","Jun-2022"
"121","TRILIGHT","NEWTON ROAD","11","Non-landed Properties","2","5400","1100 to 1200","Jun-2022"
"122","6 DERBYSHIRE","DERBYSHIRE ROAD","11","Non-landed Properties","1","3650","500 to 600","Jun-2022"
"123","NEWTON GEMS","NEWTON ROAD","11","Non-landed Properties","1","3100","600 to 700","Jun-2022"
"124","TEN @ SUFFOLK","SUFFOLK ROAD","11","Non-landed Properties","2","3100","1000 to 1100","Jun-2022"
"125","PARK INFINIA AT WEE NAM","LINCOLN ROAD","11","Non-landed Properties","3","7550","1300 to 1400","Jun-2022"
"126","D'EVELYN","EVELYN ROAD","11","Non-landed Properties","3","5200","1300 to 1400","Jun-2022"
"127","ROSEVALE","LINCOLN ROAD","11","Non-landed Properties","4","7794","2800 to 2900","Jun-2022"
"128","PASTORAL VIEW","BASSEIN ROAD","11","Non-landed Properties","1","3092","600 to 700","Jun-2022"
"129","SOLEIL @ SINARAN","SINARAN DRIVE","11","Non-landed Properties","2","7000","1000 to 1100","Jun-2022"
"130","6 DERBYSHIRE","DERBYSHIRE ROAD","11","Non-landed Properties","1","2700","400 to 500","Jun-2022"
"131","NEWTON GEMS","NEWTON ROAD","11","Non-landed Properties","3","5300","1400 to 1500","Jun-2022"
"132","VIVA","SUFFOLK WALK","11","Non-landed Properties","2","6000","1000 to 1100","Jun-2022"
"133","SOLEIL @ SINARAN","SINARAN DRIVE","11","Non-landed Properties","NA","3200","500 to 600","Jun-2022"
"134","THE SHELFORD","SHELFORD ROAD","11","Non-landed Properties","3","5700","1300 to 1400","Jun-2022"
"135","PASTORAL VIEW","BASSEIN ROAD","11","Non-landed Properties","3","4550","1200 to 1300","Jun-2022"
"136","PASTORAL VIEW","BASSEIN ROAD","11","Non-landed Properties","3","4456","1200 to 1300","Jun-2022"
"137","THE ANSLEY","MANDALAY ROAD","11","Non-landed Properties","3","4800","1200 to 1300","Jun-2022"
"138","10 SHELFORD","SHELFORD ROAD","11","Non-landed Properties","1","2400","700 to 800","Jun-2022"
"139","NINETEEN SHELFORD ROAD","SHELFORD ROAD","11","Non-landed Properties","2","4500","900 to 1000","Jun-2022"
"140","EVELYN MANSIONS","EVELYN ROAD","11","Non-landed Properties","2","2900","800 to 900","Jun-2022"
"141","VIVA","SUFFOLK WALK","11","Non-landed Properties","3","7500","1300 to 1400","Jun-2022"
"142","PARK INFINIA AT WEE NAM","LINCOLN ROAD","11","Non-landed Properties","2","5500","800 to 900","Jun-2022"
"143","LINCOLN SUITES","KHIANG GUAN AVENUE","11","Non-landed Properties","2","5200","1000 to 1100","Jun-2022"
"144","THE HUNTINGTON","MOULMEIN ROAD","11","Non-landed Properties","3","7500","1400 to 1500","Jun-2022"
"145","8 BASSEIN","BASSEIN ROAD","11","Non-landed Properties","1","2000","400 to 500","Jun-2022"
"146","SOLEIL @ SINARAN","SINARAN DRIVE","11","Non-landed Properties","2","5700","900 to 1000","Jun-2022"
"147","AMARYLLIS VILLE","NEWTON ROAD","11","Non-landed Properties","3","6000","1200 to 1300","Jun-2022"
"148","D'CHATEAU @ SHELFORD","SHELFORD ROAD","11","Non-landed Properties","3","4200","900 to 1000","Jun-2022"
"149","D'EVELYN","EVELYN ROAD","11","Non-landed Properties","1","3000","600 to 700","Jun-2022"
"150","THE LINC","LINCOLN ROAD","11","Non-landed Properties","3","4650","1200 to 1300","Jun-2022"
"151","TREVOSE PARK","TREVOSE CRESCENT","11","Non-landed Properties","2","3600","800 to 900","Jun-2022"
"152","NINETEEN SHELFORD ROAD","SHELFORD ROAD","11","Non-landed Properties","1","2450","600 to 700","Jun-2022"
"153","CUBE 8","THOMSON ROAD","11","Non-landed Properties","2","3400","900 to 1000","Jun-2022"
"154","SOLEIL @ SINARAN","SINARAN DRIVE","11","Non-landed Properties","2","7600","1000 to 1100","Jun-2022"
"155","MIRO","LINCOLN ROAD","11","Non-landed Properties","1","3900","1000 to 1100","Jun-2022"
"156","NEWTON 21","NEWTON ROAD","11","Non-landed Properties","3","5888","1500 to 1600","Jun-2022"
"157","10 SHELFORD","SHELFORD ROAD","11","Non-landed Properties","1","2600","400 to 500","Jun-2022"
"158","AMANINDA","THOMSON ROAD","11","Non-landed Properties","2","3400","1000 to 1100","Jun-2022"
"159","SOLEIL @ SINARAN","SINARAN DRIVE","11","Non-landed Properties","2","6700","900 to 1000","Jun-2022"
"160","MIRO","LINCOLN ROAD","11","Non-landed Properties","3","7800","1900 to 2000","Jun-2022"
"161","GILSTEAD TWO","GILSTEAD ROAD","11","Non-landed Properties","2","5500","900 to 1000","Jun-2022"
"162","L'VIV","NEWTON ROAD","11","Non-landed Properties","1","2800","600 to 700","Jun-2022"
"163","BIRMINGHAM MANSIONS","THOMSON ROAD","11","Non-landed Properties","3","3800","1000 to 1100","Jun-2022"
"164","KELLETT COURT","SHELFORD ROAD","11","Non-landed Properties","2","3500","800 to 900","Jun-2022"
"165","NEWTON IMPERIAL","NEWTON ROAD","11","Non-landed Properties","3","6300","1700 to 1800","Jun-2022"
"166","ZEDGE","AKYAB ROAD","11","Non-landed Properties","1","3000","400 to 500","Jun-2022"
"167","NOVENA SUITES","MOULMEIN ROAD","11","Non-landed Properties","1","4000","700 to 800","Jun-2022"
"168","L'VIV","NEWTON ROAD","11","Non-landed Properties","2","5600","900 to 1000","Jun-2022"
"169","L'VIV","NEWTON ROAD","11","Non-landed Properties","2","5690","1000 to 1100","Jun-2022"
"170","BUCKLEY CLASSIQUE","BUCKLEY ROAD","11","Non-landed Properties","3","7000","1400 to 1500","Jun-2022"
"171","SOLEIL @ SINARAN","SINARAN DRIVE","11","Non-landed Properties","4","7700","1700 to 1800","Jun-2022"
"172","THE ARMADALE","GILSTEAD ROAD","11","Non-landed Properties","1","3500","1200 to 1300","Jun-2022"
"173","PARK INFINIA AT WEE NAM","LINCOLN ROAD","11","Non-landed Properties","2","5288","900 to 1000","Jun-2022"
"174","GILSTEAD COURT","GILSTEAD ROAD","11","Non-landed Properties","3","4200","1300 to 1400","Jun-2022"
"175","NEWTON GEMS","NEWTON ROAD","11","Non-landed Properties","4","7580","2000 to 2100","Jun-2022"
"176","6 DERBYSHIRE","DERBYSHIRE ROAD","11","Non-landed Properties","2","4100","800 to 900","Jun-2022"
"177","PARK INFINIA AT WEE NAM","LINCOLN ROAD","11","Non-landed Properties","1","3300","500 to 600","Jun-2022"
"178","NEWTON SUITES","NEWTON ROAD","11","Non-landed Properties","3","7200","1200 to 1300","Jun-2022"
"179","PARK INFINIA AT WEE NAM","LINCOLN ROAD","11","Non-landed Properties","2","4700","900 to 1000","Jun-2022"
"180","L'VIV","NEWTON ROAD","11","Non-landed Properties","2","5500","1000 to 1100","Jun-2022"
"181","SHELFORD SUITES","SHELFORD ROAD","11","Non-landed Properties","3","5200","1200 to 1300","Jun-2022"
"182","ZEDGE","AKYAB ROAD","11","Non-landed Properties","2","2750","600 to 700","Jun-2022"
"183","THOMSON EURO-ASIA","THOMSON ROAD","11","Non-landed Properties","2","3500","900 to 1000","Jun-2022"
"184","NEWTON SUITES","NEWTON ROAD","11","Non-landed Properties","3","6700","1200 to 1300","Jun-2022"
"185","ROCHELLE AT NEWTON","KENG LEE ROAD","11","Non-landed Properties","4","8200","1800 to 1900","Jun-2022"
"186","HILLCREST ARCADIA","ARCADIA ROAD","11","Non-landed Properties","1","2850","900 to 1000","Jun-2022"
"187","368 THOMSON","THOMSON ROAD","11","Non-landed Properties","4","5000","1700 to 1800","Jun-2022"
"188","NEWTON GEMS","NEWTON ROAD","11","Non-landed Properties","4","7500","2000 to 2100","Jun-2022"
"189","MANDALAY MANSION","MINBU ROAD","11","Non-landed Properties","NA","4500","2000 to 2100","Jun-2022"
"190","STRATA","ESSEX ROAD","11","Non-landed Properties","2","4300","800 to 900","Jun-2022"
"191","6 DERBYSHIRE","DERBYSHIRE ROAD","11","Non-landed Properties","1","2600","500 to 600","Jun-2022"
"192","TREVOSE PARK","TREVOSE CRESCENT","11","Non-landed Properties","3","6500","1600 to 1700","Jun-2022"
"193","NEWTON SUITES","NEWTON ROAD","11","Non-landed Properties","2","4600","700 to 800","Jun-2022"
"194","VIVA","SUFFOLK WALK","11","Non-landed Properties","3","9000","1500 to 1600","Jun-2022"
"195","THE ARCADIA","ARCADIA ROAD","11","Non-landed Properties","4","9000",">3000","Jun-2022"
"196","TRILIGHT","NEWTON ROAD","11","Non-landed Properties","2","5000","1000 to 1100","Jun-2022"
"197","VISIN APARTMENTS","SURREY ROAD","11","Non-landed Properties","NA","3500","1000 to 1100","Jun-2022"
"198","ROCHELLE AT NEWTON","KENG LEE ROAD","11","Non-landed Properties","2","4700","1000 to 1100","Jun-2022"
"199","SUITES @ SHREWSBURY","SHREWSBURY ROAD","11","Non-landed Properties","1","2800","500 to 600","Jun-2022"
"200","NEWTON SUITES","NEWTON ROAD","11","Non-landed Properties","2","3800","700 to 800","Jun-2022"
"201","THOMSON 800","THOMSON ROAD","11","Non-landed Properties","3","4300","1600 to 1700","Jun-2022"
"202","GILSTEAD COURT","GILSTEAD ROAD","11","Non-landed Properties","3","3200","1300 to 1400","Jun-2022"
"203","ZEDGE","AKYAB ROAD","11","Non-landed Properties","2","3300","700 to 800","Jun-2022"
"204","NOVENA SUITES","MOULMEIN ROAD","11","Non-landed Properties","1","3800","600 to 700","Jun-2022"
"205","MEDGE","MINBU ROAD","11","Non-landed Properties","2","3000","800 to 900","Jun-2022"
"206","THE LINCOLN MODERN","LINCOLN ROAD","11","Non-landed Properties","3","5500","1400 to 1500","Jun-2022"
"207","BUCKLEY 18","BUCKLEY ROAD","11","Non-landed Properties","2","4500","1000 to 1100","Jun-2022"
"208","PAVILION 11","AKYAB ROAD","11","Non-landed Properties","2","3400","900 to 1000","Jun-2022"
"209","SHELFORD MANSIONS","SHELFORD ROAD","11","Non-landed Properties","2","6050",">3000","Jun-2022"
"210","SURREY COURT","SURREY ROAD","11","Non-landed Properties","4","4500","1500 to 1600","Jun-2022"
"211","VIVA","SUFFOLK WALK","11","Non-landed Properties","2","5850","900 to 1000","Jun-2022"
"212","VIVA","SUFFOLK WALK","11","Non-landed Properties","2","5000","900 to 1000","Jun-2022"
"213","NOVENA SUITES","MOULMEIN ROAD","11","Non-landed Properties","2","3700","900 to 1000","Jun-2022"
"214","NINETEEN SHELFORD ROAD","SHELFORD ROAD","11","Non-landed Properties","3","3900","1400 to 1500","Jun-2022"
"215","6 DERBYSHIRE","DERBYSHIRE ROAD","11","Non-landed Properties","2","4000","800 to 900","Jun-2022"
"216","NON-LANDED HOUSING DEVELOPMENT","GILSTEAD ROAD","11","Non-landed Properties","2","1100","1000 to 1100","Jun-2022"
"217","ADRIA","DERBYSHIRE ROAD","11","Non-landed Properties","1","2600","500 to 600","Jun-2022"
"218","ADRIA","DERBYSHIRE ROAD","11","Non-landed Properties","2","3400","600 to 700","Jun-2022"
"219","EVELYN MANSIONS","EVELYN ROAD","11","Non-landed Properties","2","4000","800 to 900","Jun-2022"
"220","THOMSON 800","THOMSON ROAD","11","Non-landed Properties","3","4600","1600 to 1700","Jun-2022"
"221","SUITES @ NEWTON","SURREY ROAD","11","Non-landed Properties","2","2950","600 to 700","Jun-2022"
"222","ST RESIDENCES NOVENA","MOULMEIN ROAD","11","Non-landed Properties","NA","98000",">3000","Jun-2022"
"223","NINETEEN SHELFORD ROAD","SHELFORD ROAD","11","Non-landed Properties","2","3150","900 to 1000","Jun-2022"
"224","GILSTEAD TWO","GILSTEAD ROAD","11","Non-landed Properties","2","3300","700 to 800","Jun-2022"
"225","NEWTON 18","NEWTON ROAD","11","Non-landed Properties","2","4500","900 to 1000","Jun-2022"
"226","GILSTEAD TWO","GILSTEAD ROAD","11","Non-landed Properties","2","3800","900 to 1000","Jun-2022"
"227","PAVILION 11","AKYAB ROAD","11","Non-landed Properties","3","4800","1400 to 1500","Jun-2022"
"228","CUBE 8","THOMSON ROAD","11","Non-landed Properties","1","3500","500 to 600","Jun-2022"
"229","LINCOLN SUITES","KHIANG GUAN AVENUE","11","Non-landed Properties","4","8800","1700 to 1800","Jun-2022"
"230","PAVILION 11","AKYAB ROAD","11","Non-landed Properties","3","5800","1400 to 1500","Jun-2022"
"231","GILSTEAD TWO","GILSTEAD ROAD","11","Non-landed Properties","2","4000","900 to 1000","Jun-2022"
"232","NEWTON GEMS","NEWTON ROAD","11","Non-landed Properties","4","6373","1700 to 1800","Jun-2022"
"233","NON-LANDED HOUSING DEVELOPMENT","GILSTEAD ROAD","11","Non-landed Properties","2","1100","1000 to 1100","Jun-2022"
"234","NON-LANDED HOUSING DEVELOPMENT","SHREWSBURY ROAD","11","Non-landed Properties","NA","3800","1000 to 1100","Jun-2022"
"235","NON-LANDED HOUSING DEVELOPMENT","SHREWSBURY ROAD","11","Non-landed Properties","NA","2500","800 to 900","Jun-2022"
"236","NON-LANDED HOUSING DEVELOPMENT","SHREWSBURY ROAD","11","Non-landed Properties","NA","2500","800 to 900","Jun-2022"
"237","NON-LANDED HOUSING DEVELOPMENT","SHREWSBURY ROAD","11","Non-landed Properties","NA","2500","800 to 900","Jun-2022"
"238","HILLCREST ARCADIA","ARCADIA ROAD","11","Non-landed Properties","2","5000","1400 to 1500","Jun-2022"
"239","LA MAISON","MOULMEIN RISE","11","Non-landed Properties","3","4750","1200 to 1300","Jun-2022"
"240","6 DERBYSHIRE","DERBYSHIRE ROAD","11","Non-landed Properties","2","4250","700 to 800","Jun-2022"
"241","NINETEEN SHELFORD ROAD","SHELFORD ROAD","11","Non-landed Properties","3","5500","1500 to 1600","Jun-2022"
"242","SOLEIL @ SINARAN","SINARAN DRIVE","11","Non-landed Properties","2","5400","900 to 1000","Jun-2022"
"243","NEWTON 18","NEWTON ROAD","11","Non-landed Properties","2","3600","800 to 900","Jun-2022"
"244","PARK INFINIA AT WEE NAM","LINCOLN ROAD","11","Non-landed Properties","2","4900","1000 to 1100","Jun-2022"
"245","GILSTEAD TWO","GILSTEAD ROAD","11","Non-landed Properties","2","4500","900 to 1000","Jun-2022"
"246","NON-LANDED HOUSING DEVELOPMENT","SHREWSBURY ROAD","11","Non-landed Properties","NA","5300","1300 to 1400","Jun-2022"
