"S/N","Building/Project Name","Street Name","Postal District","Type","No. of Bedroom(for Non-Landed Only)","Monthly Gross Rent($)","Floor Area (sq ft)","Lease Commencement Date"
"1","LAKE GRANDE","JURONG LAKE LINK","22","Non-landed Properties","1","2100","400 to 500","Jun-2022"
"2","J GATEWAY","GATEWAY DRIVE","22","Non-landed Properties","3","4800","900 to 1000","Jun-2022"
"3","LAKE GRANDE","JURONG LAKE LINK","22","Non-landed Properties","2","2450","600 to 700","Jun-2022"
"4","LAKEVILLE","JURONG LAKE LINK","22","Non-landed Properties","2","2700","600 to 700","Jun-2022"
"5","LAKEVILLE","JURONG LAKE LINK","22","Non-landed Properties","3","3500","900 to 1000","Jun-2022"
"6","J GATEWAY","GATEWAY DRIVE","22","Non-landed Properties","2","3800","600 to 700","Jun-2022"
"7","THE LAKEFRONT RESIDENCES","LAKESIDE DRIVE","22","Non-landed Properties","2","3000","700 to 800","Jun-2022"
"8","LAKE GRANDE","JURONG LAKE LINK","22","Non-landed Properties","1","2300","400 to 500","Jun-2022"
"9","LAKEVILLE","JURONG LAKE LINK","22","Non-landed Properties","4","5800","1200 to 1300","Jun-2022"
"10","THE LAKESHORE","JURONG WEST STREET 41","22","Non-landed Properties","3","4600","1100 to 1200","Jun-2022"
"11","PARC VISTA","CORPORATION ROAD","22","Non-landed Properties","3","3700","1200 to 1300","Jun-2022"
"12","J GATEWAY","GATEWAY DRIVE","22","Non-landed Properties","1","2700","400 to 500","Jun-2022"
"13","CASPIAN","LAKESIDE DRIVE","22","Non-landed Properties","3","4500","1400 to 1500","Jun-2022"
"14","LAKEVILLE","JURONG LAKE LINK","22","Non-landed Properties","2","2500","600 to 700","Jun-2022"
"15","CASPIAN","LAKESIDE DRIVE","22","Non-landed Properties","3","3200","1200 to 1300","Jun-2022"
"16","J GATEWAY","GATEWAY DRIVE","22","Non-landed Properties","1","2800","400 to 500","Jun-2022"
"17","PARC VISTA","CORPORATION ROAD","22","Non-landed Properties","3","3650","1200 to 1300","Jun-2022"
"18","PARC OASIS","JURONG EAST AVENUE 1","22","Non-landed Properties","3","4400","1300 to 1400","Jun-2022"
"19","LAKEVILLE","JURONG LAKE LINK","22","Non-landed Properties","1","3000","500 to 600","Jun-2022"
"20","LAKE GRANDE","JURONG LAKE LINK","22","Non-landed Properties","1","2550","400 to 500","Jun-2022"
"21","PARC OASIS","JURONG EAST AVENUE 1","22","Non-landed Properties","2","4000","1000 to 1100","Jun-2022"
"22","LAKE GRANDE","JURONG LAKE LINK","22","Non-landed Properties","2","4000","700 to 800","Jun-2022"
"23","LAKEVILLE","JURONG LAKE LINK","22","Non-landed Properties","2","3400","700 to 800","Jun-2022"
"24","LAKE GRANDE","JURONG LAKE LINK","22","Non-landed Properties","2","4100","900 to 1000","Jun-2022"
"25","THE LAKEFRONT RESIDENCES","LAKESIDE DRIVE","22","Non-landed Properties","2","3900","700 to 800","Jun-2022"
"26","CASPIAN","LAKESIDE DRIVE","22","Non-landed Properties","3","4000","1200 to 1300","Jun-2022"
"27","THE CENTRIS","JURONG WEST CENTRAL 3","22","Non-landed Properties","2","4000","900 to 1000","Jun-2022"
"28","THE LAKEFRONT RESIDENCES","LAKESIDE DRIVE","22","Non-landed Properties","1","2500","400 to 500","Jun-2022"
"29","THE LAKEFRONT RESIDENCES","LAKESIDE DRIVE","22","Non-landed Properties","4","4800","1900 to 2000","Jun-2022"
"30","THE CENTRIS","JURONG WEST CENTRAL 3","22","Non-landed Properties","2","3200","800 to 900","Jun-2022"
"31","PARK VIEW MANSION","YUAN CHING ROAD","22","Non-landed Properties","NA","3000","1300 to 1400","Jun-2022"
"32","IVORY HEIGHTS","JURONG EAST STREET 13","22","Non-landed Properties","NA","2700","1400 to 1500","Jun-2022"
