"S/N","Building/Project Name","Street Name","Postal District","Type","No. of Bedroom(for Non-Landed Only)","Monthly Gross Rent($)","Floor Area (sq ft)","Lease Commencement Date"
"33","LAKE GRANDE","JURONG LAKE LINK","22","Non-landed Properties","2","3400","600 to 700","Jun-2022"
"34","J GATEWAY","GATEWAY DRIVE","22","Non-landed Properties","2","4000","700 to 800","Jun-2022"
"35","THE CENTRIS","JURONG WEST CENTRAL 3","22","Non-landed Properties","3","4800","1200 to 1300","Jun-2022"
"36","PARC OASIS","JURONG EAST AVENUE 1","22","Non-landed Properties","3","4500","1300 to 1400","Jun-2022"
"37","LAKE GRANDE","JURONG LAKE LINK","22","Non-landed Properties","2","4000","600 to 700","Jun-2022"
"38","LAKESIDE TOWER","YUAN CHING ROAD","22","Non-landed Properties","NA","4300","1900 to 2000","Jun-2022"
"39","THE MAYFAIR","JURONG EAST STREET 32","22","Non-landed Properties","3","4100","1200 to 1300","Jun-2022"
"40","THE MAYFAIR","JURONG EAST STREET 32","22","Non-landed Properties","3","3500","1100 to 1200","Jun-2022"
"41","IVORY HEIGHTS","JURONG EAST STREET 13","22","Non-landed Properties","NA","3000","1700 to 1800","Jun-2022"
"42","LAKEVILLE","JURONG LAKE LINK","22","Non-landed Properties","2","3100","700 to 800","Jun-2022"
"43","THE LAKEFRONT RESIDENCES","LAKESIDE DRIVE","22","Non-landed Properties","3","3800","900 to 1000","Jun-2022"
"44","PARC VISTA","CORPORATION ROAD","22","Non-landed Properties","2","3000","1000 to 1100","Jun-2022"
"45","THE LAKEFRONT RESIDENCES","LAKESIDE DRIVE","22","Non-landed Properties","1","2400","400 to 500","Jun-2022"
"46","THE CENTRIS","JURONG WEST CENTRAL 3","22","Non-landed Properties","3","4700","1200 to 1300","Jun-2022"
"47","THE MAYFAIR","JURONG EAST STREET 32","22","Non-landed Properties","2","2600","800 to 900","Jun-2022"
"48","CASPIAN","LAKESIDE DRIVE","22","Non-landed Properties","3","3400","1200 to 1300","Jun-2022"
"49","IVORY HEIGHTS","JURONG EAST STREET 13","22","Non-landed Properties","NA","2700","1700 to 1800","Jun-2022"
"50","THE LAKEFRONT RESIDENCES","LAKESIDE DRIVE","22","Non-landed Properties","2","3650","700 to 800","Jun-2022"
"51","CASPIAN","LAKESIDE DRIVE","22","Non-landed Properties","2","3900","900 to 1000","Jun-2022"
"52","LAKE GRANDE","JURONG LAKE LINK","22","Non-landed Properties","1","2700","500 to 600","Jun-2022"
"53","LAKE GRANDE","JURONG LAKE LINK","22","Non-landed Properties","1","2250","400 to 500","Jun-2022"
"54","CASPIAN","LAKESIDE DRIVE","22","Non-landed Properties","4","5800","1500 to 1600","Jun-2022"
"55","LAKE GRANDE","JURONG LAKE LINK","22","Non-landed Properties","2","4000","800 to 900","Jun-2022"
"56","THE LAKESHORE","JURONG WEST STREET 41","22","Non-landed Properties","2","2850","900 to 1000","Jun-2022"
"57","PARC OASIS","JURONG EAST AVENUE 1","22","Non-landed Properties","2","3200","1000 to 1100","Jun-2022"
"58","LAKEVILLE","JURONG LAKE LINK","22","Non-landed Properties","2","3000","700 to 800","Jun-2022"
"59","CASPIAN","LAKESIDE DRIVE","22","Non-landed Properties","3","4500","1200 to 1300","Jun-2022"
"60","PARC VISTA","CORPORATION ROAD","22","Non-landed Properties","2","3600","1000 to 1100","Jun-2022"
"61","PARC VISTA","CORPORATION ROAD","22","Non-landed Properties","2","3400","1000 to 1100","Jun-2022"
"62","PARC VISTA","CORPORATION ROAD","22","Non-landed Properties","2","3500","1100 to 1200","Jun-2022"
"63","LAKE GRANDE","JURONG LAKE LINK","22","Non-landed Properties","3","4500","900 to 1000","Jun-2022"
"64","PARC OASIS","JURONG EAST AVENUE 1","22","Non-landed Properties","3","2400","1200 to 1300","Jun-2022"
"65","THE LAKEFRONT RESIDENCES","LAKESIDE DRIVE","22","Non-landed Properties","3","4300","1000 to 1100","Jun-2022"
"66","J GATEWAY","GATEWAY DRIVE","22","Non-landed Properties","3","5800","1100 to 1200","Jun-2022"
"67","PARC OASIS","JURONG EAST AVENUE 1","22","Non-landed Properties","3","3800","1300 to 1400","Jun-2022"
"68","LAKE GRANDE","JURONG LAKE LINK","22","Non-landed Properties","2","3300","600 to 700","Jun-2022"
"69","PARC VISTA","CORPORATION ROAD","22","Non-landed Properties","3","3300","1200 to 1300","Jun-2022"
"70","LAKE GRANDE","JURONG LAKE LINK","22","Non-landed Properties","1","2800","500 to 600","Jun-2022"
"71","LAKEVILLE","JURONG LAKE LINK","22","Non-landed Properties","3","3600","1100 to 1200","Jun-2022"
"72","J GATEWAY","GATEWAY DRIVE","22","Non-landed Properties","2","3700","600 to 700","Jun-2022"
"73","LAKE GRANDE","JURONG LAKE LINK","22","Non-landed Properties","1","3100","400 to 500","Jun-2022"
"74","LAKEPOINT CONDOMINIUM","LAKEPOINT DRIVE","22","Non-landed Properties","NA","4000","2200 to 2300","Jun-2022"
"75","THE LAKEFRONT RESIDENCES","LAKESIDE DRIVE","22","Non-landed Properties","3","4150","1000 to 1100","Jun-2022"
"76","LAKEVILLE","JURONG LAKE LINK","22","Non-landed Properties","3","5200","1100 to 1200","Jun-2022"
"77","LAKE GRANDE","JURONG LAKE LINK","22","Non-landed Properties","2","2900","600 to 700","Jun-2022"
"78","PARC OASIS","JURONG EAST AVENUE 1","22","Non-landed Properties","2","4000","1000 to 1100","Jun-2022"
"79","LAKE GRANDE","JURONG LAKE LINK","22","Non-landed Properties","3","4900","900 to 1000","Jun-2022"
"80","THE CENTRIS","JURONG WEST CENTRAL 3","22","Non-landed Properties","2","3800","1000 to 1100","Jun-2022"
"81","LAKEVILLE","JURONG LAKE LINK","22","Non-landed Properties","2","2300","600 to 700","Jun-2022"
"82","LAKEVILLE","JURONG LAKE LINK","22","Non-landed Properties","2","3300","700 to 800","Jun-2022"
"83","J GATEWAY","GATEWAY DRIVE","22","Non-landed Properties","2","4500","600 to 700","Jun-2022"
"84","THE LAKESHORE","JURONG WEST STREET 41","22","Non-landed Properties","3","3500","1100 to 1200","Jun-2022"
"85","CASPIAN","LAKESIDE DRIVE","22","Non-landed Properties","NA","2500","400 to 500","Jun-2022"
"86","PARK VIEW MANSION","YUAN CHING ROAD","22","Non-landed Properties","NA","2200","1300 to 1400","Jun-2022"
"87","CASPIAN","LAKESIDE DRIVE","22","Non-landed Properties","4","5500","1300 to 1400","Jun-2022"
"88","CASPIAN","LAKESIDE DRIVE","22","Non-landed Properties","3","4200","1100 to 1200","Jun-2022"
"89","THE CENTRIS","JURONG WEST CENTRAL 3","22","Non-landed Properties","3","4200","1200 to 1300","Jun-2022"
"90","LAKE GRANDE","JURONG LAKE LINK","22","Non-landed Properties","2","3400","600 to 700","Jun-2022"
"91","PARC VISTA","CORPORATION ROAD","22","Non-landed Properties","3","3000","1200 to 1300","Jun-2022"
"92","THE LAKESHORE","JURONG WEST STREET 41","22","Non-landed Properties","3","3500","1100 to 1200","Jun-2022"
"93","LAKE GRANDE","JURONG LAKE LINK","22","Non-landed Properties","3","4300","900 to 1000","Jun-2022"
"94","PARC VISTA","CORPORATION ROAD","22","Non-landed Properties","2","3700","1000 to 1100","Jun-2022"
"95","THE MAYFAIR","JURONG EAST STREET 32","22","Non-landed Properties","3","3400","1200 to 1300","Jun-2022"
"96","THE LAKEFRONT RESIDENCES","LAKESIDE DRIVE","22","Non-landed Properties","5","10000","2800 to 2900","Jun-2022"
"97","LAKEVILLE","JURONG LAKE LINK","22","Non-landed Properties","1","2200","500 to 600","Jun-2022"
"98","CASPIAN","LAKESIDE DRIVE","22","Non-landed Properties","2","3600","1000 to 1100","Jun-2022"
"99","PARC OASIS","JURONG EAST AVENUE 1","22","Non-landed Properties","3","3900","1200 to 1300","Jun-2022"
"100","J GATEWAY","GATEWAY DRIVE","22","Non-landed Properties","2","4150","600 to 700","Jun-2022"
"101","THE LAKESHORE","JURONG WEST STREET 41","22","Non-landed Properties","3","4300","1100 to 1200","Jun-2022"
"102","J GATEWAY","GATEWAY DRIVE","22","Non-landed Properties","3","4100","900 to 1000","Jun-2022"
"103","PARC OASIS","JURONG EAST AVENUE 1","22","Non-landed Properties","4","4000","1500 to 1600","Jun-2022"
"104","THE MAYFAIR","JURONG EAST STREET 32","22","Non-landed Properties","3","3250","1100 to 1200","Jun-2022"
"105","LAKEVILLE","JURONG LAKE LINK","22","Non-landed Properties","2","3400","700 to 800","Jun-2022"
"106","J GATEWAY","GATEWAY DRIVE","22","Non-landed Properties","1","2900","400 to 500","Jun-2022"
"107","LAKEPOINT CONDOMINIUM","LAKEPOINT DRIVE","22","Non-landed Properties","NA","3850","2200 to 2300","Jun-2022"
"108","J GATEWAY","GATEWAY DRIVE","22","Non-landed Properties","2","4200","600 to 700","Jun-2022"
"109","LAKEPOINT CONDOMINIUM","LAKEPOINT DRIVE","22","Non-landed Properties","NA","4300","2200 to 2300","Jun-2022"
"110","PARC OASIS","JURONG EAST AVENUE 1","22","Non-landed Properties","5","4300","1700 to 1800","Jun-2022"
"111","J GATEWAY","GATEWAY DRIVE","22","Non-landed Properties","1","3000","400 to 500","Jun-2022"
"112","CASPIAN","LAKESIDE DRIVE","22","Non-landed Properties","3","3300","1200 to 1300","Jun-2022"
"113","THE LAKESHORE","JURONG WEST STREET 41","22","Non-landed Properties","3","4725","1100 to 1200","Jun-2022"
"114","THE MAYFAIR","JURONG EAST STREET 32","22","Non-landed Properties","4","4800","1300 to 1400","Jun-2022"
"115","J GATEWAY","GATEWAY DRIVE","22","Non-landed Properties","3","5800","1100 to 1200","Jun-2022"
"116","THE LAKEFRONT RESIDENCES","LAKESIDE DRIVE","22","Non-landed Properties","2","3500","700 to 800","Jun-2022"
"117","LAKE GRANDE","JURONG LAKE LINK","22","Non-landed Properties","2","3200","600 to 700","Jun-2022"
"118","LAKE GRANDE","JURONG LAKE LINK","22","Non-landed Properties","2","3900","800 to 900","Jun-2022"
"119","J GATEWAY","GATEWAY DRIVE","22","Non-landed Properties","3","4500","900 to 1000","Jun-2022"
"120","IVORY HEIGHTS","JURONG EAST STREET 13","22","Non-landed Properties","NA","3200","1700 to 1800","Jun-2022"
"121","LAKE GRANDE","JURONG LAKE LINK","22","Non-landed Properties","2","3500","600 to 700","Jun-2022"
"122","LAKE GRANDE","JURONG LAKE LINK","22","Non-landed Properties","1","3000","400 to 500","Jun-2022"
"123","THE LAKEFRONT RESIDENCES","LAKESIDE DRIVE","22","Non-landed Properties","2","3600","700 to 800","Jun-2022"
"124","LAKEVILLE","JURONG LAKE LINK","22","Non-landed Properties","1","2200","500 to 600","Jun-2022"
"125","THE CENTRIS","JURONG WEST CENTRAL 3","22","Non-landed Properties","3","5000","1900 to 2000","Jun-2022"
"126","THE CENTRIS","JURONG WEST CENTRAL 3","22","Non-landed Properties","3","4200","1000 to 1100","Jun-2022"
"127","PARC VISTA","CORPORATION ROAD","22","Non-landed Properties","1","2800","1000 to 1100","Jun-2022"
"128","THE LAKESHORE","JURONG WEST STREET 41","22","Non-landed Properties","3","4000","1100 to 1200","Jun-2022"
"129","THE MAYFAIR","JURONG EAST STREET 32","22","Non-landed Properties","2","3200","900 to 1000","Jun-2022"
"130","J GATEWAY","GATEWAY DRIVE","22","Non-landed Properties","1","2800","400 to 500","Jun-2022"
"131","THE CENTRIS","JURONG WEST CENTRAL 3","22","Non-landed Properties","3","3500","1000 to 1100","Jun-2022"
"132","THE MAYFAIR","JURONG EAST STREET 32","22","Non-landed Properties","3","3150","1100 to 1200","Jun-2022"
"133","LAKE GRANDE","JURONG LAKE LINK","22","Non-landed Properties","3","5100","900 to 1000","Jun-2022"
"134","THE CENTRIS","JURONG WEST CENTRAL 3","22","Non-landed Properties","3","5200","1100 to 1200","Jun-2022"
"135","LAKEVILLE","JURONG LAKE LINK","22","Non-landed Properties","3","5100","1100 to 1200","Jun-2022"
"136","THE LAKESHORE","JURONG WEST STREET 41","22","Non-landed Properties","3","3500","1100 to 1200","Jun-2022"
"137","LAKE GRANDE","JURONG LAKE LINK","22","Non-landed Properties","2","2800","600 to 700","Jun-2022"
"138","THE CENTRIS","JURONG WEST CENTRAL 3","22","Non-landed Properties","2","3800","900 to 1000","Jun-2022"
"139","PARC VISTA","CORPORATION ROAD","22","Non-landed Properties","2","3000","1200 to 1300","Jun-2022"
"140","IVORY HEIGHTS","JURONG EAST STREET 13","22","Non-landed Properties","NA","3000","1600 to 1700","Jun-2022"
"141","THE CENTRIS","JURONG WEST CENTRAL 3","22","Non-landed Properties","3","4200","1000 to 1100","Jun-2022"
"142","LAKE GRANDE","JURONG LAKE LINK","22","Non-landed Properties","2","3350","700 to 800","Jun-2022"
"143","LAKEHOLMZ","CORPORATION ROAD","22","Non-landed Properties","4","4350","1500 to 1600","Jun-2022"
"144","THE LAKEFRONT RESIDENCES","LAKESIDE DRIVE","22","Non-landed Properties","3","4000","1000 to 1100","Jun-2022"
"145","PARC VISTA","CORPORATION ROAD","22","Non-landed Properties","2","3400","1000 to 1100","Jun-2022"
"146","THE LAKEFRONT RESIDENCES","LAKESIDE DRIVE","22","Non-landed Properties","3","4000","1000 to 1100","Jun-2022"
"147","THE MAYFAIR","JURONG EAST STREET 32","22","Non-landed Properties","3","3300","1100 to 1200","Jun-2022"
"148","J GATEWAY","GATEWAY DRIVE","22","Non-landed Properties","2","3500","600 to 700","Jun-2022"
"149","PARC VISTA","CORPORATION ROAD","22","Non-landed Properties","2","4000","1000 to 1100","Jun-2022"
"150","THE CENTRIS","JURONG WEST CENTRAL 3","22","Non-landed Properties","2","3700","900 to 1000","Jun-2022"
"151","PARC VISTA","CORPORATION ROAD","22","Non-landed Properties","2","2800","1000 to 1100","Jun-2022"
"152","LAKE GRANDE","JURONG LAKE LINK","22","Non-landed Properties","1","3300","400 to 500","Jun-2022"
"153","J GATEWAY","GATEWAY DRIVE","22","Non-landed Properties","1","3300","500 to 600","Jun-2022"
"154","J GATEWAY","GATEWAY DRIVE","22","Non-landed Properties","2","3800","600 to 700","Jun-2022"
"155","THE LAKESHORE","JURONG WEST STREET 41","22","Non-landed Properties","2","2700","900 to 1000","Jun-2022"
"156","LAKEVILLE","JURONG LAKE LINK","22","Non-landed Properties","3","3700","900 to 1000","Jun-2022"
"157","CASPIAN","LAKESIDE DRIVE","22","Non-landed Properties","NA","2200","400 to 500","Jun-2022"
"158","THE LAKESHORE","JURONG WEST STREET 41","22","Non-landed Properties","3","4700","1100 to 1200","Jun-2022"
"159","THE MAYFAIR","JURONG EAST STREET 32","22","Non-landed Properties","1","2700","600 to 700","Jun-2022"
"160","THE CENTRIS","JURONG WEST CENTRAL 3","22","Non-landed Properties","3","4500","1000 to 1100","Jun-2022"
"161","PARC VISTA","CORPORATION ROAD","22","Non-landed Properties","4","4000","1600 to 1700","Jun-2022"
"162","THE LAKESHORE","JURONG WEST STREET 41","22","Non-landed Properties","2","3200","900 to 1000","Jun-2022"
"163","THE LAKESHORE","JURONG WEST STREET 41","22","Non-landed Properties","3","3100","1100 to 1200","Jun-2022"
"164","THE LAKESHORE","JURONG WEST STREET 41","22","Non-landed Properties","3","4300","1100 to 1200","Jun-2022"
"165","THE LAKESHORE","JURONG WEST STREET 41","22","Non-landed Properties","3","4500","1100 to 1200","Jun-2022"
"166","LAKE GRANDE","JURONG LAKE LINK","22","Non-landed Properties","2","3800","700 to 800","Jun-2022"
"167","LAKEVILLE","JURONG LAKE LINK","22","Non-landed Properties","2","2800","600 to 700","Jun-2022"
"168","CASPIAN","LAKESIDE DRIVE","22","Non-landed Properties","3","3800","1300 to 1400","Jun-2022"
"169","LAKESIDE APARTMENTS","YUAN CHING ROAD","22","Non-landed Properties","NA","2900","1500 to 1600","Jun-2022"
"170","THE CENTRIS","JURONG WEST CENTRAL 3","22","Non-landed Properties","2","3500","900 to 1000","Jun-2022"
"171","PARC OASIS","JURONG EAST AVENUE 1","22","Non-landed Properties","4","4400","1500 to 1600","Jun-2022"
"172","PARC VISTA","CORPORATION ROAD","22","Non-landed Properties","2","3500","1000 to 1100","Jun-2022"
"173","LAKE GRANDE","JURONG LAKE LINK","22","Non-landed Properties","2","3000","600 to 700","Jun-2022"
"174","THE LAKEFRONT RESIDENCES","LAKESIDE DRIVE","22","Non-landed Properties","3","4000","1000 to 1100","Jun-2022"
"175","THE LAKEFRONT RESIDENCES","LAKESIDE DRIVE","22","Non-landed Properties","1","2300","600 to 700","Jun-2022"
"176","THE LAKESHORE","JURONG WEST STREET 41","22","Non-landed Properties","3","4500","1100 to 1200","Jun-2022"
"177","LAKEHOLMZ","CORPORATION ROAD","22","Non-landed Properties","3","3400","1200 to 1300","Jun-2022"
"178","THE LAKEFRONT RESIDENCES","LAKESIDE DRIVE","22","Non-landed Properties","1","3000","500 to 600","Jun-2022"
"179","THE CENTRIS","JURONG WEST CENTRAL 3","22","Non-landed Properties","2","3700","900 to 1000","Jun-2022"
"180","THE LAKESHORE","JURONG WEST STREET 41","22","Non-landed Properties","2","3300","800 to 900","Jun-2022"
"181","LAKE GRANDE","JURONG LAKE LINK","22","Non-landed Properties","2","3800","600 to 700","Jun-2022"
"182","THE MAYFAIR","JURONG EAST STREET 32","22","Non-landed Properties","3","3300","1100 to 1200","Jun-2022"
"183","J GATEWAY","GATEWAY DRIVE","22","Non-landed Properties","1","2900","500 to 600","Jun-2022"
"184","PARK VIEW MANSION","YUAN CHING ROAD","22","Non-landed Properties","NA","2900","1100 to 1200","Jun-2022"
"185","THE LAKESHORE","JURONG WEST STREET 41","22","Non-landed Properties","3","4500","1100 to 1200","Jun-2022"
"186","LAKESIDE TOWER","YUAN CHING ROAD","22","Non-landed Properties","NA","2800","1900 to 2000","Jun-2022"
"187","IVORY HEIGHTS","JURONG EAST STREET 13","22","Non-landed Properties","NA","3300","1400 to 1500","Jun-2022"
"188","IVORY HEIGHTS","JURONG EAST STREET 13","22","Non-landed Properties","NA","3100","1700 to 1800","Jun-2022"
"189","PARC VISTA","CORPORATION ROAD","22","Non-landed Properties","2","2800","1000 to 1100","Jun-2022"
"190","CASPIAN","LAKESIDE DRIVE","22","Non-landed Properties","NA","2300","400 to 500","Jun-2022"
"191","LAKEVILLE","JURONG LAKE LINK","22","Non-landed Properties","2","2950","700 to 800","Jun-2022"
"192","PARC VISTA","CORPORATION ROAD","22","Non-landed Properties","2","2600","1000 to 1100","Jun-2022"
"193","PARC OASIS","JURONG EAST AVENUE 1","22","Non-landed Properties","3","3200","1300 to 1400","Jun-2022"
"194","IVORY HEIGHTS","JURONG EAST STREET 13","22","Non-landed Properties","NA","3000","1400 to 1500","Jun-2022"
"195","LAKEVILLE","JURONG LAKE LINK","22","Non-landed Properties","2","2700","600 to 700","Jun-2022"
"196","LAKEHOLMZ","CORPORATION ROAD","22","Non-landed Properties","3","3200","1200 to 1300","Jun-2022"
"197","LAKESIDE TOWER","YUAN CHING ROAD","22","Non-landed Properties","NA","3300","1900 to 2000","Jun-2022"
"198","PARC VISTA","CORPORATION ROAD","22","Non-landed Properties","2","3600","1000 to 1100","Jun-2022"
"199","LAKESIDE APARTMENTS","YUAN CHING ROAD","22","Non-landed Properties","NA","2850","1500 to 1600","Jun-2022"
"200","PARC OASIS","JURONG EAST AVENUE 1","22","Non-landed Properties","3","3800","1300 to 1400","Jun-2022"
"201","PARC OASIS","JURONG EAST AVENUE 1","22","Non-landed Properties","3","3550","1300 to 1400","Jun-2022"
"202","PARC VISTA","CORPORATION ROAD","22","Non-landed Properties","3","3000","1200 to 1300","Jun-2022"
"203","PARC VISTA","CORPORATION ROAD","22","Non-landed Properties","2","2900","1000 to 1100","Jun-2022"
"204","LAKE GRANDE","JURONG LAKE LINK","22","Non-landed Properties","2","3500","700 to 800","Jun-2022"
"205","PARK VIEW MANSION","YUAN CHING ROAD","22","Non-landed Properties","NA","2600","1300 to 1400","Jun-2022"
"206","LAKEVILLE","JURONG LAKE LINK","22","Non-landed Properties","1","3000","500 to 600","Jun-2022"
"207","THE MAYFAIR","JURONG EAST STREET 32","22","Non-landed Properties","3","3300","1100 to 1200","Jun-2022"
"208","THE LAKEFRONT RESIDENCES","LAKESIDE DRIVE","22","Non-landed Properties","3","4500","1000 to 1100","Jun-2022"
"209","LAKE GRANDE","JURONG LAKE LINK","22","Non-landed Properties","1","2400","400 to 500","Jun-2022"
"210","THE LAKESHORE","JURONG WEST STREET 41","22","Non-landed Properties","2","3800","800 to 900","Jun-2022"
"211","PARC VISTA","CORPORATION ROAD","22","Non-landed Properties","2","3500","1000 to 1100","Jun-2022"
"212","LAKE GRANDE","JURONG LAKE LINK","22","Non-landed Properties","3","4300","900 to 1000","Jun-2022"
"213","IVORY HEIGHTS","JURONG EAST STREET 13","22","Non-landed Properties","NA","3400","1400 to 1500","Jun-2022"
"214","CASPIAN","LAKESIDE DRIVE","22","Non-landed Properties","4","4800","1300 to 1400","Jun-2022"
"215","LAKEPOINT CONDOMINIUM","LAKEPOINT DRIVE","22","Non-landed Properties","NA","4200","2200 to 2300","Jun-2022"
"216","PARC OASIS","JURONG EAST AVENUE 1","22","Non-landed Properties","3","3000","1200 to 1300","Jun-2022"
"217","THE LAKEFRONT RESIDENCES","LAKESIDE DRIVE","22","Non-landed Properties","1","2300","500 to 600","Jun-2022"
"218","THE CENTRIS","JURONG WEST CENTRAL 3","22","Non-landed Properties","2","2900","900 to 1000","Jun-2022"
"219","LAKEVILLE","JURONG LAKE LINK","22","Non-landed Properties","2","3200","700 to 800","Jun-2022"
"220","THE MAYFAIR","JURONG EAST STREET 32","22","Non-landed Properties","3","3400","1200 to 1300","Jun-2022"
"221","PARC VISTA","CORPORATION ROAD","22","Non-landed Properties","2","3151","1000 to 1100","Jun-2022"
"222","THE LAKESHORE","JURONG WEST STREET 41","22","Non-landed Properties","3","4500","1100 to 1200","Jun-2022"
"223","CASPIAN","LAKESIDE DRIVE","22","Non-landed Properties","3","2600","1200 to 1300","Jun-2022"
"224","J GATEWAY","GATEWAY DRIVE","22","Non-landed Properties","1","3450","400 to 500","Jun-2022"
"225","LAKE GRANDE","JURONG LAKE LINK","22","Non-landed Properties","1","2300","400 to 500","Jun-2022"
"226","LAKEPOINT CONDOMINIUM","LAKEPOINT DRIVE","22","Non-landed Properties","NA","3800","1000 to 1100","Jun-2022"
"227","PARC OASIS","JURONG EAST AVENUE 1","22","Non-landed Properties","3","4250","1300 to 1400","Jun-2022"
"228","LAKE GRANDE","JURONG LAKE LINK","22","Non-landed Properties","2","3600","600 to 700","Jun-2022"
"229","LAKE GRANDE","JURONG LAKE LINK","22","Non-landed Properties","1","2800","400 to 500","Jun-2022"
"230","J GATEWAY","GATEWAY DRIVE","22","Non-landed Properties","2","3900","600 to 700","Jun-2022"
"231","J GATEWAY","GATEWAY DRIVE","22","Non-landed Properties","2","3550","600 to 700","Jun-2022"
"232","J GATEWAY","GATEWAY DRIVE","22","Non-landed Properties","3","4800","800 to 900","Jun-2022"
"233","LAKESIDE APARTMENTS","YUAN CHING ROAD","22","Non-landed Properties","NA","2700","1500 to 1600","Jun-2022"
"234","LAKEVILLE","JURONG LAKE LINK","22","Non-landed Properties","3","4800","900 to 1000","May-2022"
"235","LAKE GRANDE","JURONG LAKE LINK","22","Non-landed Properties","2","3900","800 to 900","May-2022"
"236","LAKEHOLMZ","CORPORATION ROAD","22","Non-landed Properties","2","3000","1000 to 1100","May-2022"
"237","THE MAYFAIR","JURONG EAST STREET 32","22","Non-landed Properties","3","3000","1100 to 1200","May-2022"
"238","THE MAYFAIR","JURONG EAST STREET 32","22","Non-landed Properties","1","2300","600 to 700","May-2022"
"239","CASPIAN","LAKESIDE DRIVE","22","Non-landed Properties","2","3200","1000 to 1100","May-2022"
"240","PARC OASIS","JURONG EAST AVENUE 1","22","Non-landed Properties","2","3500","1000 to 1100","May-2022"
"241","LAKEVILLE","JURONG LAKE LINK","22","Non-landed Properties","2","2400","600 to 700","May-2022"
"242","LAKEHOLMZ","CORPORATION ROAD","22","Non-landed Properties","3","4300","1200 to 1300","May-2022"
