"S/N","Building/Project Name","Street Name","Postal District","Type","No. of Bedroom(for Non-Landed Only)","Monthly Gross Rent($)","Floor Area (sq ft)","Lease Commencement Date"
"1","THE LINEAR","UPPER BUKIT TIMAH ROAD","23","Non-landed Properties","2","3800","1000 to 1100","Jun-2022"
"2","THE WARREN","CHOA CHU KANG LOOP","23","Non-landed Properties","2","2800","1000 to 1100","Jun-2022"
"3","ECO SANCTUARY","CHESTNUT AVENUE","23","Non-landed Properties","2","3000","600 to 700","Jun-2022"
"4","THE TENNERY","WOODLANDS ROAD","23","Non-landed Properties","1","2050","600 to 700","Jun-2022"
"5","HILLION RESIDENCES","JELEBU ROAD","23","Non-landed Properties","NA","2900","400 to 500","Jun-2022"
"6","KINGSFORD . HILLVIEW PEAK","HILLVIEW RISE","23","Non-landed Properties","1","1900","500 to 600","Jun-2022"
"7","THE HILLIER","HILLVIEW RISE","23","Non-landed Properties","1","2000","600 to 700","Jun-2022"
"8","MAYSPRINGS","PETIR ROAD","23","Non-landed Properties","2","2200","800 to 900","Jun-2022"
"9","HILLSTA","PHOENIX ROAD","23","Non-landed Properties","NA","2500","600 to 700","Jun-2022"
"10","MI CASA","CHOA CHU KANG AVENUE 3","23","Non-landed Properties","2","2700","1100 to 1200","Jun-2022"
"11","THE TENNERY","WOODLANDS ROAD","23","Non-landed Properties","2","2400","800 to 900","Jun-2022"
"12","TREE HOUSE","CHESTNUT AVENUE","23","Non-landed Properties","2","2600","800 to 900","Jun-2022"
"13","LE QUEST","BUKIT BATOK STREET 41","23","Non-landed Properties","2","3300","500 to 600","Jun-2022"
"14","NATURA@HILLVIEW","HILLVIEW TERRACE","23","Non-landed Properties","2","2300","500 to 600","Jun-2022"
"15","GLENDALE PARK","HILLVIEW AVENUE","23","Non-landed Properties","3","3700","1300 to 1400","Jun-2022"
"16","HILLION RESIDENCES","JELEBU ROAD","23","Non-landed Properties","NA","2400","400 to 500","Jun-2022"
"17","HILLION RESIDENCES","JELEBU ROAD","23","Non-landed Properties","NA","2850","400 to 500","Jun-2022"
"18","MAYSPRINGS","PETIR ROAD","23","Non-landed Properties","2","3200","900 to 1000","Jun-2022"
"19","ECO SANCTUARY","CHESTNUT AVENUE","23","Non-landed Properties","2","2400","700 to 800","Jun-2022"
"20","PARKVIEW APARTMENTS","BUKIT BATOK STREET 25","23","Non-landed Properties","2","3000","900 to 1000","Jun-2022"
"21","THE HILLIER","HILLVIEW RISE","23","Non-landed Properties","1","3000","500 to 600","Jun-2022"
"22","THE WARREN","CHOA CHU KANG LOOP","23","Non-landed Properties","2","2880","1000 to 1100","Jun-2022"
"23","HILLINGTON GREEN","HILLVIEW AVENUE","23","Non-landed Properties","2","4000","1400 to 1500","Jun-2022"
"24","PARK NATURA","BUKIT BATOK EAST AVENUE 6","23","Non-landed Properties","3","5300","1700 to 1800","Jun-2022"
"25","HAZEL PARK CONDOMINIUM","HAZEL PARK TERRACE","23","Non-landed Properties","4","3500","1500 to 1600","Jun-2022"
"26","PARK NATURA","BUKIT BATOK EAST AVENUE 6","23","Non-landed Properties","4","6600","2800 to 2900","Jun-2022"
"27","HILLION RESIDENCES","JELEBU ROAD","23","Non-landed Properties","NA","2500","400 to 500","Jun-2022"
"28","HILLION RESIDENCES","JELEBU ROAD","23","Non-landed Properties","NA","2600","400 to 500","Jun-2022"
"29","THE JADE","BUKIT BATOK CENTRAL LINK","23","Non-landed Properties","3","4800","1300 to 1400","Jun-2022"
"30","PALM GARDENS","HONG SAN WALK","23","Non-landed Properties","2","2100","900 to 1000","Jun-2022"
"31","GUILIN VIEW","BUKIT BATOK STREET 52","23","Non-landed Properties","3","1650","1200 to 1300","Jun-2022"
"32","THE LANAI","HILLVIEW AVENUE","23","Non-landed Properties","2","2900","900 to 1000","Jun-2022"
"33","THE SKYWOODS","DAIRY FARM HEIGHTS","23","Non-landed Properties","2","2800","700 to 800","Jun-2022"
"34","TREE HOUSE","CHESTNUT AVENUE","23","Non-landed Properties","3","3800","1100 to 1200","Jun-2022"
"35","MAYSPRINGS","PETIR ROAD","23","Non-landed Properties","2","2700","800 to 900","Jun-2022"
