"S/N","Building/Project Name","Street Name","Postal District","Type","No. of Bedroom(for Non-Landed Only)","Monthly Gross Rent($)","Floor Area (sq ft)","Lease Commencement Date"
"36","NORTHVALE","CHOA CHU KANG LOOP","23","Non-landed Properties","3","3600","1200 to 1300","Jun-2022"
"37","THE PETALS","HILLVIEW AVENUE","23","Non-landed Properties","4","4200","1600 to 1700","Jun-2022"
"38","THE TENNERY","WOODLANDS ROAD","23","Non-landed Properties","1","2350","600 to 700","Jun-2022"
"39","GUILIN VIEW","BUKIT BATOK STREET 52","23","Non-landed Properties","3","3400","1200 to 1300","Jun-2022"
"40","HILLSTA","PHOENIX ROAD","23","Non-landed Properties","NA","1800","500 to 600","Jun-2022"
"41","HILLBROOKS","HILLVIEW AVENUE","23","Non-landed Properties","3","2900","1400 to 1500","Jun-2022"
"42","HILLSTA","PHOENIX ROAD","23","Non-landed Properties","2","2750","900 to 1000","Jun-2022"
"43","HILLION RESIDENCES","JELEBU ROAD","23","Non-landed Properties","NA","2500","400 to 500","Jun-2022"
"44","CASHEW HEIGHTS CONDOMINIUM","CASHEW ROAD","23","Non-landed Properties","3","2600","1200 to 1300","Jun-2022"
"45","HILLVIEW HEIGHTS","HILLVIEW AVENUE","23","Non-landed Properties","4","4100","1600 to 1700","Jun-2022"
"46","PARKVIEW APARTMENTS","BUKIT BATOK STREET 25","23","Non-landed Properties","2","2600","900 to 1000","Jun-2022"
"47","HILLSTA","PHOENIX ROAD","23","Non-landed Properties","NA","2600","600 to 700","Jun-2022"
"48","THE LANAI","HILLVIEW AVENUE","23","Non-landed Properties","2","3300","900 to 1000","Jun-2022"
"49","MAYSPRINGS","PETIR ROAD","23","Non-landed Properties","3","3800","1300 to 1400","Jun-2022"
"50","ECO SANCTUARY","CHESTNUT AVENUE","23","Non-landed Properties","2","2800","700 to 800","Jun-2022"
"51","THE WARREN","CHOA CHU KANG LOOP","23","Non-landed Properties","3","2750","1200 to 1300","Jun-2022"
"52","HILLION RESIDENCES","JELEBU ROAD","23","Non-landed Properties","2","2700","700 to 800","Jun-2022"
"53","THE TENNERY","WOODLANDS ROAD","23","Non-landed Properties","1","2100","600 to 700","Jun-2022"
"54","ECO SANCTUARY","CHESTNUT AVENUE","23","Non-landed Properties","2","3300","600 to 700","Jun-2022"
"55","ECO SANCTUARY","CHESTNUT AVENUE","23","Non-landed Properties","2","2400","600 to 700","Jun-2022"
"56","THE MADEIRA","BUKIT BATOK STREET 31","23","Non-landed Properties","3","4000","1300 to 1400","Jun-2022"
"57","THE TENNERY","WOODLANDS ROAD","23","Non-landed Properties","1","2700","600 to 700","Jun-2022"
"58","THE HILLIER","HILLVIEW RISE","23","Non-landed Properties","1","2300","500 to 600","Jun-2022"
"59","THE LANAI","HILLVIEW AVENUE","23","Non-landed Properties","3","4200","1100 to 1200","Jun-2022"
"60","HILLVIEW REGENCY","BUKIT BATOK EAST AVENUE 2","23","Non-landed Properties","2","3200","900 to 1000","Jun-2022"
"61","THE WARREN","CHOA CHU KANG LOOP","23","Non-landed Properties","3","2800","1200 to 1300","Jun-2022"
"62","FORESQUE RESIDENCES","PETIR ROAD","23","Non-landed Properties","3","3400","1200 to 1300","Jun-2022"
"63","NORTHVALE","CHOA CHU KANG LOOP","23","Non-landed Properties","3","3800","1200 to 1300","Jun-2022"
"64","THE HILLIER","HILLVIEW RISE","23","Non-landed Properties","1","2650","600 to 700","Jun-2022"
"65","GLENDALE PARK","HILLVIEW AVENUE","23","Non-landed Properties","3","3850","1500 to 1600","Jun-2022"
"66","PALM GARDENS","HONG SAN WALK","23","Non-landed Properties","2","2000","900 to 1000","Jun-2022"
"67","MERAWOODS","HILLVIEW AVENUE","23","Non-landed Properties","2","3200","1000 to 1100","Jun-2022"
"68","MAYSPRINGS","PETIR ROAD","23","Non-landed Properties","3","3800","1300 to 1400","Jun-2022"
"69","GLENDALE PARK","HILLVIEW AVENUE","23","Non-landed Properties","3","3350","1400 to 1500","Jun-2022"
"70","FORESQUE RESIDENCES","PETIR ROAD","23","Non-landed Properties","3","3500","1100 to 1200","Jun-2022"
"71","NORTHVALE","CHOA CHU KANG LOOP","23","Non-landed Properties","3","4200","1300 to 1400","Jun-2022"
"72","HILLVIEW HEIGHTS","HILLVIEW AVENUE","23","Non-landed Properties","4","3800","1600 to 1700","Jun-2022"
"73","MAYSPRINGS","PETIR ROAD","23","Non-landed Properties","2","3200","900 to 1000","Jun-2022"
"74","THE HILLIER","HILLVIEW RISE","23","Non-landed Properties","1","2150","500 to 600","Jun-2022"
"75","FORESQUE RESIDENCES","PETIR ROAD","23","Non-landed Properties","4","3500","1400 to 1500","Jun-2022"
"76","HILLION RESIDENCES","JELEBU ROAD","23","Non-landed Properties","NA","2300","400 to 500","Jun-2022"
"77","LE QUEST","BUKIT BATOK STREET 41","23","Non-landed Properties","4","4700","1100 to 1200","Jun-2022"
"78","PALM GARDENS","HONG SAN WALK","23","Non-landed Properties","3","3000","1200 to 1300","Jun-2022"
"79","THE SKYWOODS","DAIRY FARM HEIGHTS","23","Non-landed Properties","2","2800","700 to 800","Jun-2022"
"80","THE JADE","BUKIT BATOK CENTRAL LINK","23","Non-landed Properties","3","6000","1300 to 1400","Jun-2022"
"81","HAZEL PARK CONDOMINIUM","HAZEL PARK TERRACE","23","Non-landed Properties","2","3500","900 to 1000","Jun-2022"
"82","THE TENNERY","WOODLANDS ROAD","23","Non-landed Properties","2","3100","800 to 900","Jun-2022"
"83","NORTHVALE","CHOA CHU KANG LOOP","23","Non-landed Properties","2","3000","1200 to 1300","Jun-2022"
"84","MI CASA","CHOA CHU KANG AVENUE 3","23","Non-landed Properties","4","4000","1200 to 1300","Jun-2022"
"85","THE TENNERY","WOODLANDS ROAD","23","Non-landed Properties","1","2700","600 to 700","Jun-2022"
"86","HILLVIEW REGENCY","BUKIT BATOK EAST AVENUE 2","23","Non-landed Properties","3","2800","1100 to 1200","Jun-2022"
"87","FORESQUE RESIDENCES","PETIR ROAD","23","Non-landed Properties","2","3500","700 to 800","Jun-2022"
"88","FORESQUE RESIDENCES","PETIR ROAD","23","Non-landed Properties","3","4100","1100 to 1200","Jun-2022"
"89","NORTHVALE","CHOA CHU KANG LOOP","23","Non-landed Properties","2","3350","1000 to 1100","Jun-2022"
"90","PARKVIEW APARTMENTS","BUKIT BATOK STREET 25","23","Non-landed Properties","3","2800","1100 to 1200","Jun-2022"
"91","MAYSPRINGS","PETIR ROAD","23","Non-landed Properties","3","3400","1200 to 1300","Jun-2022"
"92","HAZEL PARK CONDOMINIUM","HAZEL PARK TERRACE","23","Non-landed Properties","2","2000","900 to 1000","Jun-2022"
"93","ESPA","CASHEW ROAD","23","Non-landed Properties","3","3000","1600 to 1700","Jun-2022"
"94","LE QUEST","BUKIT BATOK STREET 41","23","Non-landed Properties","2","3200","600 to 700","Jun-2022"
"95","THE TENNERY","WOODLANDS ROAD","23","Non-landed Properties","1","2300","600 to 700","Jun-2022"
"96","FORESQUE RESIDENCES","PETIR ROAD","23","Non-landed Properties","4","3800","1300 to 1400","Jun-2022"
"97","MONTROSA","HILLVIEW AVENUE","23","Non-landed Properties","3","2800","1200 to 1300","Jun-2022"
"98","CASHEW HEIGHTS CONDOMINIUM","CASHEW ROAD","23","Non-landed Properties","3","3100","1600 to 1700","Jun-2022"
"99","ECO SANCTUARY","CHESTNUT AVENUE","23","Non-landed Properties","2","3600","600 to 700","Jun-2022"
"100","HILLVIEW HEIGHTS","HILLVIEW AVENUE","23","Non-landed Properties","2","2650","900 to 1000","Jun-2022"
"101","THE LINEAR","UPPER BUKIT TIMAH ROAD","23","Non-landed Properties","2","2600","900 to 1000","Jun-2022"
"102","REGENT GROVE","CHOA CHU KANG NORTH 7","23","Non-landed Properties","3","3650","1100 to 1200","Jun-2022"
"103","THE SKYWOODS","DAIRY FARM HEIGHTS","23","Non-landed Properties","4","3800","1100 to 1200","Jun-2022"
"104","HILLION RESIDENCES","JELEBU ROAD","23","Non-landed Properties","NA","2800","400 to 500","Jun-2022"
"105","PARK NATURA","BUKIT BATOK EAST AVENUE 6","23","Non-landed Properties","3","3400","1400 to 1500","Jun-2022"
"106","PARK NATURA","BUKIT BATOK EAST AVENUE 6","23","Non-landed Properties","4","5800","1700 to 1800","Jun-2022"
"107","TREE HOUSE","CHESTNUT AVENUE","23","Non-landed Properties","3","4300","1200 to 1300","Jun-2022"
"108","THE TENNERY","WOODLANDS ROAD","23","Non-landed Properties","1","2700","600 to 700","Jun-2022"
"109","MAYSPRINGS","PETIR ROAD","23","Non-landed Properties","2","2700","800 to 900","Jun-2022"
"110","HILLBROOKS","HILLVIEW AVENUE","23","Non-landed Properties","3","2900","1000 to 1100","Jun-2022"
"111","THE PETALS","HILLVIEW AVENUE","23","Non-landed Properties","2","3000","1100 to 1200","Jun-2022"
"112","THE MADEIRA","BUKIT BATOK STREET 31","23","Non-landed Properties","2","3300","900 to 1000","Jun-2022"
"113","HILLION RESIDENCES","JELEBU ROAD","23","Non-landed Properties","NA","1850","400 to 500","Jun-2022"
"114","GLENDALE PARK","HILLVIEW AVENUE","23","Non-landed Properties","3","2800","1300 to 1400","Jun-2022"
"115","CASHEW HEIGHTS CONDOMINIUM","CASHEW ROAD","23","Non-landed Properties","3","4150","1600 to 1700","Jun-2022"
"116","REGENT HEIGHTS","BUKIT BATOK EAST AVENUE 5","23","Non-landed Properties","2","2500","1000 to 1100","Jun-2022"
"117","HAZEL PARK CONDOMINIUM","HAZEL PARK TERRACE","23","Non-landed Properties","3","4000","1300 to 1400","Jun-2022"
"118","PARKVIEW APARTMENTS","BUKIT BATOK STREET 25","23","Non-landed Properties","2","2400","900 to 1000","Jun-2022"
"119","THE DAIRY FARM","DAIRY FARM ROAD","23","Non-landed Properties","2","3500","1200 to 1300","Jun-2022"
"120","NORTHVALE","CHOA CHU KANG LOOP","23","Non-landed Properties","2","2500","1200 to 1300","Jun-2022"
"121","NORTHVALE","CHOA CHU KANG LOOP","23","Non-landed Properties","1","2800","600 to 700","Jun-2022"
"122","THE WARREN","CHOA CHU KANG LOOP","23","Non-landed Properties","3","4000","1200 to 1300","Jun-2022"
"123","NATURA@HILLVIEW","HILLVIEW TERRACE","23","Non-landed Properties","3","2300","600 to 700","Jun-2022"
"124","PARK NATURA","BUKIT BATOK EAST AVENUE 6","23","Non-landed Properties","4","6000","2200 to 2300","Jun-2022"
"125","THE LANAI","HILLVIEW AVENUE","23","Non-landed Properties","3","4200","1000 to 1100","Jun-2022"
"126","HILLVIEW 128","HILLVIEW AVENUE","23","Non-landed Properties","3","3100","1000 to 1100","Jun-2022"
"127","PARKVIEW APARTMENTS","BUKIT BATOK STREET 25","23","Non-landed Properties","3","3000","1100 to 1200","Jun-2022"
"128","HILLION RESIDENCES","JELEBU ROAD","23","Non-landed Properties","2","3000","700 to 800","Jun-2022"
"129","LE QUEST","BUKIT BATOK STREET 41","23","Non-landed Properties","2","3750","600 to 700","Jun-2022"
"130","FORESQUE RESIDENCES","PETIR ROAD","23","Non-landed Properties","4","5900","1400 to 1500","Jun-2022"
"131","HILLVIEW HEIGHTS","HILLVIEW AVENUE","23","Non-landed Properties","2","2440","900 to 1000","Jun-2022"
"132","CASHEW HEIGHTS CONDOMINIUM","CASHEW ROAD","23","Non-landed Properties","3","2800","1600 to 1700","Jun-2022"
"133","THE DAIRY FARM","DAIRY FARM ROAD","23","Non-landed Properties","3","4100","1900 to 2000","Jun-2022"
"134","ECO SANCTUARY","CHESTNUT AVENUE","23","Non-landed Properties","2","3200","700 to 800","Jun-2022"
"135","HILLINGTON GREEN","HILLVIEW AVENUE","23","Non-landed Properties","4","7200","2600 to 2700","Jun-2022"
"136","THE LINEAR","UPPER BUKIT TIMAH ROAD","23","Non-landed Properties","3","3300","1200 to 1300","Jun-2022"
"137","THE HILLIER","HILLVIEW RISE","23","Non-landed Properties","2","3300","800 to 900","Jun-2022"
"138","CASHEW HEIGHTS CONDOMINIUM","CASHEW ROAD","23","Non-landed Properties","3","4600","1600 to 1700","Jun-2022"
"139","HILLVIEW HEIGHTS","HILLVIEW AVENUE","23","Non-landed Properties","2","3600","900 to 1000","Jun-2022"
"140","PALM GARDENS","HONG SAN WALK","23","Non-landed Properties","3","3000","1200 to 1300","Jun-2022"
"141","HILLION RESIDENCES","JELEBU ROAD","23","Non-landed Properties","NA","3000","400 to 500","Jun-2022"
"142","THE SKYWOODS","DAIRY FARM HEIGHTS","23","Non-landed Properties","3","2700","800 to 900","Jun-2022"
"143","NATURA@HILLVIEW","HILLVIEW TERRACE","23","Non-landed Properties","1","2000","400 to 500","Jun-2022"
"144","REGENT HEIGHTS","BUKIT BATOK EAST AVENUE 5","23","Non-landed Properties","3","4000","1100 to 1200","Jun-2022"
"145","KINGSFORD . HILLVIEW PEAK","HILLVIEW RISE","23","Non-landed Properties","1","2650","500 to 600","Jun-2022"
"146","NORTHVALE","CHOA CHU KANG LOOP","23","Non-landed Properties","2","2600","1000 to 1100","Jun-2022"
"147","HILLVIEW PARK","HILLVIEW AVENUE","23","Non-landed Properties","3","3100","1200 to 1300","Jun-2022"
"148","TREE HOUSE","CHESTNUT AVENUE","23","Non-landed Properties","4","4750","1400 to 1500","Jun-2022"
"149","NATURA@HILLVIEW","HILLVIEW TERRACE","23","Non-landed Properties","3","2800","600 to 700","Jun-2022"
"150","HILLION RESIDENCES","JELEBU ROAD","23","Non-landed Properties","NA","2400","500 to 600","Jun-2022"
"151","THE LANAI","HILLVIEW AVENUE","23","Non-landed Properties","2","3300","900 to 1000","Jun-2022"
"152","THE LANAI","HILLVIEW AVENUE","23","Non-landed Properties","3","4700","1300 to 1400","Jun-2022"
"153","CASHEW HEIGHTS CONDOMINIUM","CASHEW ROAD","23","Non-landed Properties","3","3000","1600 to 1700","Jun-2022"
"154","HILLION RESIDENCES","JELEBU ROAD","23","Non-landed Properties","2","3600","700 to 800","Jun-2022"
"155","THE DAIRY FARM","DAIRY FARM ROAD","23","Non-landed Properties","3","4100","1900 to 2000","Jun-2022"
"156","HILLBROOKS","HILLVIEW AVENUE","23","Non-landed Properties","3","2600","1100 to 1200","Jun-2022"
"157","TREE HOUSE","CHESTNUT AVENUE","23","Non-landed Properties","3","4000","1200 to 1300","Jun-2022"
"158","THE HILLIER","HILLVIEW RISE","23","Non-landed Properties","1","2200","500 to 600","Jun-2022"
"159","THE HILLIER","HILLVIEW RISE","23","Non-landed Properties","2","3150","800 to 900","Jun-2022"
"160","THE DAIRY FARM","DAIRY FARM ROAD","23","Non-landed Properties","2","3500","1200 to 1300","Jun-2022"
"161","THE HILLIER","HILLVIEW RISE","23","Non-landed Properties","1","3100","500 to 600","Jun-2022"
"162","FORESQUE RESIDENCES","PETIR ROAD","23","Non-landed Properties","2","2250","700 to 800","Jun-2022"
"163","THE TENNERY","WOODLANDS ROAD","23","Non-landed Properties","1","2900","600 to 700","Jun-2022"
"164","HILLVIEW REGENCY","BUKIT BATOK EAST AVENUE 2","23","Non-landed Properties","3","3800","1100 to 1200","Jun-2022"
"165","HILLSTA","PHOENIX ROAD","23","Non-landed Properties","1","2750","500 to 600","Jun-2022"
"166","HILLVIEW HEIGHTS","HILLVIEW AVENUE","23","Non-landed Properties","2","4000","900 to 1000","Jun-2022"
"167","TREE HOUSE","CHESTNUT AVENUE","23","Non-landed Properties","2","2700","800 to 900","Jun-2022"
"168","THE WARREN","CHOA CHU KANG LOOP","23","Non-landed Properties","2","3250","1000 to 1100","Jun-2022"
"169","THE WARREN","CHOA CHU KANG LOOP","23","Non-landed Properties","3","3000","1200 to 1300","Jun-2022"
"170","THE LINEAR","UPPER BUKIT TIMAH ROAD","23","Non-landed Properties","3","2950","1200 to 1300","Jun-2022"
"171","ECO SANCTUARY","CHESTNUT AVENUE","23","Non-landed Properties","2","2750","600 to 700","Jun-2022"
"172","PALM GARDENS","HONG SAN WALK","23","Non-landed Properties","2","3000","900 to 1000","Jun-2022"
"173","THE HILLIER","HILLVIEW RISE","23","Non-landed Properties","1","3000","500 to 600","Jun-2022"
"174","THE HILLIER","HILLVIEW RISE","23","Non-landed Properties","1","2900","600 to 700","Jun-2022"
"175","MERALODGE","HILLVIEW AVENUE","23","Non-landed Properties","3","3000","1700 to 1800","Jun-2022"
"176","HILLION RESIDENCES","JELEBU ROAD","23","Non-landed Properties","NA","2700","400 to 500","Jun-2022"
"177","ECO SANCTUARY","CHESTNUT AVENUE","23","Non-landed Properties","3","4200","900 to 1000","Jun-2022"
"178","HILLION RESIDENCES","JELEBU ROAD","23","Non-landed Properties","2","3600","700 to 800","Jun-2022"
"179","HILLSTA","PHOENIX ROAD","23","Non-landed Properties","3","3200","1200 to 1300","Jun-2022"
"180","THE HILLIER","HILLVIEW RISE","23","Non-landed Properties","1","2400","500 to 600","Jun-2022"
"181","HILLION RESIDENCES","JELEBU ROAD","23","Non-landed Properties","NA","2900","400 to 500","Jun-2022"
"182","THE JADE","BUKIT BATOK CENTRAL LINK","23","Non-landed Properties","2","2900","1000 to 1100","Jun-2022"
"183","THE PETALS","HILLVIEW AVENUE","23","Non-landed Properties","2","3600","1200 to 1300","Jun-2022"
"184","CHESTNUT VILLE","JALAN PAKIS","23","Non-landed Properties","3","4400","1600 to 1700","Jun-2022"
"185","HILLSTA","PHOENIX ROAD","23","Non-landed Properties","NA","2500","500 to 600","Jun-2022"
"186","HILLVIEW REGENCY","BUKIT BATOK EAST AVENUE 2","23","Non-landed Properties","2","3500","900 to 1000","Jun-2022"
"187","LE QUEST","BUKIT BATOK STREET 41","23","Non-landed Properties","NA","2800","400 to 500","Jun-2022"
"188","ECO SANCTUARY","CHESTNUT AVENUE","23","Non-landed Properties","2","3450","700 to 800","Jun-2022"
"189","GUILIN VIEW","BUKIT BATOK STREET 52","23","Non-landed Properties","2","3100","800 to 900","Jun-2022"
"190","PARKVIEW APARTMENTS","BUKIT BATOK STREET 25","23","Non-landed Properties","2","3400","900 to 1000","Jun-2022"
"191","FORESQUE RESIDENCES","PETIR ROAD","23","Non-landed Properties","1","2500","400 to 500","Jun-2022"
"192","LE QUEST","BUKIT BATOK STREET 41","23","Non-landed Properties","2","3200","600 to 700","Jun-2022"
"193","GLENDALE PARK","HILLVIEW AVENUE","23","Non-landed Properties","3","2750","1300 to 1400","Jun-2022"
"194","TREE HOUSE","CHESTNUT AVENUE","23","Non-landed Properties","3","3500","1200 to 1300","Jun-2022"
"195","REGENT GROVE","CHOA CHU KANG NORTH 7","23","Non-landed Properties","2","2200","900 to 1000","Jun-2022"
"196","NORTHVALE","CHOA CHU KANG LOOP","23","Non-landed Properties","2","3400","1000 to 1100","Jun-2022"
"197","HILLVIEW PARK","HILLVIEW AVENUE","23","Non-landed Properties","3","3100","1200 to 1300","Jun-2022"
"198","PALM GARDENS","HONG SAN WALK","23","Non-landed Properties","2","2350","900 to 1000","Jun-2022"
"199","THE WARREN","CHOA CHU KANG LOOP","23","Non-landed Properties","3","3600","1200 to 1300","Jun-2022"
"200","HILLS TWOONE","HILLVIEW TERRACE","23","Non-landed Properties","2","2800","500 to 600","Jun-2022"
"201","LAUREL TREE","HILLVIEW TERRACE","23","Non-landed Properties","1","2650","400 to 500","Jun-2022"
"202","HILLION RESIDENCES","JELEBU ROAD","23","Non-landed Properties","2","3500","700 to 800","Jun-2022"
"203","FORESQUE RESIDENCES","PETIR ROAD","23","Non-landed Properties","2","2400","700 to 800","Jun-2022"
"204","MAYSPRINGS","PETIR ROAD","23","Non-landed Properties","2","2800","800 to 900","Jun-2022"
"205","THE DAIRY FARM","DAIRY FARM ROAD","23","Non-landed Properties","3","3900","2100 to 2200","Jun-2022"
"206","MERAWOODS","HILLVIEW AVENUE","23","Non-landed Properties","2","2700","1000 to 1100","Jun-2022"
"207","REGENT HEIGHTS","BUKIT BATOK EAST AVENUE 5","23","Non-landed Properties","2","3000","1000 to 1100","Jun-2022"
"208","HILLSTA","PHOENIX ROAD","23","Non-landed Properties","1","2000","500 to 600","Jun-2022"
"209","PARKVIEW APARTMENTS","BUKIT BATOK STREET 25","23","Non-landed Properties","2","3000","900 to 1000","Jun-2022"
"210","THE WARREN","CHOA CHU KANG LOOP","23","Non-landed Properties","3","3200","1200 to 1300","Jun-2022"
"211","THE DAIRY FARM","DAIRY FARM ROAD","23","Non-landed Properties","3","4200","2100 to 2200","Jun-2022"
"212","THE LINEAR","UPPER BUKIT TIMAH ROAD","23","Non-landed Properties","3","4000","1200 to 1300","Jun-2022"
"213","MERAWOODS","HILLVIEW AVENUE","23","Non-landed Properties","3","3500","1300 to 1400","Jun-2022"
"214","HAZEL PARK CONDOMINIUM","HAZEL PARK TERRACE","23","Non-landed Properties","4","4100","1500 to 1600","Jun-2022"
"215","ESPA","CASHEW ROAD","23","Non-landed Properties","2","2200","900 to 1000","Jun-2022"
"216","HILLION RESIDENCES","JELEBU ROAD","23","Non-landed Properties","2","3500","700 to 800","Jun-2022"
"217","NORTHVALE","CHOA CHU KANG LOOP","23","Non-landed Properties","2","2800","1000 to 1100","Jun-2022"
"218","HILLINGTON GREEN","HILLVIEW AVENUE","23","Non-landed Properties","3","3500","1300 to 1400","Jun-2022"
"219","HAZEL PARK CONDOMINIUM","HAZEL PARK TERRACE","23","Non-landed Properties","3","3400","1300 to 1400","Jun-2022"
"220","MERALODGE","HILLVIEW AVENUE","23","Non-landed Properties","2","2250","1000 to 1100","Jun-2022"
"221","MAYSPRINGS","PETIR ROAD","23","Non-landed Properties","2","2400","900 to 1000","Jun-2022"
"222","NATURA@HILLVIEW","HILLVIEW TERRACE","23","Non-landed Properties","2","2600","500 to 600","Jun-2022"
"223","HAZEL PARK CONDOMINIUM","HAZEL PARK TERRACE","23","Non-landed Properties","3","2550","1300 to 1400","Jun-2022"
"224","HILLSTA","PHOENIX ROAD","23","Non-landed Properties","2","2600","800 to 900","Jun-2022"
"225","REGENT GROVE","CHOA CHU KANG NORTH 7","23","Non-landed Properties","3","2900","1100 to 1200","Jun-2022"
"226","HILLBROOKS","HILLVIEW AVENUE","23","Non-landed Properties","3","2900","1000 to 1100","Jun-2022"
"227","PARK NATURA","BUKIT BATOK EAST AVENUE 6","23","Non-landed Properties","4","7500","2800 to 2900","Jun-2022"
"228","ECO SANCTUARY","CHESTNUT AVENUE","23","Non-landed Properties","2","3000","600 to 700","Jun-2022"
"229","ESPA","CASHEW ROAD","23","Non-landed Properties","4","3000","1200 to 1300","Jun-2022"
"230","NATURA@HILLVIEW","HILLVIEW TERRACE","23","Non-landed Properties","1","2400","400 to 500","Jun-2022"
"231","HILLVIEW APARTMENTS","HILLVIEW AVENUE","23","Non-landed Properties","3","3000","1300 to 1400","Jun-2022"
"232","REGENT HEIGHTS","BUKIT BATOK EAST AVENUE 5","23","Non-landed Properties","2","2500","1000 to 1100","Jun-2022"
"233","THE DAIRY FARM","DAIRY FARM ROAD","23","Non-landed Properties","2","3000","1100 to 1200","Jun-2022"
"234","THE LANAI","HILLVIEW AVENUE","23","Non-landed Properties","2","3600","900 to 1000","Jun-2022"
"235","HILLVIEW 128","HILLVIEW AVENUE","23","Non-landed Properties","3","3400","1000 to 1100","Jun-2022"
"236","HILLVIEW RESIDENCE","HILLVIEW AVENUE","23","Non-landed Properties","3","3500","1200 to 1300","Jun-2022"
"237","NORTHVALE","CHOA CHU KANG LOOP","23","Non-landed Properties","3","4000","1300 to 1400","Jun-2022"
"238","THE LANAI","HILLVIEW AVENUE","23","Non-landed Properties","3","5000","1200 to 1300","Jun-2022"
"239","HILLINGTON GREEN","HILLVIEW AVENUE","23","Non-landed Properties","3","5000","1500 to 1600","Jun-2022"
