"S/N","Building/Project Name","Street Name","Postal District","Type","No. of Bedroom(for Non-Landed Only)","Monthly Gross Rent($)","Floor Area (sq ft)","Lease Commencement Date"
"1","THE RED HOUSE","EAST COAST ROAD","15","Non-landed Properties","1","2500","700 to 800","Jun-2022"
"2","SUITES@ KATONG","TANJONG KATONG ROAD","15","Non-landed Properties","1","2100","300 to 400","Jun-2022"
"3","JI XIANG COURT","TELOK KURAU ROAD","15","Non-landed Properties","NA","2350","800 to 900","Jun-2022"
"4","FORTUNE JADE","DUNMAN ROAD","15","Non-landed Properties","3","3600","1000 to 1100","Jun-2022"
"5","THE BELVEDERE","MEYER ROAD","15","Non-landed Properties","3","4500","1300 to 1400","Jun-2022"
"6","FLAMINGO VALLEY","SIGLAP ROAD","15","Non-landed Properties","3","4200","900 to 1000","Jun-2022"
"7","ROXY SQUARE","EAST COAST ROAD","15","Non-landed Properties","NA","2150","600 to 700","Jun-2022"
"8","SEASIDE RESIDENCES","SIGLAP LINK","15","Non-landed Properties","1","2900","400 to 500","Jun-2022"
"9","KATONG GARDENS","TEMBELING ROAD","15","Non-landed Properties","NA","6000","2300 to 2400","Jun-2022"
"10","MANDARIN GARDENS","SIGLAP ROAD","15","Non-landed Properties","3","4400","1500 to 1600","Jun-2022"
"11","VILLA MARTIA","MARTIA ROAD","15","Non-landed Properties","3","3100","1200 to 1300","Jun-2022"
"12","KATONG GARDENS","TEMBELING ROAD","15","Non-landed Properties","NA","7200","1900 to 2000","Jun-2022"
"13","EASTBAY","TAY LIAN TECK ROAD","15","Non-landed Properties","2","3000","900 to 1000","Jun-2022"
"14","SUITES @ EASTCOAST","UPPER EAST COAST ROAD","15","Non-landed Properties","3","3080","900 to 1000","Jun-2022"
"15","THE WATERSIDE","TANJONG RHU ROAD","15","Non-landed Properties","NA","7100","2400 to 2500","Jun-2022"
"16","SANCTUARY GREEN","TANJONG RHU ROAD","15","Non-landed Properties","3","5300","1700 to 1800","Jun-2022"
"17","PARC SEABREEZE","JOO CHIAT ROAD","15","Non-landed Properties","4","4550","1500 to 1600","Jun-2022"
"18","DE CASALLE","LORONG N TELOK KURAU","15","Non-landed Properties","4","3300","1200 to 1300","Jun-2022"
"19","LAGUNA PARK","MARINE PARADE ROAD","15","Non-landed Properties","NA","3450","1600 to 1700","Jun-2022"
"20","PARK COURT","LORONG 101 CHANGI","15","Non-landed Properties","3","3200","900 to 1000","Jun-2022"
"21","NON-LANDED HOUSING DEVELOPMENT","TANJONG KATONG ROAD","15","Non-landed Properties","NA","3200","1500 to 1600","Jun-2022"
"22","ESTIQUE","ROSE LANE","15","Non-landed Properties","2","3400","700 to 800","Jun-2022"
"23","MANDARIN GARDENS","SIGLAP ROAD","15","Non-landed Properties","1","2950","700 to 800","Jun-2022"
"24","PARK COURT","LORONG 101 CHANGI","15","Non-landed Properties","3","3200","900 to 1000","Jun-2022"
"25","SEAVIEW POINT","AMBER ROAD","15","Non-landed Properties","3","5000","1300 to 1400","Jun-2022"
"26","SEASIDE RESIDENCES","SIGLAP LINK","15","Non-landed Properties","1","2900","500 to 600","Jun-2022"
"27","THE ESTA","AMBER GARDENS","15","Non-landed Properties","3","6000","1300 to 1400","Jun-2022"
"28","SUITES@ KATONG","TANJONG KATONG ROAD","15","Non-landed Properties","1","2700","400 to 500","Jun-2022"
"29","FLAMINGO VALLEY","SIGLAP ROAD","15","Non-landed Properties","NA","2100","500 to 600","Jun-2022"
"30","THE SEA VIEW","AMBER ROAD","15","Non-landed Properties","3","5000","1400 to 1500","Jun-2022"
"31","THE TREELINE","LORONG G TELOK KURAU","15","Non-landed Properties","2","4700","1200 to 1300","Jun-2022"
"32","D'ECOSIA","STILL ROAD SOUTH","15","Non-landed Properties","2","4200","1000 to 1100","Jun-2022"
"33","HEJI GARDENS","LORONG K TELOK KURAU","15","Non-landed Properties","NA","4400","2400 to 2500","Jun-2022"
"34","91 MARSHALL","MARSHALL ROAD","15","Non-landed Properties","1","2150","300 to 400","Jun-2022"
"35","THE MAKENA","MEYER ROAD","15","Non-landed Properties","3","6300","1700 to 1800","Jun-2022"
"36","TANJONG RIA CONDOMINIUM","TANJONG RHU ROAD","15","Non-landed Properties","3","3200","1200 to 1300","Jun-2022"
