"S/N","Building/Project Name","Street Name","Postal District","Type","No. of Bedroom(for Non-Landed Only)","Monthly Gross Rent($)","Floor Area (sq ft)","Lease Commencement Date"
"1","RIVERBAY","MAR THOMA ROAD","12","Non-landed Properties","1","2500","500 to 600","Jun-2022"
"2","OLEANDER TOWERS","LORONG 1 TOA PAYOH","12","Non-landed Properties","4","4300","1400 to 1500","Jun-2022"
"3","AVA TOWERS","AVA ROAD","12","Non-landed Properties","3","2900","1200 to 1300","Jun-2022"
"4","THE MARQUE @ IRRAWADDY","SHAN ROAD","12","Non-landed Properties","3","3700","1100 to 1200","Jun-2022"
"5","BOON TECK TOWER","BOON TECK ROAD","12","Non-landed Properties","3","2800","1600 to 1700","Jun-2022"
"6","OKIO","BALESTIER ROAD","12","Non-landed Properties","1","2500","400 to 500","Jun-2022"
"7","THE ELYSIA","MAR THOMA ROAD","12","Non-landed Properties","2","2200","800 to 900","Jun-2022"
"8","VISTA RESIDENCES","JALAN DATOH","12","Non-landed Properties","1","2500","600 to 700","Jun-2022"
"9","OPAL SUITES","OPAL CRESCENT","12","Non-landed Properties","1","2000","300 to 400","Jun-2022"
"10","EIGHT RIVERSUITES","WHAMPOA EAST","12","Non-landed Properties","1","2100","400 to 500","Jun-2022"
"11","CALARASI","KIM KEAT LANE","12","Non-landed Properties","3","3000","1100 to 1200","Jun-2022"
"12","EURO-ASIA APARTMENTS","SERANGOON ROAD","12","Non-landed Properties","3","4400","1500 to 1600","Jun-2022"
"13","REGAL COURT","KIM KEAT ROAD","12","Non-landed Properties","2","2700","900 to 1000","Jun-2022"
"14","THE MEZZO","BALESTIER ROAD","12","Non-landed Properties","2","3150","800 to 900","Jun-2022"
"15","REGENT RESIDENCES","SERANGOON ROAD","12","Non-landed Properties","2","2700","600 to 700","Jun-2022"
"16","SKYSUITES17","JALAN RAJAH","12","Non-landed Properties","2","2900","600 to 700","Jun-2022"
"17","VISTA RESIDENCES","JALAN DATOH","12","Non-landed Properties","4","4900","1400 to 1500","Jun-2022"
"18","DE PARADISO","MARTABAN ROAD","12","Non-landed Properties","1","2700","900 to 1000","Jun-2022"
"19","OKIO","BALESTIER ROAD","12","Non-landed Properties","2","3000","500 to 600","Jun-2022"
"20","THE RIVERINE BY THE PARK","KALLANG ROAD","12","Non-landed Properties","3","5200","1200 to 1300","Jun-2022"
"21","ST MICHAEL'S CONDOMINIUM","ST. MICHAEL'S ROAD","12","Non-landed Properties","3","3800","1300 to 1400","Jun-2022"
"22","THE TIER","PEGU ROAD","12","Non-landed Properties","2","2000","500 to 600","Jun-2022"
"23","BEACON HEIGHTS","MAR THOMA ROAD","12","Non-landed Properties","2","4500","900 to 1000","Jun-2022"
"24","THE ABERDEEN","JALAN TAMAN","12","Non-landed Properties","2","3100","1100 to 1200","Jun-2022"
"25","THE INTERWEAVE","KIM KEAT ROAD","12","Non-landed Properties","1","2150","400 to 500","Jun-2022"
"26","THE MARQUE @ IRRAWADDY","SHAN ROAD","12","Non-landed Properties","3","3300","1000 to 1100","Jun-2022"
"27","SUITES @ TOPAZ","TOPAZ ROAD","12","Non-landed Properties","1","2150","400 to 500","Jun-2022"
"28","EIGHT RIVERSUITES","WHAMPOA EAST","12","Non-landed Properties","2","3400","600 to 700","Jun-2022"
"29","EIGHT RIVERSUITES","WHAMPOA EAST","12","Non-landed Properties","2","3800","600 to 700","Jun-2022"
"30","VISTA RESIDENCES","JALAN DATOH","12","Non-landed Properties","2","3000","900 to 1000","Jun-2022"
"31","VISTA RESIDENCES","JALAN DATOH","12","Non-landed Properties","3","4800","1100 to 1200","Jun-2022"
"32","BALESTIER POINT","BALESTIER ROAD","12","Non-landed Properties","2","2600","1100 to 1200","Jun-2022"
"33","SCENIC HEIGHTS","BALESTIER ROAD","12","Non-landed Properties","3","3500","1200 to 1300","Jun-2022"
"34","BEACON HEIGHTS","MAR THOMA ROAD","12","Non-landed Properties","2","3500","800 to 900","Jun-2022"
"35","NON-LANDED HOUSING DEVELOPMENT","SERANGOON ROAD","12","Non-landed Properties","NA","1850","800 to 900","Jun-2022"
"36","ONE DUSUN RESIDENCES","JALAN DUSUN","12","Non-landed Properties","2","2600","400 to 500","Jun-2022"
"37","GEM RESIDENCES","LORONG 5 TOA PAYOH","12","Non-landed Properties","2","3500","500 to 600","Jun-2022"
"38","REGAL COURT","KIM KEAT ROAD","12","Non-landed Properties","2","3750","900 to 1000","Jun-2022"
"39","REGENT RESIDENCES","SERANGOON ROAD","12","Non-landed Properties","2","3100","800 to 900","Jun-2022"
"40","RIVIERA 38","MAR THOMA ROAD","12","Non-landed Properties","2","3700","700 to 800","Jun-2022"
"41","TRELLIS TOWERS","LORONG 1 TOA PAYOH","12","Non-landed Properties","3","3700","1100 to 1200","Jun-2022"
"42","ROCCA BALESTIER","BALESTIER ROAD","12","Non-landed Properties","3","3200","900 to 1000","Jun-2022"
"43","TREVISTA","LORONG 3 TOA PAYOH","12","Non-landed Properties","2","3800","900 to 1000","Jun-2022"
"44","THE MEZZO","BALESTIER ROAD","12","Non-landed Properties","2","2800","800 to 900","Jun-2022"
"45","GEM RESIDENCES","LORONG 5 TOA PAYOH","12","Non-landed Properties","2","3600","600 to 700","Jun-2022"
"46","D'MIRA","BOON TECK ROAD","12","Non-landed Properties","3","4500","1200 to 1300","Jun-2022"
"47","OLEANDER TOWERS","LORONG 1 TOA PAYOH","12","Non-landed Properties","3","3700","1100 to 1200","Jun-2022"
"48","ONE DUSUN RESIDENCES","JALAN DUSUN","12","Non-landed Properties","2","2200","500 to 600","Jun-2022"
"49","REGAL COURT","KIM KEAT ROAD","12","Non-landed Properties","2","2100","900 to 1000","Jun-2022"
"50","GEM RESIDENCES","LORONG 5 TOA PAYOH","12","Non-landed Properties","2","2600","700 to 800","Jun-2022"
"51","LE SHANTIER","SHAN ROAD","12","Non-landed Properties","3","4800","1600 to 1700","Jun-2022"
"52","KALLANG RIVERSIDE","KAMPONG BUGIS","12","Non-landed Properties","3","6000","1400 to 1500","Jun-2022"
"53","TRELLIS TOWERS","LORONG 1 TOA PAYOH","12","Non-landed Properties","3","4000","1100 to 1200","Jun-2022"
