"S/N","Building/Project Name","Street Name","Postal District","Type","No. of Bedroom(for Non-Landed Only)","Monthly Gross Rent($)","Floor Area (sq ft)","Lease Commencement Date"
"54","THE MARQUE @ IRRAWADDY","SHAN ROAD","12","Non-landed Properties","2","3800","800 to 900","Jun-2022"
"55","REGENT RESIDENCES","SERANGOON ROAD","12","Non-landed Properties","2","2800","600 to 700","Jun-2022"
"56","GEM RESIDENCES","LORONG 5 TOA PAYOH","12","Non-landed Properties","2","3300","500 to 600","Jun-2022"
"57","NON-LANDED HOUSING DEVELOPMENT","OPAL CRESCENT","12","Non-landed Properties","NA","3500","900 to 1000","Jun-2022"
"58","OKIO","BALESTIER ROAD","12","Non-landed Properties","2","2900","600 to 700","Jun-2022"
"59","GEM RESIDENCES","LORONG 5 TOA PAYOH","12","Non-landed Properties","2","3500","500 to 600","Jun-2022"
"60","BEACON HEIGHTS","MAR THOMA ROAD","12","Non-landed Properties","3","3550","1100 to 1200","Jun-2022"
"61","TRELLIS TOWERS","LORONG 1 TOA PAYOH","12","Non-landed Properties","1","2400","500 to 600","Jun-2022"
"62","THE ARTE","JALAN RAJA UDANG","12","Non-landed Properties","4","8500","1800 to 1900","Jun-2022"
"63","GEM RESIDENCES","LORONG 5 TOA PAYOH","12","Non-landed Properties","2","3700","600 to 700","Jun-2022"
"64","KALLANG RIVERSIDE","KAMPONG BUGIS","12","Non-landed Properties","2","5000","1000 to 1100","Jun-2022"
"65","EIGHT RIVERSUITES","WHAMPOA EAST","12","Non-landed Properties","1","2400","400 to 500","Jun-2022"
"66","THE INTERWEAVE","KIM KEAT ROAD","12","Non-landed Properties","NA","2200","300 to 400","Jun-2022"
"67","TREVISTA","LORONG 3 TOA PAYOH","12","Non-landed Properties","2","3700","800 to 900","Jun-2022"
"68","THE CENTRIO","IRRAWADDY ROAD","12","Non-landed Properties","3","5000","1200 to 1300","Jun-2022"
"69","ASCENT @ 456","BALESTIER ROAD","12","Non-landed Properties","3","2500","600 to 700","Jun-2022"
"70","NEEM TREE","JALAN KEMAMAN","12","Non-landed Properties","1","2500","400 to 500","Jun-2022"
"71","EIGHT RIVERSUITES","WHAMPOA EAST","12","Non-landed Properties","3","3800","1000 to 1100","Jun-2022"
"72","TREVISTA","LORONG 3 TOA PAYOH","12","Non-landed Properties","1","3400","600 to 700","Jun-2022"
"73","PRESTIGE HEIGHTS","BALESTIER ROAD","12","Non-landed Properties","NA","2500","300 to 400","Jun-2022"
"74","THE VERVE","JALAN RAJAH","12","Non-landed Properties","1","3000","600 to 700","Jun-2022"
"75","ONE DUSUN RESIDENCES","JALAN DUSUN","12","Non-landed Properties","2","2300","400 to 500","Jun-2022"
"76","VISTA RESIDENCES","JALAN DATOH","12","Non-landed Properties","3","4800","1100 to 1200","Jun-2022"
"77","CALARASI","KIM KEAT LANE","12","Non-landed Properties","3","3500","1100 to 1200","Jun-2022"
"78","GEM RESIDENCES","LORONG 5 TOA PAYOH","12","Non-landed Properties","2","2400","700 to 800","Jun-2022"
"79","EIGHT RIVERSUITES","WHAMPOA EAST","12","Non-landed Properties","2","3600","600 to 700","Jun-2022"
"80","NEEM TREE","JALAN KEMAMAN","12","Non-landed Properties","1","2400","400 to 500","Jun-2022"
"81","PRESTIGE HEIGHTS","BALESTIER ROAD","12","Non-landed Properties","1","2400","400 to 500","Jun-2022"
"82","GEM RESIDENCES","LORONG 5 TOA PAYOH","12","Non-landed Properties","2","3150","500 to 600","Jun-2022"
"83","NEEM TREE","JALAN KEMAMAN","12","Non-landed Properties","1","2600","400 to 500","Jun-2022"
"84","IRESIDENCES","IRRAWADDY ROAD","12","Non-landed Properties","2","3700","1000 to 1100","Jun-2022"
"85","KALLANG RIVERSIDE","KAMPONG BUGIS","12","Non-landed Properties","1","2750","500 to 600","Jun-2022"
"86","PARC HAVEN","LORONG LIMAU","12","Non-landed Properties","1","3200","600 to 700","Jun-2022"
"87","REGENT RESIDENCES","SERANGOON ROAD","12","Non-landed Properties","2","2300","600 to 700","Jun-2022"
"88","EIGHT RIVERSUITES","WHAMPOA EAST","12","Non-landed Properties","2","2750","600 to 700","Jun-2022"
"89","IRESIDENCES","IRRAWADDY ROAD","12","Non-landed Properties","2","5050","900 to 1000","Jun-2022"
"90","THE INTERWEAVE","KIM KEAT ROAD","12","Non-landed Properties","1","2250","300 to 400","Jun-2022"
"91","TREVISTA","LORONG 3 TOA PAYOH","12","Non-landed Properties","4","6300","1700 to 1800","Jun-2022"
"92","TREVISTA","LORONG 3 TOA PAYOH","12","Non-landed Properties","4","6000","1700 to 1800","Jun-2022"
"93","VISTA RESIDENCES","JALAN DATOH","12","Non-landed Properties","1","2550","600 to 700","Jun-2022"
"94","RITZ MANSIONS","BALESTIER ROAD","12","Non-landed Properties","3","3700","1600 to 1700","Jun-2022"
"95","GEM RESIDENCES","LORONG 5 TOA PAYOH","12","Non-landed Properties","2","2400","700 to 800","Jun-2022"
"96","PRESTIGE HEIGHTS","BALESTIER ROAD","12","Non-landed Properties","1","2900","400 to 500","Jun-2022"
"97","NON-LANDED HOUSING DEVELOPMENT","KIM KEAT LANE","12","Non-landed Properties","3","3650","900 to 1000","Jun-2022"
"98","TRELLIS TOWERS","LORONG 1 TOA PAYOH","12","Non-landed Properties","3","5000","1400 to 1500","Jun-2022"
"99","OKIO","BALESTIER ROAD","12","Non-landed Properties","1","2200","400 to 500","Jun-2022"
"100","PRESTIGE HEIGHTS","BALESTIER ROAD","12","Non-landed Properties","NA","1880","300 to 400","Jun-2022"
"101","VISTA RESIDENCES","JALAN DATOH","12","Non-landed Properties","3","5000","1100 to 1200","Jun-2022"
"102","NOVA 88","BHAMO ROAD","12","Non-landed Properties","3","3500","1200 to 1300","Jun-2022"
"103","TREVISTA","LORONG 3 TOA PAYOH","12","Non-landed Properties","3","4600","1200 to 1300","Jun-2022"
"104","SKYSUITES17","JALAN RAJAH","12","Non-landed Properties","2","2700","600 to 700","Jun-2022"
"105","PINNACLE 16","SHAN ROAD","12","Non-landed Properties","2","3000","900 to 1000","Jun-2022"
"106","TRELLIS TOWERS","LORONG 1 TOA PAYOH","12","Non-landed Properties","3","4800","1400 to 1500","Jun-2022"
"107","GEM RESIDENCES","LORONG 5 TOA PAYOH","12","Non-landed Properties","2","2200","700 to 800","Jun-2022"
"108","THE VIRIDIAN","JALAN AMPAS","12","Non-landed Properties","1","2500","500 to 600","Jun-2022"
"109","EIGHT RIVERSUITES","WHAMPOA EAST","12","Non-landed Properties","1","2750","400 to 500","Jun-2022"
"110","M66","MOONSTONE LANE","12","Non-landed Properties","3","3000","700 to 800","Jun-2022"
"111","GEM RESIDENCES","LORONG 5 TOA PAYOH","12","Non-landed Properties","1","2700","400 to 500","Jun-2022"
"112","BEACON HEIGHTS","MAR THOMA ROAD","12","Non-landed Properties","1","3000","600 to 700","Jun-2022"
"113","NON-LANDED HOUSING DEVELOPMENT","ST. MICHAEL'S ROAD","12","Non-landed Properties","3","4500","1500 to 1600","Jun-2022"
"114","BOON TECK TOWER","BOON TECK ROAD","12","Non-landed Properties","3","3200","1700 to 1800","Jun-2022"
"115","NOVA 88","BHAMO ROAD","12","Non-landed Properties","1","2500","600 to 700","Jun-2022"
"116","THE MEZZO","BALESTIER ROAD","12","Non-landed Properties","2","3300","800 to 900","Jun-2022"
"117","PINNACLE 16","SHAN ROAD","12","Non-landed Properties","1","3000","500 to 600","Jun-2022"
"118","THE MEZZO","BALESTIER ROAD","12","Non-landed Properties","2","3200","700 to 800","Jun-2022"
"119","CALARASI","KIM KEAT LANE","12","Non-landed Properties","3","3500","1100 to 1200","Jun-2022"
"120","PRESTIGE HEIGHTS","BALESTIER ROAD","12","Non-landed Properties","2","3100","500 to 600","Jun-2022"
"121","BOON TECK TOWER","BOON TECK ROAD","12","Non-landed Properties","3","2800","1700 to 1800","Jun-2022"
"122","REGENT RESIDENCES","SERANGOON ROAD","12","Non-landed Properties","2","2700","800 to 900","Jun-2022"
"123","PINNACLE 16","SHAN ROAD","12","Non-landed Properties","1","2500","500 to 600","Jun-2022"
"124","BALESTIER POINT","BALESTIER ROAD","12","Non-landed Properties","3","3450","1600 to 1700","Jun-2022"
"125","THE MEZZO","BALESTIER ROAD","12","Non-landed Properties","2","3200","800 to 900","Jun-2022"
"126","NOVA 88","BHAMO ROAD","12","Non-landed Properties","3","3800","1200 to 1300","Jun-2022"
"127","PARC HAVEN","LORONG LIMAU","12","Non-landed Properties","2","4000","1000 to 1100","Jun-2022"
"128","TRELLIS TOWERS","LORONG 1 TOA PAYOH","12","Non-landed Properties","1","2850","500 to 600","Jun-2022"
"129","EIGHT RIVERSUITES","WHAMPOA EAST","12","Non-landed Properties","1","2500","400 to 500","Jun-2022"
"130","NON-LANDED HOUSING DEVELOPMENT","KIM KEAT CLOSE","12","Non-landed Properties","3","2500","1000 to 1100","Jun-2022"
"131","VETRO","MAR THOMA ROAD","12","Non-landed Properties","2","2350","600 to 700","Jun-2022"
"132","OLEANDER TOWERS","LORONG 1 TOA PAYOH","12","Non-landed Properties","3","3900","1100 to 1200","Jun-2022"
"133","THE MEZZO","BALESTIER ROAD","12","Non-landed Properties","2","3400","800 to 900","Jun-2022"
"134","EIGHT RIVERSUITES","WHAMPOA EAST","12","Non-landed Properties","2","3500","600 to 700","Jun-2022"
"135","PRESTIGE HEIGHTS","BALESTIER ROAD","12","Non-landed Properties","NA","2000","300 to 400","Jun-2022"
"136","RIVIERA 38","MAR THOMA ROAD","12","Non-landed Properties","2","3500","700 to 800","Jun-2022"
"137","BEACON HEIGHTS","MAR THOMA ROAD","12","Non-landed Properties","1","3200","600 to 700","Jun-2022"
"138","GEM RESIDENCES","LORONG 5 TOA PAYOH","12","Non-landed Properties","1","2950","400 to 500","Jun-2022"
"139","RIVERBAY","MAR THOMA ROAD","12","Non-landed Properties","1","2500","300 to 400","Jun-2022"
"140","THE INTERWEAVE","KIM KEAT ROAD","12","Non-landed Properties","1","2200","400 to 500","Jun-2022"
"141","KALLANG RIVERSIDE","KAMPONG BUGIS","12","Non-landed Properties","1","3100","500 to 600","Jun-2022"
"142","AVA TOWERS","AVA ROAD","12","Non-landed Properties","3","3500","1200 to 1300","Jun-2022"
"143","AMPAS APARTMENT","JALAN AMPAS","12","Non-landed Properties","3","3800","1600 to 1700","Jun-2022"
"144","CITY REGENCY","ST. MICHAEL'S ROAD","12","Non-landed Properties","1","2450","400 to 500","Jun-2022"
"145","EIGHT RIVERSUITES","WHAMPOA EAST","12","Non-landed Properties","4","5300","1300 to 1400","Jun-2022"
"146","AVA TOWERS","AVA ROAD","12","Non-landed Properties","3","2900","1200 to 1300","Jun-2022"
"147","THE VERVE","JALAN RAJAH","12","Non-landed Properties","1","2200","400 to 500","Jun-2022"
"148","TRELLIS TOWERS","LORONG 1 TOA PAYOH","12","Non-landed Properties","1","2200","500 to 600","Jun-2022"
"149","THE CALLISTA","MAR THOMA ROAD","12","Non-landed Properties","3","2900","1100 to 1200","Jun-2022"
"150","RITZ MANSIONS","BALESTIER ROAD","12","Non-landed Properties","3","3350","1200 to 1300","Jun-2022"
"151","EIGHT RIVERSUITES","WHAMPOA EAST","12","Non-landed Properties","3","4500","1300 to 1400","Jun-2022"
"152","AVA TOWERS","AVA ROAD","12","Non-landed Properties","3","3300","1200 to 1300","Jun-2022"
"153","MOONSTONE VIEW","MOONSTONE LANE","12","Non-landed Properties","2","2750","900 to 1000","Jun-2022"
"154","TRELLIS TOWERS","LORONG 1 TOA PAYOH","12","Non-landed Properties","3","3450","1100 to 1200","Jun-2022"
"155","BLISS LOFT","KIM KEAT CLOSE","12","Non-landed Properties","2","3500","800 to 900","Jun-2022"
"156","TREVISTA","LORONG 3 TOA PAYOH","12","Non-landed Properties","1","2750","600 to 700","Jun-2022"
"157","THE ARTE","JALAN RAJA UDANG","12","Non-landed Properties","3","5000","1600 to 1700","Jun-2022"
"158","BEACON HEIGHTS","MAR THOMA ROAD","12","Non-landed Properties","3","2900","1000 to 1100","Jun-2022"
"159","GEM RESIDENCES","LORONG 5 TOA PAYOH","12","Non-landed Properties","2","3100","500 to 600","Jun-2022"
"160","THE MEZZO","BALESTIER ROAD","12","Non-landed Properties","2","3200","800 to 900","Jun-2022"
"161","EIGHT RIVERSUITES","WHAMPOA EAST","12","Non-landed Properties","2","2900","600 to 700","Jun-2022"
"162","EURO-ASIA APARTMENTS","SERANGOON ROAD","12","Non-landed Properties","NA","3100","1200 to 1300","Jun-2022"
"163","EIGHT RIVERSUITES","WHAMPOA EAST","12","Non-landed Properties","1","3000","400 to 500","Jun-2022"
"164","D'LOTUS","LORONG AMPAS","12","Non-landed Properties","1","2700","500 to 600","Jun-2022"
"165","THE INTERWEAVE","KIM KEAT ROAD","12","Non-landed Properties","1","2700","300 to 400","Jun-2022"
"166","AVA TOWERS","AVA ROAD","12","Non-landed Properties","3","3400","1200 to 1300","Jun-2022"
"167","THE INTERWEAVE","KIM KEAT ROAD","12","Non-landed Properties","NA","2400","300 to 400","Jun-2022"
"168","KALLANG RIVERSIDE","KAMPONG BUGIS","12","Non-landed Properties","3","6800","1400 to 1500","Jun-2022"
"169","SKYSUITES17","JALAN RAJAH","12","Non-landed Properties","1","2050","300 to 400","Jun-2022"
"170","DOMUS","IRRAWADDY ROAD","12","Non-landed Properties","2","4550","900 to 1000","Jun-2022"
"171","CITY REGENCY","ST. MICHAEL'S ROAD","12","Non-landed Properties","1","2400","400 to 500","Jun-2022"
"172","PRESTIGE HEIGHTS","BALESTIER ROAD","12","Non-landed Properties","1","2400","400 to 500","Jun-2022"
"173","PINNACLE 16","SHAN ROAD","12","Non-landed Properties","1","2850","500 to 600","Jun-2022"
"174","BEACON HEIGHTS","MAR THOMA ROAD","12","Non-landed Properties","1","2600","600 to 700","Jun-2022"
"175","SUITES @ TOPAZ","TOPAZ ROAD","12","Non-landed Properties","1","2200","400 to 500","Jun-2022"
"176","BEACON HEIGHTS","MAR THOMA ROAD","12","Non-landed Properties","1","3200","600 to 700","Jun-2022"
"177","TREVISTA","LORONG 3 TOA PAYOH","12","Non-landed Properties","3","5200","1100 to 1200","Jun-2022"
"178","CITY REGENCY","ST. MICHAEL'S ROAD","12","Non-landed Properties","1","2100","500 to 600","Jun-2022"
"179","ONE ST MICHAEL'S","ST. MICHAEL'S ROAD","12","Non-landed Properties","2","4000","900 to 1000","Jun-2022"
"180","GEM RESIDENCES","LORONG 5 TOA PAYOH","12","Non-landed Properties","3","4080","900 to 1000","Jun-2022"
"181","GEM RESIDENCES","LORONG 5 TOA PAYOH","12","Non-landed Properties","2","3850","700 to 800","Jun-2022"
"182","BEACON HEIGHTS","MAR THOMA ROAD","12","Non-landed Properties","1","3100","600 to 700","Jun-2022"
"183","EIGHT RIVERSUITES","WHAMPOA EAST","12","Non-landed Properties","3","4500","1100 to 1200","Jun-2022"
"184","ASCENT @ 456","BALESTIER ROAD","12","Non-landed Properties","3","3200","600 to 700","Jun-2022"
"185","EIGHT RIVERSUITES","WHAMPOA EAST","12","Non-landed Properties","1","2600","400 to 500","Jun-2022"
"186","EIGHT RIVERSUITES","WHAMPOA EAST","12","Non-landed Properties","1","2900","400 to 500","Jun-2022"
"187","NEEM TREE","JALAN KEMAMAN","12","Non-landed Properties","1","2900","400 to 500","Jun-2022"
"188","KALLANG RIVERSIDE","KAMPONG BUGIS","12","Non-landed Properties","3","5100","1100 to 1200","Jun-2022"
"189","PRESTIGE HEIGHTS","BALESTIER ROAD","12","Non-landed Properties","NA","2000","300 to 400","Jun-2022"
"190","REGENT RESIDENCES","SERANGOON ROAD","12","Non-landed Properties","2","2700","800 to 900","Jun-2022"
"191","KALLANG RIVERSIDE","KAMPONG BUGIS","12","Non-landed Properties","2","5100","1000 to 1100","Jun-2022"
"192","DE ROYALE","JALAN RAMA RAMA","12","Non-landed Properties","3","3575","1200 to 1300","Jun-2022"
"193","NON-LANDED HOUSING DEVELOPMENT","BALESTIER ROAD","12","Non-landed Properties","NA","3900","900 to 1000","Jun-2022"
"194","THE ARTE","JALAN RAJA UDANG","12","Non-landed Properties","3","4600","1500 to 1600","Jun-2022"
"195","THE ARTE","JALAN RAJA UDANG","12","Non-landed Properties","3","4500","1300 to 1400","Jun-2022"
"196","THE MEZZO","BALESTIER ROAD","12","Non-landed Properties","2","3200","800 to 900","Jun-2022"
"197","TREVISTA","LORONG 3 TOA PAYOH","12","Non-landed Properties","3","4100","1100 to 1200","Jun-2022"
"198","EIGHT RIVERSUITES","WHAMPOA EAST","12","Non-landed Properties","3","4550","1000 to 1100","Jun-2022"
"199","THE INTERWEAVE","KIM KEAT ROAD","12","Non-landed Properties","NA","2080","300 to 400","Jun-2022"
"200","SUNVILLE","ST. MICHAEL'S ROAD","12","Non-landed Properties","3","3300","1100 to 1200","Jun-2022"
"201","GEM RESIDENCES","LORONG 5 TOA PAYOH","12","Non-landed Properties","1","2800","400 to 500","Jun-2022"
"202","EURO-ASIA APARTMENTS","SERANGOON ROAD","12","Non-landed Properties","2","2900","800 to 900","Jun-2022"
"203","THE CENTRIO","IRRAWADDY ROAD","12","Non-landed Properties","4","4700","1400 to 1500","Jun-2022"
"204","THE RIVERINE BY THE PARK","KALLANG ROAD","12","Non-landed Properties","2","4300","900 to 1000","Jun-2022"
"205","EIGHT RIVERSUITES","WHAMPOA EAST","12","Non-landed Properties","1","2700","400 to 500","Jun-2022"
"206","TREVISTA","LORONG 3 TOA PAYOH","12","Non-landed Properties","3","4000","1100 to 1200","Jun-2022"
"207","M66","MOONSTONE LANE","12","Non-landed Properties","1","1900","400 to 500","Jun-2022"
"208","AVA TOWERS","AVA ROAD","12","Non-landed Properties","3","3300","1200 to 1300","Jun-2022"
"209","EIGHT RIVERSUITES","WHAMPOA EAST","12","Non-landed Properties","3","3800","1000 to 1100","Jun-2022"
"210","RIO GARDENS","JALAN TAMAN","12","Non-landed Properties","3","2150","1100 to 1200","Jun-2022"
"211","CASA FORTUNA","AH HOOD ROAD","12","Non-landed Properties","1","2400","500 to 600","Jun-2022"
"212","PRESTIGE HEIGHTS","BALESTIER ROAD","12","Non-landed Properties","NA","2050","300 to 400","Jun-2022"
"213","THE VIRIDIAN","JALAN AMPAS","12","Non-landed Properties","1","2350","500 to 600","Jun-2022"
"214","THE CITRINE","JALAN DATOH","12","Non-landed Properties","3","3550","1100 to 1200","Jun-2022"
"215","VISTA RESIDENCES","JALAN DATOH","12","Non-landed Properties","2","4200","900 to 1000","Jun-2022"
"216","THE INTERWEAVE","KIM KEAT ROAD","12","Non-landed Properties","1","2600","400 to 500","Jun-2022"
"217","DE ROYALE","JALAN RAMA RAMA","12","Non-landed Properties","3","3700","1200 to 1300","Jun-2022"
"218","ONE DUSUN RESIDENCES","JALAN DUSUN","12","Non-landed Properties","2","2100","400 to 500","Jun-2022"
"219","GEM RESIDENCES","LORONG 5 TOA PAYOH","12","Non-landed Properties","1","2500","400 to 500","Jun-2022"
"220","AVA TOWERS","AVA ROAD","12","Non-landed Properties","3","3600","1200 to 1300","Jun-2022"
"221","EIGHT RIVERSUITES","WHAMPOA EAST","12","Non-landed Properties","1","2350","400 to 500","Jun-2022"
"222","CITY SUITES","BALESTIER ROAD","12","Non-landed Properties","1","2300","500 to 600","Jun-2022"
"223","TREVISTA","LORONG 3 TOA PAYOH","12","Non-landed Properties","2","3450","900 to 1000","Jun-2022"
"224","EIGHT RIVERSUITES","WHAMPOA EAST","12","Non-landed Properties","3","3900","900 to 1000","Jun-2022"
"225","THE INTERWEAVE","KIM KEAT ROAD","12","Non-landed Properties","NA","2200","300 to 400","Jun-2022"
"226","NON-LANDED HOUSING DEVELOPMENT","KIM KEAT CLOSE","12","Non-landed Properties","3","3000","1000 to 1100","Jun-2022"
"227","NON-LANDED HOUSING DEVELOPMENT","BALESTIER ROAD","12","Non-landed Properties","NA","2200","900 to 1000","Jun-2022"
"228","TRELLIS TOWERS","LORONG 1 TOA PAYOH","12","Non-landed Properties","2","3200","700 to 800","Jun-2022"
"229","RITZ MANSIONS","BALESTIER ROAD","12","Non-landed Properties","3","3300","1600 to 1700","Jun-2022"
"230","PARC HAVEN","LORONG LIMAU","12","Non-landed Properties","3","4500","2500 to 2600","Jun-2022"
"231","THE INTERWEAVE","KIM KEAT ROAD","12","Non-landed Properties","NA","2100","300 to 400","Jun-2022"
"232","THE INTERWEAVE","KIM KEAT ROAD","12","Non-landed Properties","1","2350","400 to 500","Jun-2022"
"233","PRESTIGE HEIGHTS","BALESTIER ROAD","12","Non-landed Properties","NA","2200","300 to 400","Jun-2022"
"234","THE MEZZO","BALESTIER ROAD","12","Non-landed Properties","2","3500","800 to 900","Jun-2022"
"235","GEM RESIDENCES","LORONG 5 TOA PAYOH","12","Non-landed Properties","1","2900","400 to 500","Jun-2022"
"236","DOMUS","IRRAWADDY ROAD","12","Non-landed Properties","2","3800","900 to 1000","Jun-2022"
"237","EURO-ASIA APARTMENTS","SERANGOON ROAD","12","Non-landed Properties","NA","3500","1200 to 1300","Jun-2022"
"238","PRESTIGE HEIGHTS","BALESTIER ROAD","12","Non-landed Properties","1","2200","400 to 500","Jun-2022"
"239","BEACON HEIGHTS","MAR THOMA ROAD","12","Non-landed Properties","3","4100","1000 to 1100","Jun-2022"
"240","EURO-ASIA APARTMENTS","SERANGOON ROAD","12","Non-landed Properties","NA","2800","1200 to 1300","Jun-2022"
"241","TREVISTA","LORONG 3 TOA PAYOH","12","Non-landed Properties","3","4900","1100 to 1200","Jun-2022"
"242","LEONG HIN BUILDING","BALESTIER ROAD","12","Non-landed Properties","NA","2500","1200 to 1300","Jun-2022"
