"S/N","Building/Project Name","Street Name","Postal District","Type","No. of Bedroom(for Non-Landed Only)","Monthly Gross Rent($)","Floor Area (sq ft)","Lease Commencement Date"
"1","ASTORIA PARK","LORONG MYDIN","14","Non-landed Properties","2","3550","900 to 1000","Jun-2022"
"2","KINGSTON TERRACE","JALAN MASJID","14","Non-landed Properties","2","3100","1400 to 1500","Jun-2022"
"3","LA BRISA","LORONG 28 GEYLANG","14","Non-landed Properties","1","2450","400 to 500","Jun-2022"
"4","NON-LANDED HOUSING DEVELOPMENT","LORONG 4 GEYLANG","14","Non-landed Properties","NA","3500","1200 to 1300","Jun-2022"
"5","NON-LANDED HOUSING DEVELOPMENT","LORONG 41 GEYLANG","14","Non-landed Properties","3","4300","1000 to 1100","Jun-2022"
"6","EUHABITAT","JALAN EUNOS","14","Non-landed Properties","NA","2000","500 to 600","Jun-2022"
"7","CENTRA SUITES","LORONG 25A GEYLANG","14","Non-landed Properties","1","2300","400 to 500","Jun-2022"
"8","ATRIUM RESIDENCES","LORONG 28 GEYLANG","14","Non-landed Properties","3","4600","2200 to 2300","Jun-2022"
"9","WATERBANK AT DAKOTA","DAKOTA CRESCENT","14","Non-landed Properties","1","3200","600 to 700","Jun-2022"
"10","SIMS URBAN OASIS","SIMS DRIVE","14","Non-landed Properties","3","4400","800 to 900","Jun-2022"
"11","EUHABITAT","JALAN EUNOS","14","Non-landed Properties","1","2200","600 to 700","Jun-2022"
"12","REZI 26","LORONG 26 GEYLANG","14","Non-landed Properties","3","4300","1000 to 1100","Jun-2022"
"13","EUHABITAT","JALAN EUNOS","14","Non-landed Properties","NA","2500","500 to 600","Jun-2022"
"14","SIMS URBAN OASIS","SIMS DRIVE","14","Non-landed Properties","4","5300","1200 to 1300","Jun-2022"
"15","THE SUNNY SPRING","LORONG 40 GEYLANG","14","Non-landed Properties","3","3200","1000 to 1100","Jun-2022"
"16","SIMSVILLE","GEYLANG EAST AVENUE 2","14","Non-landed Properties","2","3150","900 to 1000","Jun-2022"
"17","THE WATER EDGE","LORONG 38 GEYLANG","14","Non-landed Properties","1","2100","400 to 500","Jun-2022"
"18","TRE RESIDENCES","GEYLANG EAST AVENUE 1","14","Non-landed Properties","1","2300","400 to 500","Jun-2022"
"19","THE TRUMPS","JALAN KEMBANGAN","14","Non-landed Properties","1","2300","600 to 700","Jun-2022"
"20","PRIME RESIDENCE","LORONG 22 GEYLANG","14","Non-landed Properties","1","1600","500 to 600","Jun-2022"
"21","LA BRISA","LORONG 28 GEYLANG","14","Non-landed Properties","1","2150","400 to 500","Jun-2022"
"22","PARK PLACE RESIDENCES AT PLQ","PAYA LEBAR ROAD","14","Non-landed Properties","2","4900","600 to 700","Jun-2022"
"23","EUHABITAT","JALAN EUNOS","14","Non-landed Properties","2","2800","900 to 1000","Jun-2022"
"24","BLISS VILLE","LORONG MELAYU","14","Non-landed Properties","3","3550","1200 to 1300","Jun-2022"
"25","THE LENOX","CHANGI ROAD","14","Non-landed Properties","2","3500","700 to 800","Jun-2022"
"26","SIMS URBAN OASIS","SIMS DRIVE","14","Non-landed Properties","3","3800","1100 to 1200","Jun-2022"
"27","EDENZ SUITES","LORONG 28 GEYLANG","14","Non-landed Properties","1","1850","400 to 500","Jun-2022"
"28","WATERBANK AT DAKOTA","DAKOTA CRESCENT","14","Non-landed Properties","2","4200","800 to 900","Jun-2022"
"29","SIMS GREEN","LORONG 27A GEYLANG","14","Non-landed Properties","3","5000","1200 to 1300","Jun-2022"
"30","WING FONG MANSIONS/WING FONG COURT","LORONG 14 GEYLANG","14","Non-landed Properties","3","3000","1200 to 1300","Jun-2022"
"31","SIMS URBAN OASIS","SIMS DRIVE","14","Non-landed Properties","1","2500","400 to 500","Jun-2022"
"32","ASTORIA PARK","LORONG MYDIN","14","Non-landed Properties","2","2950","900 to 1000","Jun-2022"
"33","CENTRAL GROVE","GEYLANG EAST AVENUE 1","14","Non-landed Properties","3","4000","1200 to 1300","Jun-2022"
"34","CENTRA RESIDENCE","LORONG 7 GEYLANG","14","Non-landed Properties","1","2000","300 to 400","Jun-2022"
"35","VACANZA @ EAST","LENGKONG TUJOH","14","Non-landed Properties","2","3000","800 to 900","Jun-2022"
