"S/N","Building/Project Name","Street Name","Postal District","Type","No. of Bedroom(for Non-Landed Only)","Monthly Gross Rent($)","Floor Area (sq ft)","Lease Commencement Date"
"34","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","4100","400 to 500","Feb-2022"
"35","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","2","4100","500 to 600","Feb-2022"
"36","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","4400","500 to 600","Feb-2022"
"37","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","3400","500 to 600","Feb-2022"
"38","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","2","7200","1000 to 1100","Feb-2022"
"39","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","2","5717","1000 to 1100","Feb-2022"
"40","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","4543","500 to 600","Feb-2022"
"41","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","4000","400 to 500","Jan-2022"
"42","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","2","6000","1000 to 1100","Jan-2022"
"43","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","5200","500 to 600","Jan-2022"
"44","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","2","5900","500 to 600","Jan-2022"
"45","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","2","5000","800 to 900","Jan-2022"
"46","EDEN RESIDENCES CAPITOL","STAMFORD ROAD","06","Non-landed Properties","3","10500","2100 to 2200","Jan-2022"
"47","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","2","5300","600 to 700","Jan-2022"
"48","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","3515","300 to 400","Jan-2022"
"49","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","2","4300","600 to 700","Jan-2022"
"50","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","4543","500 to 600","Jan-2022"
"51","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","4440","400 to 500","Jan-2022"
"52","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","2500","500 to 600","Jan-2022"
"53","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","2","3150","600 to 700","Jan-2022"
"54","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","3400","400 to 500","Dec-2021"
"55","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","2","4500","800 to 900","Dec-2021"
"56","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","3000","500 to 600","Dec-2021"
"57","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","3889","500 to 600","Dec-2021"
"58","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","3889","400 to 500","Dec-2021"
"59","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","4543","500 to 600","Dec-2021"
"60","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","2","3850","1000 to 1100","Nov-2021"
"61","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","3400","400 to 500","Nov-2021"
"62","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","4100","400 to 500","Nov-2021"
"63","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","3200","500 to 600","Nov-2021"
"64","EDEN RESIDENCES CAPITOL","STAMFORD ROAD","06","Non-landed Properties","3","10300","2100 to 2200","Nov-2021"
"65","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","2","5030","600 to 700","Nov-2021"
"66","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","2954","300 to 400","Nov-2021"
"67","EDEN RESIDENCES CAPITOL","STAMFORD ROAD","06","Non-landed Properties","3","10000","2100 to 2200","Nov-2021"
"68","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","2","4000","700 to 800","Nov-2021"
"69","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","3235","400 to 500","Nov-2021"
"70","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","4440","400 to 500","Nov-2021"
"71","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","3400","400 to 500","Oct-2021"
"72","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","2","6000","1000 to 1100","Oct-2021"
"73","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","2","5900","500 to 600","Oct-2021"
"74","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","3400","400 to 500","Oct-2021"
"75","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","2","4100","500 to 600","Oct-2021"
"76","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","3200","500 to 600","Oct-2021"
"77","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","2","4300","600 to 700","Oct-2021"
"78","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","3235","400 to 500","Oct-2021"
"79","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","4543","500 to 600","Oct-2021"
"80","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","4440","400 to 500","Oct-2021"
"81","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","2","4843","700 to 800","Oct-2021"
"82","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","2954","300 to 400","Oct-2021"
"83","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","2","5717","1000 to 1100","Sep-2021"
"84","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","2","4400","700 to 800","Sep-2021"
"85","EDEN RESIDENCES CAPITOL","STAMFORD ROAD","06","Non-landed Properties","4","16500",">3000","Sep-2021"
"86","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","3200","500 to 600","Sep-2021"
"87","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","4100","400 to 500","Sep-2021"
"88","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","3235","400 to 500","Sep-2021"
"89","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","3100","300 to 400","Aug-2021"
"90","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","2900","500 to 600","Aug-2021"
"91","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","2","3535","600 to 700","Aug-2021"
"92","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","2","7586","1100 to 1200","Aug-2021"
"93","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","3400","500 to 600","Aug-2021"
"94","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","3300","500 to 600","Aug-2021"
"95","EDEN RESIDENCES CAPITOL","STAMFORD ROAD","06","Non-landed Properties","3","13500",">3000","Aug-2021"
"96","EDEN RESIDENCES CAPITOL","STAMFORD ROAD","06","Non-landed Properties","3","12500","2700 to 2800","Aug-2021"
"97","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","4543","500 to 600","Aug-2021"
"98","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","3235","400 to 500","Aug-2021"
"99","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","2","3900","800 to 900","Jul-2021"
"100","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","4440","400 to 500","Jul-2021"
"101","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","3400","400 to 500","Jul-2021"
"102","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","5200","500 to 600","Jul-2021"
"103","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","2","3535","600 to 700","Jul-2021"
"104","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","3300","500 to 600","Jul-2021"
"105","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","4000","500 to 600","Jul-2021"
"106","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","3100","500 to 600","Jul-2021"
"107","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","2","3950","800 to 900","Jun-2021"
"108","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","2954","300 to 400","Jun-2021"
"109","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","2","3535","600 to 700","Jun-2021"
"110","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","4440","400 to 500","Jun-2021"
"111","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","3600","400 to 500","Jun-2021"
"112","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","2","3150","600 to 700","Jun-2021"
"113","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","3235","400 to 500","Jun-2021"
"114","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","4543","500 to 600","Jun-2021"
"115","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","4100","400 to 500","Jun-2021"
"116","EDEN RESIDENCES CAPITOL","STAMFORD ROAD","06","Non-landed Properties","4","16000",">3000","May-2021"
"117","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","2","3535","600 to 700","May-2021"
"118","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","3200","500 to 600","May-2021"
"119","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","2500","500 to 600","May-2021"
"120","EDEN RESIDENCES CAPITOL","STAMFORD ROAD","06","Non-landed Properties","3","12000","2900 to 3000","May-2021"
"121","EDEN RESIDENCES CAPITOL","STAMFORD ROAD","06","Non-landed Properties","3","14000","2900 to 3000","May-2021"
"122","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","2800","600 to 700","May-2021"
"123","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","4543","500 to 600","May-2021"
"124","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","4730","500 to 600","May-2021"
"125","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","5200","500 to 600","Apr-2021"
"126","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","3500","400 to 500","Apr-2021"
"127","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","3235","400 to 500","Apr-2021"
"128","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","4730","500 to 600","Apr-2021"
"129","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","4543","500 to 600","Apr-2021"
"130","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","3400","500 to 600","Apr-2021"
"131","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","4000","500 to 600","Mar-2021"
"132","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","2","5691","1000 to 1100","Mar-2021"
"133","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","3400","300 to 400","Mar-2021"
"134","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","4500","400 to 500","Mar-2021"
"135","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","3000","500 to 600","Mar-2021"
"136","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","3300","300 to 400","Mar-2021"
"137","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","2","4843","700 to 800","Mar-2021"
"138","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","2850","500 to 600","Mar-2021"
"139","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","3422","400 to 500","Mar-2021"
"140","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","4440","400 to 500","Mar-2021"
"141","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","3600","400 to 500","Mar-2021"
"142","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","3200","500 to 600","Mar-2021"
"143","EDEN RESIDENCES CAPITOL","STAMFORD ROAD","06","Non-landed Properties","4","15000",">3000","Mar-2021"
"144","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","4543","500 to 600","Mar-2021"
"145","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","3300","400 to 500","Mar-2021"
"146","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","3235","400 to 500","Mar-2021"
"147","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","4730","500 to 600","Feb-2021"
"148","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","2900","500 to 600","Feb-2021"
"149","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","2","3535","600 to 700","Feb-2021"
"150","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","3200","500 to 600","Feb-2021"
"151","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","4543","500 to 600","Feb-2021"
"152","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","3000","300 to 400","Feb-2021"
"153","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","3235","400 to 500","Feb-2021"
"154","EDEN RESIDENCES CAPITOL","STAMFORD ROAD","06","Non-landed Properties","3","14000","2900 to 3000","Feb-2021"
"155","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","2","3000","600 to 700","Feb-2021"
"156","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","2","6532","1000 to 1100","Jan-2021"
"157","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","2400","500 to 600","Jan-2021"
"158","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","2","4400","800 to 900","Jan-2021"
"159","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","4543","400 to 500","Jan-2021"
"160","EDEN RESIDENCES CAPITOL","STAMFORD ROAD","06","Non-landed Properties","4","16000",">3000","Jan-2021"
"161","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","4730","500 to 600","Dec-2020"
"162","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","2","6532","1000 to 1100","Dec-2020"
"163","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","3889","400 to 500","Dec-2020"
"164","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","2","11647","2600 to 2700","Dec-2020"
"165","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","2","5404","600 to 700","Dec-2020"
"166","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","4543","400 to 500","Dec-2020"
"167","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","4636","500 to 600","Dec-2020"
"168","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","4400","500 to 600","Dec-2020"
"169","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","2","6200","700 to 800","Nov-2020"
"170","EDEN RESIDENCES CAPITOL","STAMFORD ROAD","06","Non-landed Properties","3","11500","2900 to 3000","Nov-2020"
"171","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","2","4000","500 to 600","Nov-2020"
"172","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","3200","500 to 600","Nov-2020"
"173","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","2","5404","600 to 700","Nov-2020"
"174","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","4543","400 to 500","Nov-2020"
"175","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","2","5217","600 to 700","Nov-2020"
"176","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","3235","400 to 500","Nov-2020"
"177","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","5010","500 to 600","Oct-2020"
"178","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","4000","400 to 500","Oct-2020"
"179","EDEN RESIDENCES CAPITOL","STAMFORD ROAD","06","Non-landed Properties","3","12300","2700 to 2800","Oct-2020"
"180","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","3235","500 to 600","Oct-2020"
"181","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","2","5404","600 to 700","Oct-2020"
"182","EDEN RESIDENCES CAPITOL","STAMFORD ROAD","06","Non-landed Properties","4","20000",">3000","Oct-2020"
"183","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","4543","400 to 500","Oct-2020"
"184","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","3422","300 to 400","Oct-2020"
"185","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","5498","500 to 600","Oct-2020"
"186","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","3889","400 to 500","Sep-2020"
"187","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","2650","500 to 600","Sep-2020"
"188","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","5010","500 to 600","Sep-2020"
"189","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","2","5030","700 to 800","Sep-2020"
"190","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","2850","500 to 600","Sep-2020"
"191","EDEN RESIDENCES CAPITOL","STAMFORD ROAD","06","Non-landed Properties","4","15000",">3000","Sep-2020"
"192","EDEN RESIDENCES CAPITOL","STAMFORD ROAD","06","Non-landed Properties","3","8200","2100 to 2200","Sep-2020"
"193","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","4543","400 to 500","Sep-2020"
"194","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","4636","500 to 600","Sep-2020"
"195","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","3258","500 to 600","Sep-2020"
"196","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","3422","300 to 400","Sep-2020"
"197","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","3422","500 to 600","Aug-2020"
"198","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","2","6532","1000 to 1100","Aug-2020"
"199","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","2700","500 to 600","Aug-2020"
"200","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","4543","400 to 500","Aug-2020"
"201","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","3795","400 to 500","Aug-2020"
"202","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","3422","300 to 400","Aug-2020"
"203","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","2500","500 to 600","Jul-2020"
"204","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","2","5404","600 to 700","Jul-2020"
"205","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","4543","400 to 500","Jul-2020"
"206","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","4543","400 to 500","Jul-2020"
"207","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","3795","400 to 500","Jul-2020"
"208","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","3422","300 to 400","Jul-2020"
"209","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","2","3950","800 to 900","Jun-2020"
"210","EDEN RESIDENCES CAPITOL","STAMFORD ROAD","06","Non-landed Properties","4","15000",">3000","Jun-2020"
"211","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","4543","400 to 500","Jun-2020"
"212","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","3422","300 to 400","Jun-2020"
"213","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","4636","500 to 600","Jun-2020"
"214","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","3795","400 to 500","Jun-2020"
"215","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","2","4000","500 to 600","May-2020"
"216","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","3200","500 to 600","May-2020"
"217","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","5571","500 to 600","May-2020"
"218","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","3258","500 to 600","May-2020"
"219","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","4400","500 to 600","May-2020"
"220","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","2954","400 to 500","May-2020"
"221","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","4543","400 to 500","May-2020"
"222","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","3422","300 to 400","May-2020"
"223","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","3795","400 to 500","May-2020"
"224","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","2","4657","1000 to 1100","Apr-2020"
"225","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","2954","400 to 500","Apr-2020"
"226","EDEN RESIDENCES CAPITOL","STAMFORD ROAD","06","Non-landed Properties","3","9500","2900 to 3000","Apr-2020"
