"S/N","Building/Project Name","Street Name","Postal District","Type","No. of Bedroom(for Non-Landed Only)","Monthly Gross Rent($)","Floor Area (sq ft)","Lease Commencement Date"
"1","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","3422","400 to 500","Jun-2022"
"2","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","4400","500 to 600","Jun-2022"
"3","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","4000","500 to 600","May-2022"
"4","EDEN RESIDENCES CAPITOL","STAMFORD ROAD","06","Non-landed Properties","3","13000","2200 to 2300","May-2022"
"5","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","4356","500 to 600","May-2022"
"6","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","2","5497","500 to 600","May-2022"
"7","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","4100","400 to 500","May-2022"
"8","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","4400","500 to 600","May-2022"
"9","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","2","7026","1000 to 1100","May-2022"
"10","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","4000","400 to 500","May-2022"
"11","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","2","5743","1000 to 1100","May-2022"
"12","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","4080","500 to 600","Apr-2022"
"13","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","3400","400 to 500","Apr-2022"
"14","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","3200","500 to 600","Apr-2022"
"15","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","3800","500 to 600","Apr-2022"
"16","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","2","3629","1000 to 1100","Apr-2022"
"17","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","4080","500 to 600","Apr-2022"
"18","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","3889","500 to 600","Apr-2022"
"19","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","2","6000","500 to 600","Apr-2022"
"20","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","2","4843","700 to 800","Apr-2022"
"21","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","2","5123","600 to 700","Apr-2022"
"22","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","4000","500 to 600","Mar-2022"
"23","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","4500","400 to 500","Mar-2022"
"24","EDEN RESIDENCES CAPITOL","STAMFORD ROAD","06","Non-landed Properties","3","17000","2900 to 3000","Mar-2022"
"25","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","3422","400 to 500","Mar-2022"
"26","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","2","4526","700 to 800","Mar-2022"
"27","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","4700","400 to 500","Mar-2022"
"28","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","5100","500 to 600","Mar-2022"
"29","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","2","4100","500 to 600","Mar-2022"
"30","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","3889","500 to 600","Mar-2022"
"31","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","4543","500 to 600","Mar-2022"
"32","HIGH STREET CENTRE","NORTH BRIDGE ROAD","06","Non-landed Properties","1","4000","300 to 400","Feb-2022"
"33","EDEN RESIDENCES CAPITOL","STAMFORD ROAD","06","Non-landed Properties","4","19500",">3000","Feb-2022"
