"S/N","Building/Project Name","Street Name","Postal District","Type","No. of Bedroom(for Non-Landed Only)","Monthly Gross Rent($)","Floor Area (sq ft)","Lease Commencement Date"
"1","BARTLEY RIDGE","MOUNT VERNON ROAD","13","Non-landed Properties","3","3900","1000 to 1100","Jun-2022"
"2","8@WOODLEIGH","WOODLEIGH CLOSE","13","Non-landed Properties","3","3400","1100 to 1200","Jun-2022"
"3","PARK COLONIAL","WOODLEIGH LANE","13","Non-landed Properties","NA","3200","400 to 500","Jun-2022"
"4","PARK COLONIAL","WOODLEIGH LANE","13","Non-landed Properties","NA","3100","400 to 500","Jun-2022"
"5","PARK COLONIAL","WOODLEIGH LANE","13","Non-landed Properties","NA","4200","600 to 700","Jun-2022"
"6","18 WOODSVILLE","WOODSVILLE CLOSE","13","Non-landed Properties","1","3400","400 to 500","Jun-2022"
"7","PARK COLONIAL","WOODLEIGH LANE","13","Non-landed Properties","NA","3800","600 to 700","Jun-2022"
"8","PARK COLONIAL","WOODLEIGH LANE","13","Non-landed Properties","NA","2900","400 to 500","Jun-2022"
"9","PARK COLONIAL","WOODLEIGH LANE","13","Non-landed Properties","NA","3000","400 to 500","Jun-2022"
"10","SUITES@BRADDELL","BRADDELL ROAD","13","Non-landed Properties","1","2600","400 to 500","Jun-2022"
"11","SENNETT RESIDENCE","PHENG GECK AVENUE","13","Non-landed Properties","1","2500","500 to 600","Jun-2022"
"12","THE POIZ RESIDENCES","MEYAPPA CHETTIAR ROAD","13","Non-landed Properties","1","2300","400 to 500","Jun-2022"
"13","PARK COLONIAL","WOODLEIGH LANE","13","Non-landed Properties","NA","6000","1000 to 1100","Jun-2022"
"14","E MAISON","BRADDELL ROAD","13","Non-landed Properties","1","2700","500 to 600","Jun-2022"
"15","SKY GREEN","MACPHERSON ROAD","13","Non-landed Properties","2","3100","700 to 800","Jun-2022"
"16","PARK COLONIAL","WOODLEIGH LANE","13","Non-landed Properties","NA","2900","400 to 500","Jun-2022"
"17","PARK COLONIAL","WOODLEIGH LANE","13","Non-landed Properties","NA","6500","900 to 1000","Jun-2022"
"18","LEICESTER SUITES","LEICESTER ROAD","13","Non-landed Properties","1","2500","400 to 500","Jun-2022"
"19","SENNETT RESIDENCE","PHENG GECK AVENUE","13","Non-landed Properties","1","2300","500 to 600","Jun-2022"
"20","PARK COLONIAL","WOODLEIGH LANE","13","Non-landed Properties","NA","4350","600 to 700","Jun-2022"
"21","BARTLEY RIDGE","MOUNT VERNON ROAD","13","Non-landed Properties","1","2100","400 to 500","Jun-2022"
"22","PARK COLONIAL","WOODLEIGH LANE","13","Non-landed Properties","NA","4600","600 to 700","Jun-2022"
"23","PARK COLONIAL","WOODLEIGH LANE","13","Non-landed Properties","NA","3100","400 to 500","Jun-2022"
"24","SENNETT RESIDENCE","PHENG GECK AVENUE","13","Non-landed Properties","1","2200","500 to 600","Jun-2022"
"25","BLOSSOMS @ WOODLEIGH","WOODLEIGH CLOSE","13","Non-landed Properties","3","4000","1400 to 1500","Jun-2022"
"26","8@WOODLEIGH","WOODLEIGH CLOSE","13","Non-landed Properties","2","3500","800 to 900","Jun-2022"
"27","BARTLEY RIDGE","MOUNT VERNON ROAD","13","Non-landed Properties","2","2800","700 to 800","Jun-2022"
"28","THE POIZ RESIDENCES","MEYAPPA CHETTIAR ROAD","13","Non-landed Properties","1","2300","400 to 500","Jun-2022"
"29","PARK COLONIAL","WOODLEIGH LANE","13","Non-landed Properties","NA","3800","400 to 500","Jun-2022"
"30","PLATINUM EDGE","LEICESTER ROAD","13","Non-landed Properties","2","2800","800 to 900","Jun-2022"
"31","PARK COLONIAL","WOODLEIGH LANE","13","Non-landed Properties","NA","5700","900 to 1000","Jun-2022"
"32","PARC ASTON","LEICESTER ROAD","13","Non-landed Properties","3","3900","1100 to 1200","Jun-2022"
"33","PARK COLONIAL","WOODLEIGH LANE","13","Non-landed Properties","NA","3600","600 to 700","Jun-2022"
"34","PARK COLONIAL","WOODLEIGH LANE","13","Non-landed Properties","NA","8700","1100 to 1200","Jun-2022"
"35","SENNETT RESIDENCE","PHENG GECK AVENUE","13","Non-landed Properties","2","4000","800 to 900","Jun-2022"
"36","NON-LANDED HOUSING DEVELOPMENT","MACPHERSON ROAD","13","Non-landed Properties","NA","3200","700 to 800","Jun-2022"
"37","EURO-ASIA PARK","WOODLEIGH CLOSE","13","Non-landed Properties","2","2800","800 to 900","Jun-2022"
"38","THE POIZ RESIDENCES","MEYAPPA CHETTIAR ROAD","13","Non-landed Properties","2","3300","1100 to 1200","Jun-2022"
"39","BARTLEY RIDGE","MOUNT VERNON ROAD","13","Non-landed Properties","2","3100","800 to 900","Jun-2022"
"40","PARK COLONIAL","WOODLEIGH LANE","13","Non-landed Properties","NA","6000","900 to 1000","Jun-2022"
"41","SENNETT RESIDENCE","PHENG GECK AVENUE","13","Non-landed Properties","1","3400","500 to 600","Jun-2022"
"42","8@WOODLEIGH","WOODLEIGH CLOSE","13","Non-landed Properties","2","4300","1100 to 1200","Jun-2022"
"43","PARK COLONIAL","WOODLEIGH LANE","13","Non-landed Properties","NA","4100","600 to 700","Jun-2022"
"44","8@WOODLEIGH","WOODLEIGH CLOSE","13","Non-landed Properties","2","3650","800 to 900","Jun-2022"
"45","NIN RESIDENCE","PHENG GECK AVENUE","13","Non-landed Properties","2","3000","900 to 1000","Jun-2022"
