"S/N","Building/Project Name","Street Name","Postal District","Type","No. of Bedroom(for Non-Landed Only)","Monthly Gross Rent($)","Floor Area (sq ft)","Lease Commencement Date"
"1","BOONVIEW","MARYMOUNT TERRACE","20","Non-landed Properties","3","3700","1200 to 1300","Jun-2022"
"2","THE PANORAMA","ANG MO KIO AVENUE 2","20","Non-landed Properties","3","5400","1100 to 1200","Jun-2022"
"3","GOLDENHILL PARK CONDOMINIUM","MEI HWAN DRIVE","20","Non-landed Properties","4","5900","1500 to 1600","Jun-2022"
"4","SKY VUE","BISHAN STREET 15","20","Non-landed Properties","1","3000","400 to 500","Jun-2022"
"5","THOMSON GRAND","SIN MING WALK","20","Non-landed Properties","2","2750","900 to 1000","Jun-2022"
"6","BRADDELL VIEW","BRADDELL HILL","20","Non-landed Properties","NA","2800","1600 to 1700","Jun-2022"
"7","THOMSON V ONE","SIN MING ROAD","20","Non-landed Properties","2","3500","900 to 1000","Jun-2022"
"8","CENTRO RESIDENCES","ANG MO KIO AVENUE 8","20","Non-landed Properties","3","3500","900 to 1000","Jun-2022"
"9","THE PANORAMA","ANG MO KIO AVENUE 2","20","Non-landed Properties","2","3300","600 to 700","Jun-2022"
"10","THOMSON THREE","BRIGHT HILL DRIVE","20","Non-landed Properties","2","2650","700 to 800","Jun-2022"
"11","CENTRO RESIDENCES","ANG MO KIO AVENUE 8","20","Non-landed Properties","3","3900","1000 to 1100","Jun-2022"
"12","GOLDENHILL PARK CONDOMINIUM","MEI HWAN DRIVE","20","Non-landed Properties","3","5300","1300 to 1400","Jun-2022"
"13","BRADDELL VIEW","BRADDELL HILL","20","Non-landed Properties","NA","2900","1600 to 1700","Jun-2022"
"14","KELIVILLE","JALAN KELI","20","Non-landed Properties","3","3400","1600 to 1700","Jun-2022"
"15","BRADDELL VIEW","BRADDELL HILL","20","Non-landed Properties","NA","4500","1600 to 1700","Jun-2022"
"16","LAKEVIEW ESTATE","UPPER THOMSON ROAD","20","Non-landed Properties","NA","3800","1600 to 1700","Jun-2022"
"17","THE PANORAMA","ANG MO KIO AVENUE 2","20","Non-landed Properties","2","2950","600 to 700","Jun-2022"
"18","BISHAN PARK CONDOMINIUM","SIN MING WALK","20","Non-landed Properties","3","2900","1400 to 1500","Jun-2022"
"19","GRANDEUR 8","ANG MO KIO CENTRAL 3","20","Non-landed Properties","2","3600","1100 to 1200","Jun-2022"
"20","BRADDELL VIEW","BRADDELL HILL","20","Non-landed Properties","NA","3100","1500 to 1600","Jun-2022"
"21","TRESALVEO","MARYMOUNT TERRACE","20","Non-landed Properties","3","4800","1700 to 1800","Jun-2022"
"22","CENTRO RESIDENCES","ANG MO KIO AVENUE 8","20","Non-landed Properties","3","4100","1000 to 1100","Jun-2022"
"23","RAFFLESIA CONDOMINIUM","BISHAN STREET 21","20","Non-landed Properties","3","3700","1100 to 1200","Jun-2022"
"24","TRESALVEO","MARYMOUNT TERRACE","20","Non-landed Properties","2","3200","1000 to 1100","Jun-2022"
"25","SKY VUE","BISHAN STREET 15","20","Non-landed Properties","2","2500","600 to 700","Jun-2022"
"26","SKY VUE","BISHAN STREET 15","20","Non-landed Properties","2","2900","600 to 700","Jun-2022"
"27","GOLDENHILL PARK CONDOMINIUM","MEI HWAN DRIVE","20","Non-landed Properties","3","3800","1300 to 1400","Jun-2022"
"28","THE PANORAMA","ANG MO KIO AVENUE 2","20","Non-landed Properties","1","2500","400 to 500","Jun-2022"
"29","BRADDELL VIEW","BRADDELL HILL","20","Non-landed Properties","NA","4000","1600 to 1700","Jun-2022"
"30","RAFFLESIA CONDOMINIUM","BISHAN STREET 21","20","Non-landed Properties","3","4900","1100 to 1200","Jun-2022"
"31","THOMSON V TWO","SIN MING ROAD","20","Non-landed Properties","1","2350","400 to 500","Jun-2022"
"32","GOLDENHILL PARK CONDOMINIUM","MEI HWAN DRIVE","20","Non-landed Properties","4","5900","1500 to 1600","Jun-2022"
"33","LAKEVIEW ESTATE","UPPER THOMSON ROAD","20","Non-landed Properties","NA","3450","1600 to 1700","Jun-2022"
"34","THE GARDENS AT BISHAN","SIN MING WALK","20","Non-landed Properties","2","3500","800 to 900","Jun-2022"
"35","CENTRO RESIDENCES","ANG MO KIO AVENUE 8","20","Non-landed Properties","3","3500","900 to 1000","Jun-2022"
"36","SKY VUE","BISHAN STREET 15","20","Non-landed Properties","3","4200","1100 to 1200","Jun-2022"
"37","RAFFLESIA CONDOMINIUM","BISHAN STREET 21","20","Non-landed Properties","2","3500","900 to 1000","Jun-2022"
"38","CLOVER BY THE PARK","BISHAN STREET 25","20","Non-landed Properties","4","5200","1700 to 1800","Jun-2022"
"39","GRANDEUR 8","ANG MO KIO CENTRAL 3","20","Non-landed Properties","3","4400","1200 to 1300","Jun-2022"
"40","CENTRO RESIDENCES","ANG MO KIO AVENUE 8","20","Non-landed Properties","3","3700","900 to 1000","Jun-2022"
"41","CLOVER BY THE PARK","BISHAN STREET 25","20","Non-landed Properties","3","5300","1200 to 1300","Jun-2022"
"42","SKY HABITAT","BISHAN STREET 15","20","Non-landed Properties","3","5700","1200 to 1300","Jun-2022"
"43","RAFFLESIA CONDOMINIUM","BISHAN STREET 21","20","Non-landed Properties","3","3500","1400 to 1500","Jun-2022"
"44","SKY VUE","BISHAN STREET 15","20","Non-landed Properties","2","3250","800 to 900","Jun-2022"
"45","THE GARDENS AT BISHAN","SIN MING WALK","20","Non-landed Properties","2","3800","800 to 900","Jun-2022"
"46","KELIVILLE","JALAN KELI","20","Non-landed Properties","3","3000","1600 to 1700","Jun-2022"
"47","GRANDEUR 8","ANG MO KIO CENTRAL 3","20","Non-landed Properties","3","5000","1200 to 1300","Jun-2022"
"48","GOLDENHILL PARK CONDOMINIUM","MEI HWAN DRIVE","20","Non-landed Properties","3","4000","1300 to 1400","Jun-2022"
"49","SKY VUE","BISHAN STREET 15","20","Non-landed Properties","2","3400","600 to 700","Jun-2022"
"50","SKY VUE","BISHAN STREET 15","20","Non-landed Properties","3","5200","1100 to 1200","Jun-2022"
"51","THOMSON IMPRESSIONS","LORONG PUNTONG","20","Non-landed Properties","1","2800","400 to 500","Jun-2022"
"52","THE PANORAMA","ANG MO KIO AVENUE 2","20","Non-landed Properties","1","3000","400 to 500","Jun-2022"
"53","FAR HORIZON GARDENS","ANG MO KIO AVENUE 9","20","Non-landed Properties","3","4700","1900 to 2000","Jun-2022"
"54","MARYMOUNT VIEW","PEMIMPIN DRIVE","20","Non-landed Properties","3","3400","1200 to 1300","Jun-2022"
"55","THE GARDENS AT BISHAN","SIN MING WALK","20","Non-landed Properties","4","5200","1800 to 1900","Jun-2022"
"56","THE WINDSOR","ONTARIO AVENUE","20","Non-landed Properties","3","3700","1400 to 1500","Jun-2022"
"57","BISHAN 8","BISHAN STREET 21","20","Non-landed Properties","3","3700","1100 to 1200","Jun-2022"
"58","THOMSON THREE","BRIGHT HILL DRIVE","20","Non-landed Properties","3","4000","1100 to 1200","Jun-2022"
"59","SIN MING CENTRE","SIN MING ROAD","20","Non-landed Properties","1","2200","600 to 700","Jun-2022"
"60","THREE 11","UPPER THOMSON ROAD","20","Non-landed Properties","3","3200","1000 to 1100","Jun-2022"
"61","THOMSON THREE","BRIGHT HILL DRIVE","20","Non-landed Properties","3","4700","1100 to 1200","Jun-2022"
"62","THE PANORAMA","ANG MO KIO AVENUE 2","20","Non-landed Properties","2","2700","600 to 700","Jun-2022"
"63","SKY VUE","BISHAN STREET 15","20","Non-landed Properties","2","4000","700 to 800","Jun-2022"
"64","THE PANORAMA","ANG MO KIO AVENUE 2","20","Non-landed Properties","1","2800","400 to 500","Jun-2022"
"65","FLORAVIEW","ANG MO KIO STREET 66","20","Non-landed Properties","2","2100","500 to 600","Jun-2022"
"66","CENTRO RESIDENCES","ANG MO KIO AVENUE 8","20","Non-landed Properties","3","4200","900 to 1000","Jun-2022"
"67","THE GARDENS AT BISHAN","SIN MING WALK","20","Non-landed Properties","1","2000","900 to 1000","Jun-2022"
"68","THOMSON GRAND","SIN MING WALK","20","Non-landed Properties","3","3500","1300 to 1400","Jun-2022"
"69","THE PANORAMA","ANG MO KIO AVENUE 2","20","Non-landed Properties","2","2550","600 to 700","Jun-2022"
"70","SKY VUE","BISHAN STREET 15","20","Non-landed Properties","1","3000","400 to 500","Jun-2022"
"71","THOMSON VIEW CONDOMINIUM","BRIGHT HILL DRIVE","20","Non-landed Properties","2","3700","2000 to 2100","Jun-2022"
"72","THOMSON IMPRESSIONS","LORONG PUNTONG","20","Non-landed Properties","2","3700","700 to 800","Jun-2022"
"73","THE GARDENS AT BISHAN","SIN MING WALK","20","Non-landed Properties","2","3600","800 to 900","Jun-2022"
"74","THOMSON THREE","BRIGHT HILL DRIVE","20","Non-landed Properties","1","1900","400 to 500","Jun-2022"
"75","THOMSON THREE","BRIGHT HILL DRIVE","20","Non-landed Properties","2","3000","700 to 800","Jun-2022"
"76","THOMSON THREE","BRIGHT HILL DRIVE","20","Non-landed Properties","2","3600","700 to 800","Jun-2022"
"77","CENTRO RESIDENCES","ANG MO KIO AVENUE 8","20","Non-landed Properties","3","3600","900 to 1000","Jun-2022"
"78","THOMSON GRAND","SIN MING WALK","20","Non-landed Properties","4","4500","1600 to 1700","Jun-2022"
"79","THE GARDENS AT BISHAN","SIN MING WALK","20","Non-landed Properties","3","2600","1200 to 1300","Jun-2022"
"80","THE GARDENS AT BISHAN","SIN MING WALK","20","Non-landed Properties","3","3500","1200 to 1300","Jun-2022"
"81","CENTRO RESIDENCES","ANG MO KIO AVENUE 8","20","Non-landed Properties","2","3500","800 to 900","Jun-2022"
"82","FABER GARDEN CONDOMINIUM","ANGKLONG LANE","20","Non-landed Properties","4","4000","2100 to 2200","Jun-2022"
"83","THE WINDSOR","ONTARIO AVENUE","20","Non-landed Properties","3","2800","1300 to 1400","Jun-2022"
"84","THOMSON GRAND","SIN MING WALK","20","Non-landed Properties","4","5600","1700 to 1800","Jun-2022"
"85","GOLDENHILL PARK CONDOMINIUM","MEI HWAN DRIVE","20","Non-landed Properties","3","6380","1800 to 1900","Jun-2022"
"86","SKY VUE","BISHAN STREET 15","20","Non-landed Properties","2","3600","700 to 800","Jun-2022"
"87","LAKEVIEW ESTATE","UPPER THOMSON ROAD","20","Non-landed Properties","NA","3400","1600 to 1700","Jun-2022"
"88","SKY VUE","BISHAN STREET 15","20","Non-landed Properties","2","3200","800 to 900","Jun-2022"
"89","THE GARDENS AT BISHAN","SIN MING WALK","20","Non-landed Properties","3","4100","1200 to 1300","Jun-2022"
"90","THE GARDENS AT BISHAN","SIN MING WALK","20","Non-landed Properties","3","3300","1200 to 1300","Jun-2022"
"91","TRESALVEO","MARYMOUNT TERRACE","20","Non-landed Properties","1","2400","500 to 600","Jun-2022"
"92","CENTRO RESIDENCES","ANG MO KIO AVENUE 8","20","Non-landed Properties","2","2700","800 to 900","Jun-2022"
"93","TRESALVEO","MARYMOUNT TERRACE","20","Non-landed Properties","3","4600","1700 to 1800","Jun-2022"
"94","GOLDENHILL PARK CONDOMINIUM","MEI HWAN DRIVE","20","Non-landed Properties","3","4050","1300 to 1400","Jun-2022"
"95","BISHAN 8","BISHAN STREET 21","20","Non-landed Properties","3","4350","1100 to 1200","Jun-2022"
"96","BOONVIEW","MARYMOUNT TERRACE","20","Non-landed Properties","1","2800","600 to 700","Jun-2022"
"97","BISHAN PARK CONDOMINIUM","SIN MING WALK","20","Non-landed Properties","3","4200","1300 to 1400","Jun-2022"
"98","GOLDENHILL PARK CONDOMINIUM","MEI HWAN DRIVE","20","Non-landed Properties","2","3000","900 to 1000","Jun-2022"
"99","FLORAVIEW","ANG MO KIO STREET 66","20","Non-landed Properties","3","4000","600 to 700","Jun-2022"
"100","SKY HABITAT","BISHAN STREET 15","20","Non-landed Properties","2","4300","1300 to 1400","Jun-2022"
"101","SKY HABITAT","BISHAN STREET 15","20","Non-landed Properties","1","3300","700 to 800","Jun-2022"
"102","THOMSON THREE","BRIGHT HILL DRIVE","20","Non-landed Properties","2","2800","700 to 800","Jun-2022"
"103","SKY VUE","BISHAN STREET 15","20","Non-landed Properties","1","2880","400 to 500","Jun-2022"
"104","THREE 11","UPPER THOMSON ROAD","20","Non-landed Properties","1","2400","400 to 500","Jun-2022"
"105","GOLDENHILL PARK CONDOMINIUM","MEI HWAN DRIVE","20","Non-landed Properties","4","5600","1500 to 1600","Jun-2022"
"106","SKY HABITAT","BISHAN STREET 15","20","Non-landed Properties","2","4100","1100 to 1200","Jun-2022"
"107","SKY VUE","BISHAN STREET 15","20","Non-landed Properties","3","5200","1100 to 1200","Jun-2022"
"108","THOMSON THREE","BRIGHT HILL DRIVE","20","Non-landed Properties","2","3300","700 to 800","Jun-2022"
"109","SKY VUE","BISHAN STREET 15","20","Non-landed Properties","3","5000","1100 to 1200","Jun-2022"
"110","BRADDELL VIEW","BRADDELL HILL","20","Non-landed Properties","NA","3000","1600 to 1700","Jun-2022"
"111","CLOVER BY THE PARK","BISHAN STREET 25","20","Non-landed Properties","3","4700","1200 to 1300","Jun-2022"
"112","BOONVIEW","MARYMOUNT TERRACE","20","Non-landed Properties","3","3800","1500 to 1600","Jun-2022"
"113","BRADDELL VIEW","BRADDELL HILL","20","Non-landed Properties","NA","3800","1500 to 1600","Jun-2022"
"114","THOMSON IMPRESSIONS","LORONG PUNTONG","20","Non-landed Properties","2","3000","700 to 800","Jun-2022"
"115","GRANDEUR 8","ANG MO KIO CENTRAL 3","20","Non-landed Properties","4","4200","1400 to 1500","Jun-2022"
"116","THOMSON GRAND","SIN MING WALK","20","Non-landed Properties","3","4000","1400 to 1500","Jun-2022"
"117","BISHAN 8","BISHAN STREET 21","20","Non-landed Properties","3","3600","1100 to 1200","Jun-2022"
"118","BRADDELL VIEW","BRADDELL HILL","20","Non-landed Properties","NA","4200","1600 to 1700","Jun-2022"
"119","BISHAN 8","BISHAN STREET 21","20","Non-landed Properties","3","4500","1100 to 1200","Jun-2022"
"120","BISHAN PARK CONDOMINIUM","SIN MING WALK","20","Non-landed Properties","4","3300","1500 to 1600","Jun-2022"
"121","BRADDELL VIEW","BRADDELL HILL","20","Non-landed Properties","NA","3100","1400 to 1500","Jun-2022"
"122","THE PANORAMA","ANG MO KIO AVENUE 2","20","Non-landed Properties","1","2300","400 to 500","Jun-2022"
"123","CENTRO RESIDENCES","ANG MO KIO AVENUE 8","20","Non-landed Properties","2","3393","800 to 900","Jun-2022"
"124","THOMSON GRAND","SIN MING WALK","20","Non-landed Properties","3","4800","1300 to 1400","Jun-2022"
"125","THOMSON THREE","BRIGHT HILL DRIVE","20","Non-landed Properties","2","2500","700 to 800","Jun-2022"
"126","BRADDELL VIEW","BRADDELL HILL","20","Non-landed Properties","NA","2700","1700 to 1800","Jun-2022"
"127","THOMSON THREE","BRIGHT HILL DRIVE","20","Non-landed Properties","3","5000","1000 to 1100","Jun-2022"
"128","FLAME TREE PARK","SIN MING AVENUE","20","Non-landed Properties","3","3200","1700 to 1800","Jun-2022"
"129","SEASONS VIEW","PEMIMPIN DRIVE","20","Non-landed Properties","2","3000","900 to 1000","Jun-2022"
"130","BISHAN PARK CONDOMINIUM","SIN MING WALK","20","Non-landed Properties","3","4300","1300 to 1400","Jun-2022"
"131","CENTRO RESIDENCES","ANG MO KIO AVENUE 8","20","Non-landed Properties","3","5200","900 to 1000","Jun-2022"
"132","BRADDELL VIEW","BRADDELL HILL","20","Non-landed Properties","NA","3400","1400 to 1500","Jun-2022"
"133","THOMSON GRAND","SIN MING WALK","20","Non-landed Properties","2","4000","900 to 1000","Jun-2022"
"134","THOMSON IMPRESSIONS","LORONG PUNTONG","20","Non-landed Properties","2","3500","700 to 800","Jun-2022"
"135","GRANDEUR 8","ANG MO KIO CENTRAL 3","20","Non-landed Properties","3","4300","1400 to 1500","Jun-2022"
"136","SKY HABITAT","BISHAN STREET 15","20","Non-landed Properties","2","3500","800 to 900","Jun-2022"
"137","CENTRO RESIDENCES","ANG MO KIO AVENUE 8","20","Non-landed Properties","4","5800","1200 to 1300","Jun-2022"
"138","THOMSON VIEW CONDOMINIUM","BRIGHT HILL DRIVE","20","Non-landed Properties","2","4500","2000 to 2100","Jun-2022"
"139","THOMSON IMPRESSIONS","LORONG PUNTONG","20","Non-landed Properties","1","2800","400 to 500","Jun-2022"
"140","CENTRO RESIDENCES","ANG MO KIO AVENUE 8","20","Non-landed Properties","3","4900","1100 to 1200","Jun-2022"
"141","FABER GARDEN CONDOMINIUM","ANGKLONG LANE","20","Non-landed Properties","4","5400","2200 to 2300","Jun-2022"
"142","CENTRO RESIDENCES","ANG MO KIO AVENUE 8","20","Non-landed Properties","3","3500","900 to 1000","Jun-2022"
"143","FABER GARDEN CONDOMINIUM","ANGKLONG LANE","20","Non-landed Properties","3","3800","1800 to 1900","Jun-2022"
"144","THE PANORAMA","ANG MO KIO AVENUE 2","20","Non-landed Properties","1","2500","400 to 500","Jun-2022"
"145","CENTRO RESIDENCES","ANG MO KIO AVENUE 8","20","Non-landed Properties","2","3600","800 to 900","Jun-2022"
"146","SKY VUE","BISHAN STREET 15","20","Non-landed Properties","1","2600","400 to 500","Jun-2022"
"147","LAKEVIEW ESTATE","UPPER THOMSON ROAD","20","Non-landed Properties","NA","2700","1600 to 1700","Jun-2022"
"148","THE GARDENS AT BISHAN","SIN MING WALK","20","Non-landed Properties","2","2800","800 to 900","May-2022"
"149","SKY HABITAT","BISHAN STREET 15","20","Non-landed Properties","3","5800","1500 to 1600","May-2022"
"150","BISHAN PARK CONDOMINIUM","SIN MING WALK","20","Non-landed Properties","4","3300","1500 to 1600","May-2022"
"151","THREE 11","UPPER THOMSON ROAD","20","Non-landed Properties","1","2100","400 to 500","May-2022"
"152","THOMSON IMPRESSIONS","LORONG PUNTONG","20","Non-landed Properties","1","2000","400 to 500","May-2022"
"153","COUNTRY ESQUIRE","LORONG PUNTONG","20","Non-landed Properties","3","2900","1200 to 1300","May-2022"
"154","THE PANORAMA","ANG MO KIO AVENUE 2","20","Non-landed Properties","1","2600","400 to 500","May-2022"
"155","THREE 11","UPPER THOMSON ROAD","20","Non-landed Properties","2","3000","700 to 800","May-2022"
"156","THOMSON V TWO","SIN MING ROAD","20","Non-landed Properties","1","1750","300 to 400","May-2022"
"157","FLORAVIEW","ANG MO KIO STREET 66","20","Non-landed Properties","3","3900","600 to 700","May-2022"
"158","THE PANORAMA","ANG MO KIO AVENUE 2","20","Non-landed Properties","1","2700","400 to 500","May-2022"
"159","THE GARDENS AT BISHAN","SIN MING WALK","20","Non-landed Properties","3","4750","1200 to 1300","May-2022"
"160","CENTRO RESIDENCES","ANG MO KIO AVENUE 8","20","Non-landed Properties","3","3300","900 to 1000","May-2022"
"161","BRADDELL VIEW","BRADDELL HILL","20","Non-landed Properties","NA","4250","1400 to 1500","May-2022"
"162","183 LONGHAUS","UPPER THOMSON ROAD","20","Non-landed Properties","3","3300","900 to 1000","May-2022"
"163","THOMSON THREE","BRIGHT HILL DRIVE","20","Non-landed Properties","3","4300","1100 to 1200","May-2022"
"164","THOMSON IMPRESSIONS","LORONG PUNTONG","20","Non-landed Properties","3","4000","1000 to 1100","May-2022"
"165","THE PANORAMA","ANG MO KIO AVENUE 2","20","Non-landed Properties","2","3200","600 to 700","May-2022"
"166","THOMSON THREE","BRIGHT HILL DRIVE","20","Non-landed Properties","2","2800","700 to 800","May-2022"
"167","FAR HORIZON GARDENS","ANG MO KIO AVENUE 9","20","Non-landed Properties","2","2200","1100 to 1200","May-2022"
"168","TRESALVEO","MARYMOUNT TERRACE","20","Non-landed Properties","2","4000","900 to 1000","May-2022"
"169","THOMSON GRAND","SIN MING WALK","20","Non-landed Properties","3","4600","1300 to 1400","May-2022"
"170","FAR HORIZON GARDENS","ANG MO KIO AVENUE 9","20","Non-landed Properties","2","2200","1100 to 1200","May-2022"
"171","CLOVER BY THE PARK","BISHAN STREET 25","20","Non-landed Properties","4","5800","1700 to 1800","May-2022"
"172","TRESALVEO","MARYMOUNT TERRACE","20","Non-landed Properties","3","5200","1500 to 1600","May-2022"
"173","LAKEVIEW ESTATE","UPPER THOMSON ROAD","20","Non-landed Properties","NA","4300","1600 to 1700","May-2022"
"174","CENTRO RESIDENCES","ANG MO KIO AVENUE 8","20","Non-landed Properties","2","3700","800 to 900","May-2022"
"175","TRESALVEO","MARYMOUNT TERRACE","20","Non-landed Properties","3","4500","1500 to 1600","May-2022"
"176","THE PANORAMA","ANG MO KIO AVENUE 2","20","Non-landed Properties","2","3100","700 to 800","May-2022"
"177","SKY HABITAT","BISHAN STREET 15","20","Non-landed Properties","3","5400","1200 to 1300","May-2022"
"178","GRANDEUR 8","ANG MO KIO CENTRAL 3","20","Non-landed Properties","3","3300","1200 to 1300","May-2022"
"179","RAFFLESIA CONDOMINIUM","BISHAN STREET 21","20","Non-landed Properties","2","3600","900 to 1000","May-2022"
"180","SKY VUE","BISHAN STREET 15","20","Non-landed Properties","1","2500","400 to 500","May-2022"
"181","BRADDELL VIEW","BRADDELL HILL","20","Non-landed Properties","NA","3500","1700 to 1800","May-2022"
"182","SKY VUE","BISHAN STREET 15","20","Non-landed Properties","2","4500","800 to 900","May-2022"
"183","CENTRO RESIDENCES","ANG MO KIO AVENUE 8","20","Non-landed Properties","3","5000","1100 to 1200","May-2022"
"184","SIN MING CENTRE","SIN MING ROAD","20","Non-landed Properties","3","2900","1200 to 1300","May-2022"
"185","SKY VUE","BISHAN STREET 15","20","Non-landed Properties","1","2350","400 to 500","May-2022"
"186","FABER GARDEN CONDOMINIUM","ANGKLONG LANE","20","Non-landed Properties","3","4200","1600 to 1700","May-2022"
"187","TRESALVEO","MARYMOUNT TERRACE","20","Non-landed Properties","2","3300","900 to 1000","May-2022"
"188","SKY VUE","BISHAN STREET 15","20","Non-landed Properties","3","4650","1100 to 1200","May-2022"
"189","SKY VUE","BISHAN STREET 15","20","Non-landed Properties","2","2900","600 to 700","May-2022"
"190","BRADDELL VIEW","BRADDELL HILL","20","Non-landed Properties","NA","3300","1600 to 1700","May-2022"
"191","BISHAN POINT","BRIGHT HILL DRIVE","20","Non-landed Properties","4","4000","1400 to 1500","May-2022"
"192","THOMSON GRAND","SIN MING WALK","20","Non-landed Properties","2","3000","900 to 1000","May-2022"
"193","SKY HABITAT","BISHAN STREET 15","20","Non-landed Properties","1","3200","700 to 800","May-2022"
"194","CENTRO RESIDENCES","ANG MO KIO AVENUE 8","20","Non-landed Properties","2","3700","800 to 900","May-2022"
