"S/N","Building/Project Name","Street Name","Postal District","Type","No. of Bedroom(for Non-Landed Only)","Monthly Gross Rent($)","Floor Area (sq ft)","Lease Commencement Date"
"1","STRATUM","ELIAS ROAD","18","Non-landed Properties","NA","1700","400 to 500","Jun-2022"
"2","COCO PALMS","PASIR RIS GROVE","18","Non-landed Properties","3","3200","1000 to 1100","Jun-2022"
"3","THE TAPESTRY","TAMPINES STREET 86","18","Non-landed Properties","1","2850","400 to 500","Jun-2022"
"4","MY MANHATTAN","SIMEI STREET 3","18","Non-landed Properties","1","2300","500 to 600","Jun-2022"
"5","STRATUM","ELIAS ROAD","18","Non-landed Properties","2","3500","800 to 900","Jun-2022"
"6","LIVIA","PASIR RIS GROVE","18","Non-landed Properties","4","5100","1500 to 1600","Jun-2022"
"7","THE PALETTE","PASIR RIS GROVE","18","Non-landed Properties","2","2400","700 to 800","Jun-2022"
"8","MELVILLE PARK","SIMEI STREET 1","18","Non-landed Properties","2","2850","900 to 1000","Jun-2022"
"9","SAVANNAH CONDOPARK","SIMEI RISE","18","Non-landed Properties","3","3600","1200 to 1300","Jun-2022"
"10","STRATUM","ELIAS ROAD","18","Non-landed Properties","3","3300","1000 to 1100","Jun-2022"
"11","MELVILLE PARK","SIMEI STREET 1","18","Non-landed Properties","3","3450","1000 to 1100","Jun-2022"
"12","THE TAPESTRY","TAMPINES STREET 86","18","Non-landed Properties","1","2800","400 to 500","Jun-2022"
"13","STRATUM","ELIAS ROAD","18","Non-landed Properties","NA","1700","400 to 500","Jun-2022"
"14","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","3500","1300 to 1400","Jun-2022"
"15","DOUBLE BAY RESIDENCES","SIMEI STREET 4","18","Non-landed Properties","2","4000","900 to 1000","Jun-2022"
"16","NV RESIDENCES","PASIR RIS GROVE","18","Non-landed Properties","2","3100","800 to 900","Jun-2022"
"17","DOUBLE BAY RESIDENCES","SIMEI STREET 4","18","Non-landed Properties","3","4900","1200 to 1300","Jun-2022"
"18","STRATUM","ELIAS ROAD","18","Non-landed Properties","2","3100","700 to 800","Jun-2022"
"19","MELVILLE PARK","SIMEI STREET 1","18","Non-landed Properties","2","3100","900 to 1000","Jun-2022"
"20","RIPPLE BAY","PASIR RIS LINK","18","Non-landed Properties","1","1900","400 to 500","Jun-2022"
"21","THE TAPESTRY","TAMPINES STREET 86","18","Non-landed Properties","1","2800","400 to 500","Jun-2022"
"22","THE TAPESTRY","TAMPINES STREET 86","18","Non-landed Properties","1","2800","400 to 500","Jun-2022"
"23","RIPPLE BAY","PASIR RIS LINK","18","Non-landed Properties","1","1900","400 to 500","Jun-2022"
"24","OASIS @ ELIAS","ELIAS ROAD","18","Non-landed Properties","2","3000","900 to 1000","Jun-2022"
"25","OASIS @ ELIAS","ELIAS ROAD","18","Non-landed Properties","4","5400","2400 to 2500","Jun-2022"
"26","STRATUM","ELIAS ROAD","18","Non-landed Properties","NA","2400","400 to 500","Jun-2022"
"27","Q BAY RESIDENCES","TAMPINES STREET 86","18","Non-landed Properties","2","3400","800 to 900","Jun-2022"
"28","RIS GRANDEUR","ELIAS ROAD","18","Non-landed Properties","2","2800","1000 to 1100","Jun-2022"
"29","STRATUM","ELIAS ROAD","18","Non-landed Properties","3","3400","1300 to 1400","Jun-2022"
"30","RIPPLE BAY","PASIR RIS LINK","18","Non-landed Properties","3","2600","1000 to 1100","Jun-2022"
"31","THE PALETTE","PASIR RIS GROVE","18","Non-landed Properties","2","3600","800 to 900","Jun-2022"
"32","COCO PALMS","PASIR RIS GROVE","18","Non-landed Properties","2","4450","1100 to 1200","Jun-2022"
"33","VUE 8 RESIDENCE","PASIR RIS HEIGHTS","18","Non-landed Properties","2","2300","600 to 700","Jun-2022"
"34","D'NEST","PASIR RIS GROVE","18","Non-landed Properties","3","4300","900 to 1000","Jun-2022"
"35","STRATUM","ELIAS ROAD","18","Non-landed Properties","2","3200","700 to 800","Jun-2022"
"36","WATERVIEW","TAMPINES AVENUE 1","18","Non-landed Properties","3","4000","1100 to 1200","Jun-2022"
"37","VUE 8 RESIDENCE","PASIR RIS HEIGHTS","18","Non-landed Properties","2","2900","600 to 700","Jun-2022"
"38","DOUBLE BAY RESIDENCES","SIMEI STREET 4","18","Non-landed Properties","2","3700","900 to 1000","Jun-2022"
"39","D'NEST","PASIR RIS GROVE","18","Non-landed Properties","2","3400","700 to 800","Jun-2022"
"40","MELVILLE PARK","SIMEI STREET 1","18","Non-landed Properties","3","2950","1100 to 1200","Jun-2022"
"41","THE TAPESTRY","TAMPINES STREET 86","18","Non-landed Properties","1","2800","400 to 500","Jun-2022"
"42","Q BAY RESIDENCES","TAMPINES STREET 86","18","Non-landed Properties","2","2600","700 to 800","Jun-2022"
"43","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2700","900 to 1000","Jun-2022"
"44","RIPPLE BAY","PASIR RIS LINK","18","Non-landed Properties","1","1900","500 to 600","Jun-2022"
"45","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","3500","1100 to 1200","Jun-2022"
"46","MELVILLE PARK","SIMEI STREET 1","18","Non-landed Properties","2","2500","900 to 1000","Jun-2022"
"47","MELVILLE PARK","SIMEI STREET 1","18","Non-landed Properties","2","2400","1000 to 1100","Jun-2022"
"48","DOUBLE BAY RESIDENCES","SIMEI STREET 4","18","Non-landed Properties","NA","1950","500 to 600","Jun-2022"
"49","COCO PALMS","PASIR RIS GROVE","18","Non-landed Properties","2","2800","700 to 800","Jun-2022"
"50","SEA ESTA","PASIR RIS LINK","18","Non-landed Properties","1","2300","500 to 600","Jun-2022"
"51","WATERVIEW","TAMPINES AVENUE 1","18","Non-landed Properties","3","4100","1100 to 1200","Jun-2022"
"52","Q BAY RESIDENCES","TAMPINES STREET 86","18","Non-landed Properties","2","2750","800 to 900","Jun-2022"
"53","DOUBLE BAY RESIDENCES","SIMEI STREET 4","18","Non-landed Properties","2","4000","900 to 1000","Jun-2022"
"54","RIPPLE BAY","PASIR RIS LINK","18","Non-landed Properties","3","3250","1000 to 1100","Jun-2022"
"55","SEA ESTA","PASIR RIS LINK","18","Non-landed Properties","3","4300","1200 to 1300","Jun-2022"
"56","SEA ESTA","PASIR RIS LINK","18","Non-landed Properties","1","2200","500 to 600","Jun-2022"
"57","THE PALETTE","PASIR RIS GROVE","18","Non-landed Properties","2","3000","700 to 800","Jun-2022"
"58","THE TAPESTRY","TAMPINES STREET 86","18","Non-landed Properties","1","1374","400 to 500","Jun-2022"
"59","WATERVIEW","TAMPINES AVENUE 1","18","Non-landed Properties","2","3300","900 to 1000","Jun-2022"
"60","MY MANHATTAN","SIMEI STREET 3","18","Non-landed Properties","2","3500","1100 to 1200","Jun-2022"
"61","MY MANHATTAN","SIMEI STREET 3","18","Non-landed Properties","2","3400","800 to 900","Jun-2022"
"62","RIPPLE BAY","PASIR RIS LINK","18","Non-landed Properties","2","2000","700 to 800","Jun-2022"
"63","MELVILLE PARK","SIMEI STREET 1","18","Non-landed Properties","3","3900","1300 to 1400","Jun-2022"
"64","THE SANTORINI","TAMPINES STREET 86","18","Non-landed Properties","1","2500","400 to 500","Jun-2022"
"65","COCO PALMS","PASIR RIS GROVE","18","Non-landed Properties","3","3100","900 to 1000","Jun-2022"
"66","COCO PALMS","PASIR RIS GROVE","18","Non-landed Properties","3","4100","900 to 1000","Jun-2022"
"67","VUE 8 RESIDENCE","PASIR RIS HEIGHTS","18","Non-landed Properties","5","6200","2300 to 2400","Jun-2022"
"68","VUE 8 RESIDENCE","PASIR RIS HEIGHTS","18","Non-landed Properties","2","2575","700 to 800","Jun-2022"
"69","MELVILLE PARK","SIMEI STREET 1","18","Non-landed Properties","2","2500","1000 to 1100","Jun-2022"
"70","MELVILLE PARK","SIMEI STREET 1","18","Non-landed Properties","2","2300","900 to 1000","Jun-2022"
"71","SAVANNAH CONDOPARK","SIMEI RISE","18","Non-landed Properties","3","4000","1200 to 1300","Jun-2022"
"72","THE TAPESTRY","TAMPINES STREET 86","18","Non-landed Properties","1","2500","400 to 500","Jun-2022"
"73","RIS GRANDEUR","ELIAS ROAD","18","Non-landed Properties","3","4000","1300 to 1400","Jun-2022"
"74","MELVILLE PARK","SIMEI STREET 1","18","Non-landed Properties","2","2500","1000 to 1100","Jun-2022"
"75","THE TAPESTRY","TAMPINES STREET 86","18","Non-landed Properties","1","2800","400 to 500","Jun-2022"
"76","RIPPLE BAY","PASIR RIS LINK","18","Non-landed Properties","2","3500","700 to 800","Jun-2022"
"77","RIPPLE BAY","PASIR RIS LINK","18","Non-landed Properties","3","4200","1000 to 1100","Jun-2022"
"78","COCO PALMS","PASIR RIS GROVE","18","Non-landed Properties","1","1800","400 to 500","Jun-2022"
"79","MODENA","SIMEI STREET 4","18","Non-landed Properties","3","4600","1900 to 2000","Jun-2022"
"80","WATERVIEW","TAMPINES AVENUE 1","18","Non-landed Properties","2","2299","700 to 800","Jun-2022"
"81","SEA ESTA","PASIR RIS LINK","18","Non-landed Properties","3","3800","1100 to 1200","Jun-2022"
"82","DOUBLE BAY RESIDENCES","SIMEI STREET 4","18","Non-landed Properties","2","3300","1000 to 1100","Jun-2022"
"83","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","3000","1100 to 1200","Jun-2022"
"84","WATERVIEW","TAMPINES AVENUE 1","18","Non-landed Properties","2","3000","700 to 800","Jun-2022"
"85","COCO PALMS","PASIR RIS GROVE","18","Non-landed Properties","2","3600","1100 to 1200","Jun-2022"
"86","DOUBLE BAY RESIDENCES","SIMEI STREET 4","18","Non-landed Properties","3","4500","1200 to 1300","Jun-2022"
"87","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","3300","1100 to 1200","Jun-2022"
"88","SEASTRAND","PASIR RIS LINK","18","Non-landed Properties","2","2900","800 to 900","Jun-2022"
"89","MELVILLE PARK","SIMEI STREET 1","18","Non-landed Properties","2","2700","900 to 1000","Jun-2022"
"90","VUE 8 RESIDENCE","PASIR RIS HEIGHTS","18","Non-landed Properties","5","6000","2600 to 2700","Jun-2022"
"91","D'NEST","PASIR RIS GROVE","18","Non-landed Properties","1","2500","400 to 500","Jun-2022"
"92","CHANGI RISE CONDOMINIUM","SIMEI RISE","18","Non-landed Properties","3","3100","1200 to 1300","Jun-2022"
"93","D'NEST","PASIR RIS GROVE","18","Non-landed Properties","2","2600","700 to 800","Jun-2022"
"94","THE ALPS RESIDENCES","TAMPINES STREET 86","18","Non-landed Properties","1","2600","400 to 500","Jun-2022"
"95","RIPPLE BAY","PASIR RIS LINK","18","Non-landed Properties","2","3500","700 to 800","Jun-2022"
"96","Q BAY RESIDENCES","TAMPINES STREET 86","18","Non-landed Properties","3","1800","1100 to 1200","Jun-2022"
"97","SEASTRAND","PASIR RIS LINK","18","Non-landed Properties","NA","2500","500 to 600","Jun-2022"
"98","THE ALPS RESIDENCES","TAMPINES STREET 86","18","Non-landed Properties","1","2500","400 to 500","Jun-2022"
"99","THE TAPESTRY","TAMPINES STREET 86","18","Non-landed Properties","2","3100","600 to 700","Jun-2022"
"100","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","4300","1100 to 1200","Jun-2022"
"101","D'NEST","PASIR RIS GROVE","18","Non-landed Properties","1","2900","500 to 600","Jun-2022"
"102","THE TAPESTRY","TAMPINES STREET 86","18","Non-landed Properties","2","3100","600 to 700","Jun-2022"
"103","MELVILLE PARK","SIMEI STREET 1","18","Non-landed Properties","2","2700","900 to 1000","Jun-2022"
"104","D'NEST","PASIR RIS GROVE","18","Non-landed Properties","4","4000","1200 to 1300","Jun-2022"
"105","COCO PALMS","PASIR RIS GROVE","18","Non-landed Properties","2","2900","700 to 800","Jun-2022"
"106","NV RESIDENCES","PASIR RIS GROVE","18","Non-landed Properties","4","4800","1400 to 1500","Jun-2022"
"107","THE SANTORINI","TAMPINES STREET 86","18","Non-landed Properties","1","2700","500 to 600","Jun-2022"
"108","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","1","2500","1000 to 1100","Jun-2022"
"109","SEASTRAND","PASIR RIS LINK","18","Non-landed Properties","3","2700","1100 to 1200","Jun-2022"
"110","SAVANNAH CONDOPARK","SIMEI RISE","18","Non-landed Properties","4","4900","2200 to 2300","Jun-2022"
"111","THE PALETTE","PASIR RIS GROVE","18","Non-landed Properties","3","4300","1000 to 1100","Jun-2022"
"112","THE TAPESTRY","TAMPINES STREET 86","18","Non-landed Properties","1","2600","400 to 500","Jun-2022"
"113","THE PALETTE","PASIR RIS GROVE","18","Non-landed Properties","2","4700","1100 to 1200","Jun-2022"
"114","OASIS @ ELIAS","ELIAS ROAD","18","Non-landed Properties","3","4500","1200 to 1300","Jun-2022"
"115","THE PALETTE","PASIR RIS GROVE","18","Non-landed Properties","2","2500","800 to 900","Jun-2022"
"116","COCO PALMS","PASIR RIS GROVE","18","Non-landed Properties","3","2800","900 to 1000","Jun-2022"
"117","COCO PALMS","PASIR RIS GROVE","18","Non-landed Properties","3","4100","900 to 1000","Jun-2022"
"118","TROPICAL SPRING","SIMEI STREET 4","18","Non-landed Properties","2","3500","1000 to 1100","Jun-2022"
"119","THE TAPESTRY","TAMPINES STREET 86","18","Non-landed Properties","2","3200","600 to 700","Jun-2022"
"120","THE PALETTE","PASIR RIS GROVE","18","Non-landed Properties","2","2800","700 to 800","Jun-2022"
"121","ELIAS GREEN","ELIAS GREEN","18","Non-landed Properties","NA","3000","1500 to 1600","Jun-2022"
"122","Q BAY RESIDENCES","TAMPINES STREET 86","18","Non-landed Properties","3","3000","1100 to 1200","Jun-2022"
"123","THE TAPESTRY","TAMPINES STREET 86","18","Non-landed Properties","1","2700","400 to 500","Jun-2022"
"124","THE PALETTE","PASIR RIS GROVE","18","Non-landed Properties","2","2300","800 to 900","Jun-2022"
"125","THE PALETTE","PASIR RIS GROVE","18","Non-landed Properties","2","3300","800 to 900","Jun-2022"
"126","DOUBLE BAY RESIDENCES","SIMEI STREET 4","18","Non-landed Properties","3","4750","1300 to 1400","Jun-2022"
"127","THE TAPESTRY","TAMPINES STREET 86","18","Non-landed Properties","2","3700","600 to 700","Jun-2022"
"128","COCO PALMS","PASIR RIS GROVE","18","Non-landed Properties","1","2500","400 to 500","Jun-2022"
"129","Q BAY RESIDENCES","TAMPINES STREET 86","18","Non-landed Properties","2","1550","800 to 900","Jun-2022"
"130","NV RESIDENCES","PASIR RIS GROVE","18","Non-landed Properties","2","3800","900 to 1000","Jun-2022"
"131","THE PALETTE","PASIR RIS GROVE","18","Non-landed Properties","2","3200","800 to 900","Jun-2022"
"132","SEASTRAND","PASIR RIS LINK","18","Non-landed Properties","NA","2300","500 to 600","Jun-2022"
"133","SEA ESTA","PASIR RIS LINK","18","Non-landed Properties","3","2600","900 to 1000","Jun-2022"
"134","Q BAY RESIDENCES","TAMPINES STREET 86","18","Non-landed Properties","1","2200","500 to 600","Jun-2022"
"135","COCO PALMS","PASIR RIS GROVE","18","Non-landed Properties","1","2200","400 to 500","Jun-2022"
"136","CHANGI RISE CONDOMINIUM","SIMEI RISE","18","Non-landed Properties","3","2800","1100 to 1200","Jun-2022"
"137","MY MANHATTAN","SIMEI STREET 3","18","Non-landed Properties","1","2300","500 to 600","Jun-2022"
"138","RIPPLE BAY","PASIR RIS LINK","18","Non-landed Properties","2","3000","1000 to 1100","Jun-2022"
"139","Q BAY RESIDENCES","TAMPINES STREET 86","18","Non-landed Properties","2","2550","800 to 900","Jun-2022"
"140","NV RESIDENCES","PASIR RIS GROVE","18","Non-landed Properties","3","3000","1100 to 1200","Jun-2022"
"141","THE TAPESTRY","TAMPINES STREET 86","18","Non-landed Properties","2","3000","600 to 700","Jun-2022"
"142","D'NEST","PASIR RIS GROVE","18","Non-landed Properties","3","4200","900 to 1000","Jun-2022"
"143","COCO PALMS","PASIR RIS GROVE","18","Non-landed Properties","1","2200","400 to 500","Jun-2022"
"144","CHANGI RISE CONDOMINIUM","SIMEI RISE","18","Non-landed Properties","2","3200","1000 to 1100","Jun-2022"
"145","MELVILLE PARK","SIMEI STREET 1","18","Non-landed Properties","2","3500","1000 to 1100","Jun-2022"
"146","Q BAY RESIDENCES","TAMPINES STREET 86","18","Non-landed Properties","1","1800","500 to 600","Jun-2022"
"147","VUE 8 RESIDENCE","PASIR RIS HEIGHTS","18","Non-landed Properties","3","3000","1000 to 1100","Jun-2022"
"148","RIPPLE BAY","PASIR RIS LINK","18","Non-landed Properties","1","2050","400 to 500","Jun-2022"
"149","NV RESIDENCES","PASIR RIS GROVE","18","Non-landed Properties","2","3000","700 to 800","Jun-2022"
"150","TROPICAL SPRING","SIMEI STREET 4","18","Non-landed Properties","3","3400","1300 to 1400","Jun-2022"
"151","COCO PALMS","PASIR RIS GROVE","18","Non-landed Properties","1","2000","400 to 500","Jun-2022"
"152","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","5","5200","2300 to 2400","Jun-2022"
"153","CHANGI RISE CONDOMINIUM","SIMEI RISE","18","Non-landed Properties","3","3000","1200 to 1300","Jun-2022"
"154","LIVIA","PASIR RIS GROVE","18","Non-landed Properties","2","2650","800 to 900","Jun-2022"
"155","VUE 8 RESIDENCE","PASIR RIS HEIGHTS","18","Non-landed Properties","5","5700","1700 to 1800","Jun-2022"
"156","SAVANNAH CONDOPARK","SIMEI RISE","18","Non-landed Properties","4","4700","1400 to 1500","Jun-2022"
"157","SEASTRAND","PASIR RIS LINK","18","Non-landed Properties","NA","2050","500 to 600","Jun-2022"
"158","THE ALPS RESIDENCES","TAMPINES STREET 86","18","Non-landed Properties","3","3200","900 to 1000","Jun-2022"
"159","COCO PALMS","PASIR RIS GROVE","18","Non-landed Properties","5","6700","1700 to 1800","Jun-2022"
"160","STRATUM","ELIAS ROAD","18","Non-landed Properties","NA","1750","400 to 500","Jun-2022"
"161","MELVILLE PARK","SIMEI STREET 1","18","Non-landed Properties","2","3100","900 to 1000","Jun-2022"
"162","NV RESIDENCES","PASIR RIS GROVE","18","Non-landed Properties","3","3500","1300 to 1400","Jun-2022"
"163","THE TAPESTRY","TAMPINES STREET 86","18","Non-landed Properties","1","2500","400 to 500","Jun-2022"
"164","VUE 8 RESIDENCE","PASIR RIS HEIGHTS","18","Non-landed Properties","1","2300","500 to 600","Jun-2022"
"165","MELVILLE PARK","SIMEI STREET 1","18","Non-landed Properties","3","2800","1000 to 1100","Jun-2022"
"166","STRATUM","ELIAS ROAD","18","Non-landed Properties","2","3580","900 to 1000","Jun-2022"
"167","THE ALPS RESIDENCES","TAMPINES STREET 86","18","Non-landed Properties","2","2600","600 to 700","Jun-2022"
"168","SEASTRAND","PASIR RIS LINK","18","Non-landed Properties","NA","2300","500 to 600","Jun-2022"
"169","MELVILLE PARK","SIMEI STREET 1","18","Non-landed Properties","3","2850","1000 to 1100","Jun-2022"
"170","TROPICAL SPRING","SIMEI STREET 4","18","Non-landed Properties","3","4000","1300 to 1400","Jun-2022"
"171","SEASTRAND","PASIR RIS LINK","18","Non-landed Properties","3","3500","1100 to 1200","Jun-2022"
"172","THE PALETTE","PASIR RIS GROVE","18","Non-landed Properties","2","2500","800 to 900","Jun-2022"
"173","D'NEST","PASIR RIS GROVE","18","Non-landed Properties","3","4200","1200 to 1300","Jun-2022"
"174","SEA ESTA","PASIR RIS LINK","18","Non-landed Properties","1","2050","500 to 600","Jun-2022"
"175","MELVILLE PARK","SIMEI STREET 1","18","Non-landed Properties","3","3400","1200 to 1300","Jun-2022"
"176","WATERVIEW","TAMPINES AVENUE 1","18","Non-landed Properties","3","3300","1100 to 1200","Jun-2022"
"177","WATERVIEW","TAMPINES AVENUE 1","18","Non-landed Properties","2","3000","900 to 1000","Jun-2022"
"178","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2700","900 to 1000","Jun-2022"
"179","MELVILLE PARK","SIMEI STREET 1","18","Non-landed Properties","3","3200","1100 to 1200","Jun-2022"
"180","THE PALETTE","PASIR RIS GROVE","18","Non-landed Properties","2","2800","800 to 900","Jun-2022"
"181","COCO PALMS","PASIR RIS GROVE","18","Non-landed Properties","3","3000","900 to 1000","Jun-2022"
"182","TROPICAL SPRING","SIMEI STREET 4","18","Non-landed Properties","3","3800","1400 to 1500","Jun-2022"
"183","THE TAPESTRY","TAMPINES STREET 86","18","Non-landed Properties","2","3200","600 to 700","Jun-2022"
"184","SEASTRAND","PASIR RIS LINK","18","Non-landed Properties","NA","2000","500 to 600","Jun-2022"
"185","WATERVIEW","TAMPINES AVENUE 1","18","Non-landed Properties","2","2500","700 to 800","Jun-2022"
"186","COCO PALMS","PASIR RIS GROVE","18","Non-landed Properties","2","2450","700 to 800","Jun-2022"
"187","SEASTRAND","PASIR RIS LINK","18","Non-landed Properties","2","2800","800 to 900","Jun-2022"
"188","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","3250","1100 to 1200","Jun-2022"
"189","MELVILLE PARK","SIMEI STREET 1","18","Non-landed Properties","2","2600","1000 to 1100","Jun-2022"
"190","RIPPLE BAY","PASIR RIS LINK","18","Non-landed Properties","1","2300","400 to 500","Jun-2022"
"191","COCO PALMS","PASIR RIS GROVE","18","Non-landed Properties","3","3200","900 to 1000","Jun-2022"
"192","NV RESIDENCES","PASIR RIS GROVE","18","Non-landed Properties","3","3350","1100 to 1200","Jun-2022"
"193","LIVIA","PASIR RIS GROVE","18","Non-landed Properties","3","3000","1300 to 1400","Jun-2022"
"194","MY MANHATTAN","SIMEI STREET 3","18","Non-landed Properties","2","3700","800 to 900","Jun-2022"
"195","CHANGI RISE CONDOMINIUM","SIMEI RISE","18","Non-landed Properties","2","2600","1000 to 1100","Jun-2022"
"196","STRATUM","ELIAS ROAD","18","Non-landed Properties","NA","1700","400 to 500","Jun-2022"
"197","SAVANNAH CONDOPARK","SIMEI RISE","18","Non-landed Properties","3","4600","1200 to 1300","Jun-2022"
"198","DOUBLE BAY RESIDENCES","SIMEI STREET 4","18","Non-landed Properties","3","4000","1200 to 1300","Jun-2022"
"199","D'NEST","PASIR RIS GROVE","18","Non-landed Properties","4","4050","1400 to 1500","Jun-2022"
"200","THE TAPESTRY","TAMPINES STREET 86","18","Non-landed Properties","1","2300","400 to 500","Jun-2022"
"201","MY MANHATTAN","SIMEI STREET 3","18","Non-landed Properties","2","2950","800 to 900","Jun-2022"
"202","COCO PALMS","PASIR RIS GROVE","18","Non-landed Properties","2","2600","700 to 800","Jun-2022"
"203","SEA ESTA","PASIR RIS LINK","18","Non-landed Properties","3","2850","900 to 1000","Jun-2022"
"204","DOUBLE BAY RESIDENCES","SIMEI STREET 4","18","Non-landed Properties","3","3700","1200 to 1300","Jun-2022"
"205","WATERVIEW","TAMPINES AVENUE 1","18","Non-landed Properties","3","2838","1100 to 1200","Jun-2022"
"206","THE TAPESTRY","TAMPINES STREET 86","18","Non-landed Properties","1","2380","400 to 500","Jun-2022"
"207","RIPPLE BAY","PASIR RIS LINK","18","Non-landed Properties","2","2300","700 to 800","Jun-2022"
"208","THE TROPICA","TAMPINES AVENUE 1","18","Non-landed Properties","2","3000","900 to 1000","Jun-2022"
"209","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","4400","1100 to 1200","Jun-2022"
"210","SEA ESTA","PASIR RIS LINK","18","Non-landed Properties","3","3100","1100 to 1200","Jun-2022"
"211","ELIAS GREEN","ELIAS GREEN","18","Non-landed Properties","NA","2700","1500 to 1600","Jun-2022"
"212","SAVANNAH CONDOPARK","SIMEI RISE","18","Non-landed Properties","3","4100","1200 to 1300","Jun-2022"
"213","NV RESIDENCES","PASIR RIS GROVE","18","Non-landed Properties","2","2900","900 to 1000","Jun-2022"
"214","THE PALETTE","PASIR RIS GROVE","18","Non-landed Properties","2","3500","800 to 900","Jun-2022"
"215","THE TAPESTRY","TAMPINES STREET 86","18","Non-landed Properties","1","2500","400 to 500","Jun-2022"
"216","SAVANNAH CONDOPARK","SIMEI RISE","18","Non-landed Properties","3","4200","1200 to 1300","Jun-2022"
"217","MY MANHATTAN","SIMEI STREET 3","18","Non-landed Properties","1","3000","500 to 600","Jun-2022"
"218","THE TAPESTRY","TAMPINES STREET 86","18","Non-landed Properties","1","2400","400 to 500","Jun-2022"
"219","THE TAPESTRY","TAMPINES STREET 86","18","Non-landed Properties","1","2100","400 to 500","Jun-2022"
"220","DOUBLE BAY RESIDENCES","SIMEI STREET 4","18","Non-landed Properties","3","5100","1300 to 1400","Jun-2022"
"221","NV RESIDENCES","PASIR RIS GROVE","18","Non-landed Properties","2","3500","900 to 1000","Jun-2022"
"222","NV RESIDENCES","PASIR RIS GROVE","18","Non-landed Properties","4","4600","1400 to 1500","Jun-2022"
"223","VUE 8 RESIDENCE","PASIR RIS HEIGHTS","18","Non-landed Properties","3","2900","1000 to 1100","Jun-2022"
"224","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","3000","900 to 1000","Jun-2022"
"225","THE PALETTE","PASIR RIS GROVE","18","Non-landed Properties","2","2450","800 to 900","Jun-2022"
"226","RIS GRANDEUR","ELIAS ROAD","18","Non-landed Properties","3","3000","1300 to 1400","Jun-2022"
"227","OASIS @ ELIAS","ELIAS ROAD","18","Non-landed Properties","2","3100","900 to 1000","Jun-2022"
"228","DOUBLE BAY RESIDENCES","SIMEI STREET 4","18","Non-landed Properties","2","3800","1000 to 1100","Jun-2022"
"229","THE TROPICA","TAMPINES AVENUE 1","18","Non-landed Properties","4","3800","1500 to 1600","Jun-2022"
"230","D'NEST","PASIR RIS GROVE","18","Non-landed Properties","3","3150","900 to 1000","Jun-2022"
"231","COCO PALMS","PASIR RIS GROVE","18","Non-landed Properties","1","2600","400 to 500","May-2022"
"232","SEASTRAND","PASIR RIS LINK","18","Non-landed Properties","NA","2100","500 to 600","May-2022"
"233","RIS GRANDEUR","ELIAS ROAD","18","Non-landed Properties","4","3900","1500 to 1600","May-2022"
"234","MY MANHATTAN","SIMEI STREET 3","18","Non-landed Properties","2","3900","900 to 1000","May-2022"
"235","SEASTRAND","PASIR RIS LINK","18","Non-landed Properties","2","2300","800 to 900","May-2022"
"236","RIS GRANDEUR","ELIAS ROAD","18","Non-landed Properties","4","3000","1500 to 1600","May-2022"
"237","RIPPLE BAY","PASIR RIS LINK","18","Non-landed Properties","2","2200","700 to 800","May-2022"
"238","ELIAS GREEN","ELIAS GREEN","18","Non-landed Properties","NA","3350","1500 to 1600","May-2022"
"239","THE ALPS RESIDENCES","TAMPINES STREET 86","18","Non-landed Properties","2","3275","600 to 700","May-2022"
"240","LIVIA","PASIR RIS GROVE","18","Non-landed Properties","3","3900","1300 to 1400","May-2022"
"241","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","3500","1100 to 1200","May-2022"
"242","THE ALPS RESIDENCES","TAMPINES STREET 86","18","Non-landed Properties","1","2300","400 to 500","May-2022"
"243","MELVILLE PARK","SIMEI STREET 1","18","Non-landed Properties","2","2200","900 to 1000","May-2022"
"244","LIVIA","PASIR RIS GROVE","18","Non-landed Properties","3","3900","1200 to 1300","May-2022"
"245","THE ALPS RESIDENCES","TAMPINES STREET 86","18","Non-landed Properties","1","2500","400 to 500","May-2022"
"246","THE PALETTE","PASIR RIS GROVE","18","Non-landed Properties","4","4000","1300 to 1400","May-2022"
"247","COCO PALMS","PASIR RIS GROVE","18","Non-landed Properties","1","2600","400 to 500","May-2022"
"248","RIPPLE BAY","PASIR RIS LINK","18","Non-landed Properties","2","3300","700 to 800","May-2022"
"249","THE TAPESTRY","TAMPINES STREET 86","18","Non-landed Properties","3","4300","1100 to 1200","May-2022"
"250","THE PALETTE","PASIR RIS GROVE","18","Non-landed Properties","1","2400","500 to 600","May-2022"
