"S/N","Building/Project Name","Street Name","Postal District","Type","No. of Bedroom(for Non-Landed Only)","Monthly Gross Rent($)","Floor Area (sq ft)","Lease Commencement Date"
"1","SOUTHBANK","NORTH BRIDGE ROAD","07","Non-landed Properties","1","2900","600 to 700","Jun-2022"
"2","DUO RESIDENCES","FRASER STREET","07","Non-landed Properties","1","3250","600 to 700","Jun-2022"
"3","BURLINGTON SQUARE","BENCOOLEN STREET","07","Non-landed Properties","2","3700","1300 to 1400","Jun-2022"
"4","LIANG SEAH PLACE","LIANG SEAH STREET","07","Non-landed Properties","NA","3689","1000 to 1100","Jun-2022"
"5","CITY GATE","BEACH ROAD","07","Non-landed Properties","1","2900","400 to 500","Jun-2022"
"6","THE BENCOOLEN","BENCOOLEN STREET","07","Non-landed Properties","2","3900","1200 to 1300","Jun-2022"
"7","CONCOURSE SKYLINE","BEACH ROAD","07","Non-landed Properties","1","4400","800 to 900","Jun-2022"
"8","CITY GATE","BEACH ROAD","07","Non-landed Properties","2","2600","600 to 700","Jun-2022"
"9","DUO RESIDENCES","FRASER STREET","07","Non-landed Properties","2","5500","900 to 1000","Jun-2022"
"10","DUO RESIDENCES","FRASER STREET","07","Non-landed Properties","2","11000","1100 to 1200","Jun-2022"
"11","THE BENCOOLEN","BENCOOLEN STREET","07","Non-landed Properties","2","3700","900 to 1000","Jun-2022"
"12","CITY GATE","BEACH ROAD","07","Non-landed Properties","1","3500","400 to 500","Jun-2022"
"13","CITY GATE","BEACH ROAD","07","Non-landed Properties","2","3900","500 to 600","Jun-2022"
"14","CITY GATE","BEACH ROAD","07","Non-landed Properties","2","3400","500 to 600","Jun-2022"
"15","SOUTHBANK","NORTH BRIDGE ROAD","07","Non-landed Properties","1","3250","600 to 700","Jun-2022"
"16","CONCOURSE SKYLINE","BEACH ROAD","07","Non-landed Properties","1","4600","800 to 900","Jun-2022"
"17","SOUTH BEACH RESIDENCES","BEACH ROAD","07","Non-landed Properties","2","9000","1200 to 1300","Jun-2022"
"18","DUO RESIDENCES","FRASER STREET","07","Non-landed Properties","2","6000","1000 to 1100","Jun-2022"
"19","TEXTILE CENTRE","JALAN SULTAN","07","Non-landed Properties","2","3300","1000 to 1100","Jun-2022"
"20","THE PLAZA","BEACH ROAD","07","Non-landed Properties","2","3200","800 to 900","Jun-2022"
"21","DUO RESIDENCES","FRASER STREET","07","Non-landed Properties","1","3700","500 to 600","Jun-2022"
"22","SOUTHBANK","NORTH BRIDGE ROAD","07","Non-landed Properties","1","3500","600 to 700","Jun-2022"
"23","SOUTH BEACH RESIDENCES","BEACH ROAD","07","Non-landed Properties","3","19000","1700 to 1800","Jun-2022"
"24","CONCOURSE SKYLINE","BEACH ROAD","07","Non-landed Properties","1","4500","800 to 900","Jun-2022"
"25","LIANG SEAH PLACE","LIANG SEAH STREET","07","Non-landed Properties","NA","3900","800 to 900","Jun-2022"
"26","SUNSHINE PLAZA","PRINSEP LINK","07","Non-landed Properties","2","3000","700 to 800","Jun-2022"
"27","CONCOURSE SKYLINE","BEACH ROAD","07","Non-landed Properties","1","4300","800 to 900","Jun-2022"
"28","TEXTILE CENTRE","JALAN SULTAN","07","Non-landed Properties","2","2500","800 to 900","Jun-2022"
"29","CITY GATE","BEACH ROAD","07","Non-landed Properties","1","3050","400 to 500","Jun-2022"
"30","CITY GATE","BEACH ROAD","07","Non-landed Properties","2","4000","600 to 700","Jun-2022"
"31","DUO RESIDENCES","FRASER STREET","07","Non-landed Properties","1","4400","700 to 800","Jun-2022"
"32","THE PLAZA","BEACH ROAD","07","Non-landed Properties","3","2200","1300 to 1400","Jun-2022"
"33","BURLINGTON SQUARE","BENCOOLEN STREET","07","Non-landed Properties","2","4000","800 to 900","Jun-2022"
"34","DUO RESIDENCES","FRASER STREET","07","Non-landed Properties","3","11500","1700 to 1800","Jun-2022"
"35","BURLINGTON SQUARE","BENCOOLEN STREET","07","Non-landed Properties","2","3300","800 to 900","Jun-2022"
"36","GOLDEN MILE COMPLEX","BEACH ROAD","07","Non-landed Properties","2","2300","900 to 1000","Jun-2022"
"37","DUO RESIDENCES","FRASER STREET","07","Non-landed Properties","2","6200","900 to 1000","Jun-2022"
"38","SOUTH BEACH RESIDENCES","BEACH ROAD","07","Non-landed Properties","2","13000","1500 to 1600","Jun-2022"
"39","DUO RESIDENCES","FRASER STREET","07","Non-landed Properties","3","9000","1500 to 1600","Jun-2022"
"40","LIANG SEAH PLACE","LIANG SEAH STREET","07","Non-landed Properties","NA","3682","900 to 1000","Jun-2022"
"41","DUO RESIDENCES","FRASER STREET","07","Non-landed Properties","1","4300","600 to 700","Jun-2022"
"42","SOUTHBANK","NORTH BRIDGE ROAD","07","Non-landed Properties","1","3300","600 to 700","Jun-2022"
"43","DUO RESIDENCES","FRASER STREET","07","Non-landed Properties","2","5800","800 to 900","Jun-2022"
"44","SOUTHBANK","NORTH BRIDGE ROAD","07","Non-landed Properties","2","4500","900 to 1000","Jun-2022"
"45","DUO RESIDENCES","FRASER STREET","07","Non-landed Properties","1","4000","700 to 800","Jun-2022"
"46","DUO RESIDENCES","FRASER STREET","07","Non-landed Properties","2","6600","900 to 1000","Jun-2022"
"47","DUO RESIDENCES","FRASER STREET","07","Non-landed Properties","NA","4200","500 to 600","Jun-2022"
"48","DUO RESIDENCES","FRASER STREET","07","Non-landed Properties","2","4400","800 to 900","Jun-2022"
"49","BURLINGTON SQUARE","BENCOOLEN STREET","07","Non-landed Properties","2","3600","800 to 900","Jun-2022"
"50","DUO RESIDENCES","FRASER STREET","07","Non-landed Properties","1","3500","700 to 800","Jun-2022"
"51","THE PLAZA","BEACH ROAD","07","Non-landed Properties","2","3000","800 to 900","Jun-2022"
"52","BURLINGTON SQUARE","BENCOOLEN STREET","07","Non-landed Properties","2","4500","800 to 900","Jun-2022"
"53","THE BENCOOLEN","BENCOOLEN STREET","07","Non-landed Properties","2","3900","800 to 900","Jun-2022"
"54","DUO RESIDENCES","FRASER STREET","07","Non-landed Properties","NA","3100","400 to 500","Jun-2022"
"55","CITY GATE","BEACH ROAD","07","Non-landed Properties","1","2700","400 to 500","Jun-2022"
"56","THE PLAZA","BEACH ROAD","07","Non-landed Properties","1","2200","500 to 600","Jun-2022"
"57","CONCOURSE SKYLINE","BEACH ROAD","07","Non-landed Properties","1","4000","800 to 900","Jun-2022"
"58","THE BENCOOLEN","BENCOOLEN STREET","07","Non-landed Properties","2","3900","800 to 900","Jun-2022"
"59","SUNSHINE PLAZA","PRINSEP LINK","07","Non-landed Properties","1","2800","500 to 600","Jun-2022"
"60","CONCOURSE SKYLINE","BEACH ROAD","07","Non-landed Properties","2","7750","1300 to 1400","Jun-2022"
"61","KENG SOON BLDG","PRINSEP STREET","07","Non-landed Properties","4","8000","2400 to 2500","Jun-2022"
"62","LIANG SEAH COURT","LIANG SEAH STREET","07","Non-landed Properties","NA","4300","1000 to 1100","Jun-2022"
"63","TALIB CENTRE","PURVIS STREET","07","Non-landed Properties","NA","2600","700 to 800","Jun-2022"
"64","DUO RESIDENCES","FRASER STREET","07","Non-landed Properties","2","5000","800 to 900","Jun-2022"
"65","THE 101","BEACH ROAD","07","Non-landed Properties","1","2500","800 to 900","Jun-2022"
"66","DUO RESIDENCES","FRASER STREET","07","Non-landed Properties","4","10700","1900 to 2000","Jun-2022"
"67","CONCOURSE SKYLINE","BEACH ROAD","07","Non-landed Properties","1","5600","1100 to 1200","Jun-2022"
"68","CONCOURSE SKYLINE","BEACH ROAD","07","Non-landed Properties","1","3900","800 to 900","Jun-2022"
"69","GOLDEN MILE COMPLEX","BEACH ROAD","07","Non-landed Properties","2","1700","900 to 1000","Jun-2022"
"70","DUO RESIDENCES","FRASER STREET","07","Non-landed Properties","1","3100","600 to 700","Jun-2022"
"71","THE PLAZA","BEACH ROAD","07","Non-landed Properties","2","3800","900 to 1000","Jun-2022"
"72","CONCOURSE SKYLINE","BEACH ROAD","07","Non-landed Properties","1","5350","1100 to 1200","Jun-2022"
"73","DUO RESIDENCES","FRASER STREET","07","Non-landed Properties","2","7300","1000 to 1100","Jun-2022"
"74","TANQUEELAN SUITES","TAN QUEE LAN STREET","07","Non-landed Properties","NA","3622","700 to 800","Jun-2022"
"75","DUO RESIDENCES","FRASER STREET","07","Non-landed Properties","4","11700","1900 to 2000","Jun-2022"
"76","THE PLAZA","BEACH ROAD","07","Non-landed Properties","3","4500","1300 to 1400","Jun-2022"
